drug,n_oof,RMSE_ens,R2_ens,Spearman_ens,Pearson_ens,RMSE_mean,R2_mean,RMSE_ens_fold_mean,RMSE_ens_fold_std,R2_ens_fold_mean,R2_ens_fold_std,Spearman_ens_fold_mean,Spearman_ens_fold_std,Pearson_ens_fold_mean,Pearson_ens_fold_std,RMSE_mean_fold_mean,RMSE_mean_fold_std,R2_mean_fold_mean,R2_mean_fold_std
AZD7762,203,1.0668752997625985,0.4143157986163398,0.6703437947387901,0.6439836509074075,1.0671918342892668,0.413968210152419,1.0560190667714,0.16422457825084807,0.4217040475837699,0.06041697016499975,0.6879174484052534,0.07861594003397517,0.6672338933362439,0.0466081818016991,1.055336667232899,0.17155305817097932,0.423214219036684,0.0626202456902637
GEMCITABINE,203,1.6161655068644736,0.25703782745278525,0.5258670897515716,0.5101015517436227,1.6338845922768657,0.24065735617393214,1.6125328799813072,0.13205011599317573,0.24884567744265426,0.11711376986661964,0.5304878048780488,0.09688442767999425,0.5378978675601965,0.09939294812274821,1.6293245577330715,0.1472640937438187,0.23884056149347432,0.06806213986757854
JQ1,203,1.001147874454961,0.5418767192118588,0.7305258054058087,0.7362535852557819,1.0320919487979774,0.5131191611070416,0.9909750069091607,0.1504280700768043,0.548291662323116,0.09264090203491927,0.7499731975341734,0.038192466376756044,0.7496965336894598,0.05758583215336851,1.0230275317619513,0.14459593818628302,0.5196697720901773,0.08407712963979223
NAVITOCLAX,203,1.3913189889770883,0.48152257148529365,0.6841265697128971,0.6945759805072718,1.421600345534212,0.4587081723804429,1.3855609053810265,0.1454934627546758,0.47630251538829976,0.12142713938124362,0.699506834628786,0.05316951732071264,0.7098358131130734,0.06634967275720276,1.4167799574132278,0.13311629926726667,0.45502888751252,0.1042130763114691
NUTLIN-3A (-),203,1.0081767415638527,0.5182665088544935,0.6896680830065041,0.7205742392146185,1.0666383625163012,0.46077764235021035,1.0026566945516877,0.1288460982777129,0.5176862187244986,0.11257669706554743,0.7074216027874567,0.09191781655468471,0.7446429148431821,0.08478041775492703,1.0656464390247584,0.06374346553575513,0.4589658055065078,0.05621257970557578
OLAPARIB,203,0.9085411857031167,0.23673556366802884,0.4650854537786437,0.488722739184128,0.9155656581769988,0.22488743460724592,0.906319042143223,0.07708765960881371,0.22504699237422124,0.1899455531306533,0.5027365317609221,0.1287527221444992,0.5240231156253372,0.1387620283343079,0.9148599412893692,0.04026856738949071,0.21925388900699067,0.0933307774741268
PALBOCICLIB,203,1.155892755400075,0.46198821203467155,0.6767488832337306,0.6803553410351197,1.1770786216272762,0.4420854961263522,1.1532175467740589,0.07990058329338731,0.451769302904861,0.06683100771733111,0.6959206647011525,0.053109474578945645,0.6941424074371028,0.04708028054382261,1.1710946557215263,0.12250348984378066,0.4367529050607624,0.07376944810828481
PD0325901,203,1.5729142864519607,0.3154887081313884,0.6326204773476479,0.5743191018436922,1.5273588795773705,0.35456473448652115,1.5586269615776378,0.23218129001838303,0.2628448153271942,0.3650201666483975,0.6556177968373091,0.05938868248118492,0.6431753218008656,0.1144736812340953,1.5174677395646952,0.17721120390514575,0.338735458039381,0.1294520619943639
PLX-4720,203,0.7319527741563748,0.23370844544156233,0.4924013989344458,0.4836344903727927,0.7383684467795582,0.2202162588999662,0.7311057132758491,0.03269044653857202,0.23106056242133474,0.04097573253149179,0.5135432859823105,0.055218169560306854,0.5041855861294149,0.06035561532167548,0.7373093895358672,0.036532020503816,0.21872636861184178,0.028968492016574032
REFAMETINIB,203,1.2808281868991132,0.4544122746439815,0.6636446316320997,0.6761217719959203,1.2868144502405527,0.44930048192743466,1.273033347223517,0.1569756684739018,0.4468535198128489,0.16562975702307028,0.6857678906459395,0.1090451853749961,0.7054774619855895,0.09163322607571162,1.283389443793525,0.11072421616386792,0.4481499065558673,0.08022653926289101
SELUMETINIB,203,1.2378086540067987,0.2665090664537818,0.5115908432338453,0.5215080501129046,1.2335911965451292,0.2714988470243487,1.2356020385006474,0.09088768169291675,0.24164695473738673,0.1792690311644356,0.5231814526936479,0.15254107357903557,0.5674265113126022,0.1121651163317813,1.2307807480952158,0.09189383102328222,0.25920735250131477,0.09959161853375327
SN-38,203,1.525554208235146,0.33119239444994053,0.5924685340165428,0.577968787864497,1.5516351440789173,0.3081289957626726,1.5183630789831657,0.15773185174417914,0.3335496762084479,0.10559698996333322,0.6214285714285716,0.09530462956838187,0.6062501640500908,0.09172342466572145,1.547406815783232,0.12339995112733286,0.30779736476259445,0.0871818086501242
TALAZOPARIB,203,1.7196910555824803,0.1072455588625345,0.3374800244440556,0.33256320616634705,1.764773566583681,0.059824056223307776,1.7122084025591053,0.1797145478090218,0.10320235196630487,0.09861601309812532,0.3376065398016618,0.10270532684275077,0.374836049753942,0.08459151311457702,1.7587118535765434,0.16653997247875632,0.05546620745521373,0.04972894656225066
TEMOZOLOMIDE,203,0.7971650777042817,0.39607199118917513,0.6867015157035844,0.6314464889011018,0.7817934260729063,0.4191383950711801,0.7918380496260774,0.1113074806959699,0.39291522347148994,0.1457536791228134,0.7057437684266954,0.08871841678774504,0.661136204502437,0.10900907039151103,0.7783876591485133,0.08759479172593633,0.4180001406005468,0.09686671032799227
TRAMETINIB,203,1.6106373052070804,0.31040468753554085,0.6230293414737011,0.5583257602269907,1.6480565782199634,0.27799030866107277,1.6000062872032867,0.21177243146103641,0.30709479144062013,0.0955234603524354,0.6336478155990353,0.032779431320923924,0.5779188881260868,0.07130755417287508,1.6327179569602932,0.2468930421950002,0.2839240047788807,0.07130740593595514
