drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna
AZD7762,1,stacking,ridge,1.0,0.07814227479787628,162,41,0.3952197109177594,0.35547586518155944,0.37110438098098697,0.13936021400754492
AZD7762,2,stacking,ridge,1.0,0.14506315909921996,162,41,0.31199820154766594,0.20787902872451824,0.3924274738563259,0.2942920066075442
AZD7762,3,stacking,ridge,1.0,0.09334886579137314,162,41,0.28810775022067764,0.28950065943135095,0.5163305035563693,0.1419492915515155
AZD7762,4,stacking,ridge,1.0,0.16618128492874262,163,40,0.452865089550982,0.34378702550233864,0.3697210965734087,0.07229180980881932
AZD7762,5,stacking,ridge,1.0,0.1325206526659014,163,40,0.4028862619576306,0.3236609608450721,0.3982601223547808,0.13710968044556895
GEMCITABINE,1,stacking,ridge,1.0,-0.4566393581857908,162,41,0.9252770809343281,-0.15265887969179126,0.06512890156599145,-0.003436221505746913
GEMCITABINE,2,stacking,ridge,1.0,-0.09940324175180759,162,41,0.9009705942386229,0.04983102357590894,-0.13600814581068973,0.14241573488615483
GEMCITABINE,3,stacking,ridge,1.0,-0.33582425739250965,162,41,1.102165060703621,-0.30057052562286485,0.1282274367877039,-0.06430925143235829
GEMCITABINE,4,stacking,ridge,1.0,0.5800938409883338,163,40,0.8678354070552423,-0.07485109481547554,0.10208643784762625,0.29394136469360743
GEMCITABINE,5,stacking,ridge,1.0,0.0425704423890787,163,40,0.8434189812448981,-0.08111424683579137,0.10923125828964361,0.1325010872704319
JQ1,1,stacking,ridge,1.0,-0.011455004361060173,162,41,0.72558067928145,-0.197211033201381,0.21164402053953518,0.3174298518083237
JQ1,2,stacking,ridge,1.0,0.023577599598749055,162,41,0.6202081790727043,-0.08751579381484427,0.24290984785755146,0.2930210552123283
JQ1,3,stacking,ridge,1.0,-0.056627348374677755,162,41,0.6441663121055468,-0.06036871751248512,0.1631313296724453,0.30480950206074214
JQ1,4,stacking,ridge,1.0,-0.00726476026545908,163,40,0.6587496112668214,-0.15728662015135558,0.3147381841433903,0.20186234117353052
JQ1,5,stacking,ridge,1.0,-0.051088528837306635,163,40,0.5660518140196702,-0.04636764386852909,0.13579787823622683,0.4352158439972969
NAVITOCLAX,1,stacking,ridge,1.0,-0.057985411507399554,162,41,0.6327404404285413,0.25961729035732606,0.42476844875391834,-0.2948214616654821
NAVITOCLAX,2,stacking,ridge,1.0,-0.04642659328204113,162,41,0.6493194488873771,0.3757074228142995,0.419560225189883,-0.42000046369424854
NAVITOCLAX,3,stacking,ridge,1.0,-0.1257228516169776,162,41,0.6554844407819199,0.4316388157523129,0.2840617349400966,-0.30496850548028354
NAVITOCLAX,4,stacking,ridge,1.0,-0.09902533203026853,163,40,0.6825114719386175,0.41024756611336843,0.3397544183448874,-0.23285657908283314
NAVITOCLAX,5,stacking,ridge,1.0,-0.07674367043275654,163,40,0.5804732674408563,0.43059852240220975,0.27750966158299745,-0.1857360798175702
NUTLIN-3A (-),1,stacking,ridge,1.0,0.00056373144361066,162,41,0.8478606660370746,0.3021555799380035,0.2143835152452578,-0.36084655778418884
NUTLIN-3A (-),2,stacking,ridge,1.0,0.2673169124787176,162,41,0.8134459894535581,0.2503050374122956,0.24953849805448933,-0.3731571424393304
NUTLIN-3A (-),3,stacking,ridge,1.0,-0.4035466725347878,162,41,0.6357416911774659,0.3598828103508691,0.33199347111503474,-0.24219505556439413
NUTLIN-3A (-),4,stacking,ridge,1.0,0.06300391265610328,163,40,0.9347925708589971,0.2667527151949959,0.10478732679585336,-0.326371505635971
NUTLIN-3A (-),5,stacking,ridge,1.0,0.364287081240688,163,40,0.8284400162266988,0.2261273722390842,0.2627438436701744,-0.3911860681852942
OLAPARIB,1,stacking,ridge,1.0,0.2901153773067855,162,41,0.5646078040351987,0.0030570815799965635,0.4228566320538228,-0.08145780826675368
OLAPARIB,2,stacking,ridge,1.0,0.4225490813963928,162,41,0.7362133759444618,0.010131439090273687,0.3718086906102464,-0.24050664299739544
OLAPARIB,3,stacking,ridge,1.0,0.46656305143430643,162,41,0.7319471353914888,0.05103593431179398,0.44340944181460246,-0.3777101720031601
OLAPARIB,4,stacking,ridge,1.0,0.3810382563831789,163,40,0.7818532151524203,-0.09559831553256491,0.5943454531873575,-0.37771198833680053
OLAPARIB,5,stacking,ridge,1.0,0.8396861068074744,163,40,0.6527782098516646,-0.06407493457123592,0.4361750765431383,-0.2676955786596399
PALBOCICLIB,1,stacking,ridge,1.0,-0.16392169630095177,162,41,0.8137887599966656,0.07556065959875889,-0.08198323317610177,0.2626866099511298
PALBOCICLIB,2,stacking,ridge,1.0,-0.06165775924517458,162,41,0.7837846803748078,-0.00699783487860706,0.09348192479199723,0.149289310582044
PALBOCICLIB,3,stacking,ridge,1.0,0.12230142959784995,162,41,0.7754364091066817,0.08636114192533381,-0.04764806793131146,0.1333331475570459
PALBOCICLIB,4,stacking,ridge,1.0,-0.3358377535636117,163,40,0.784469396972548,0.09754254340676237,0.1635444697371169,0.09953280113925282
PALBOCICLIB,5,stacking,ridge,1.0,0.03666990481776633,163,40,0.9384299353978306,-0.006900290878614116,-0.14469839679748603,0.17185121977252377
PD0325901,1,stacking,ridge,1.0,0.06817159774180581,162,41,0.8299452434362412,-0.00848982294049828,0.19314124875808839,-0.12538960853274536
PD0325901,2,stacking,ridge,1.0,-0.09563179419513046,162,41,0.8203037190420716,-0.00468035507590998,0.3173953380338949,-0.09109024981604133
PD0325901,3,stacking,ridge,1.0,0.0998705257430148,162,41,0.696861835823656,0.003329147346247998,0.26112969217315957,-0.034384548739542366
PD0325901,4,stacking,ridge,1.0,0.020566710301521518,163,40,0.6504140819350157,-0.05442192108889914,0.2816676252774032,0.05765643670646074
PD0325901,5,stacking,ridge,1.0,-0.06550310545014926,163,40,0.7583702256622535,-0.08968754773208053,0.15897297477486735,0.403564385720151
PLX-4720,1,stacking,ridge,1.0,-1.1773179349197966,162,41,0.5724898011641507,0.4913823207977297,-0.0783235191056532,0.31401007899514993
PLX-4720,2,stacking,ridge,1.0,-0.5957994175175871,162,41,0.5645741200392339,0.4411487366587341,-0.11667258694110394,0.2682324616821365
PLX-4720,3,stacking,ridge,1.0,-1.1712930405690605,162,41,0.44408347465424874,0.4617149533357174,0.16377133258547294,0.2227165137749861
