drug,blend,meta,alpha,intercept,n,w_mrna,w_cnv,w_meth,w_mirna
AFATINIB,stacking,ridge,1.0,0.06425640090752882,203,0.5046896321758809,0.1693050568368229,-0.1130261658876158,0.40813966314596994
AVAGACESTAT,stacking,ridge,1.0,-0.19809543152304165,203,0.6114409301541943,0.04650087535113118,0.15742275996039612,0.23225206974787319
AXITINIB,stacking,ridge,1.0,-0.49004852534429677,203,0.3399780288824685,0.21618648274960806,0.5763218779318515,0.09511037243992612
AZD4547,stacking,ridge,1.0,-0.4384503143548035,203,0.3988774723159566,0.08860823127913775,0.1622010208322569,0.5398712009172718
AZD6738,stacking,ridge,1.0,-0.21079299200755863,203,0.3917547171742258,0.4584704792286026,-0.07075131939538451,0.36108605116617015
AZD7762,stacking,ridge,1.0,0.08851359740772313,203,0.5050197607273561,0.24001192087343762,0.12605349806976354,0.2817856574198424
AZD8186,stacking,ridge,1.0,-0.35908939650806726,203,0.539835721935826,0.362284104972824,0.3418299026292263,-0.0995422599512553
BMS-536924,stacking,ridge,1.0,-0.9474129228958479,203,0.36399999231535846,0.5173696851443327,0.1390706122496364,0.45763243367542716
BOSUTINIB,stacking,ridge,1.0,-0.1528861967607853,203,0.788030374216438,0.12839646073664204,0.008886415201110637,0.14343718025731494
CCT007093,stacking,ridge,1.0,-0.7748281030089013,203,0.4713607198327719,0.14713180009157914,0.38266292497394905,0.174295093947349
DACTOLISIB,stacking,ridge,1.0,0.08594479436896796,203,0.7843687055203216,0.1526092471165475,0.01042417066992764,0.10035991540511471
DOCETAXEL,stacking,ridge,1.0,1.0970824075079233,203,0.14249326097273254,0.45658197283424495,0.328590992696441,0.37704451381854204
DORAMAPIMOD,stacking,ridge,1.0,0.8485307181284902,203,0.6063173850699678,-0.364850947295414,0.33886885375547054,0.22827740071026972
EHT-1864,stacking,ridge,1.0,0.32724054508342215,203,0.8505127065849872,0.06550033461178029,-0.1738562166961863,0.17004772644144797
FULVESTRANT,stacking,ridge,1.0,-0.10506220289867407,203,0.34085787681040314,0.19446313799851547,0.08277303784246132,0.4110882423415361
GEFITINIB,stacking,ridge,1.0,0.3960380157894865,203,-0.07246166868560472,-0.1827720979536607,0.6578192027344291,0.4158860294478112
GEMCITABINE,stacking,ridge,1.0,0.07291311081816865,203,1.0374877457946894,-0.006612646316651355,0.038278000629817996,-0.0349025923480401
GW441756,stacking,ridge,1.0,-0.11390214800871146,203,0.5638312442334428,0.4124166712552008,-0.2030386943250724,0.268620283547839
JQ1,stacking,ridge,1.0,-0.08703459648397804,203,0.7042925160599292,-0.09624638579073976,0.1483659255159412,0.3196524607604296
KU-55933,stacking,ridge,1.0,-0.3975197616309929,203,0.33281626338477033,0.08486777970979263,0.5758101770115143,0.10263911177417781
LENALIDOMIDE,stacking,ridge,1.0,-0.7076373604535471,203,0.21387487732927515,0.2382488822987376,0.24560248857481415,0.47133923697879715
LESTAURTINIB,stacking,ridge,1.0,0.08575146627236796,203,0.6902938119092098,0.127613367408507,0.41314084430423,-0.1358932753084922
METHOTREXATE,stacking,ridge,1.0,0.13247263347963,203,0.29676240663924247,0.08778598579551118,0.4465904220737813,0.29388419653006814
MIRIN,stacking,ridge,1.0,-0.25565958552167434,203,0.6326940519113634,0.338851661145103,-0.2370377840793768,0.31627761311429436
MK-2206,stacking,ridge,1.0,-0.7602525776021223,203,0.2498461188810614,0.5124240339406866,0.03143991271968477,0.6083866196687062
MOTESANIB,stacking,ridge,1.0,-1.0056782768158672,203,0.48675243876186886,0.21754114668150462,0.29044281920759324,0.2638258623187382
NAVITOCLAX,stacking,ridge,1.0,0.004569752423347895,203,0.9399141979655663,0.3716920311883633,0.06517974585670312,-0.33615338412780965
NU7441,stacking,ridge,1.0,-0.49336487882719604,203,0.6249175822583329,0.2306012611455697,0.28734117869129566,0.06142294586001725
NUTLIN-3A (-),stacking,ridge,1.0,0.10008301497130523,203,0.8020442710757176,0.27561809440321133,0.24587193035464885,-0.3466650236695824
OLAPARIB,stacking,ridge,1.0,-0.494388305014811,203,0.3245658346090549,0.3450824799727974,0.6095442484063479,-0.14057600507179246
PALBOCICLIB,stacking,ridge,1.0,-0.10451863949550821,203,0.8133706364816673,0.11044197797180819,0.169559507485277,-0.057932207684716006
PD0325901,stacking,ridge,1.0,-0.03259411134617529,203,0.5976514420030492,-0.034967021667229786,0.19877936215498987,0.3556640794921838
