drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
AFATINIB,1,stacking,ridge,1.0,-0.1288170659704042,162,41,mrna,0.46179498705822714
AFATINIB,2,stacking,ridge,1.0,0.08993282250646906,162,41,mrna,0.44707810462933645
AFATINIB,3,stacking,ridge,1.0,0.3053099585430048,162,41,mrna,0.5149409836321708
AFATINIB,4,stacking,ridge,1.0,0.2017909246496925,163,40,mrna,0.585444445264162
AFATINIB,5,stacking,ridge,1.0,-0.14048847095811468,163,40,mrna,0.48402095960362895
AVAGACESTAT,1,stacking,ridge,1.0,-0.4943156806826208,162,41,mrna,0.6352140297282766
AVAGACESTAT,2,stacking,ridge,1.0,-0.041416175288915724,162,41,mrna,0.5481553653499502
AVAGACESTAT,3,stacking,ridge,1.0,-0.5746921258647344,162,41,mrna,0.6797419997763093
AVAGACESTAT,4,stacking,ridge,1.0,-0.11258650097559286,163,40,mrna,0.640826739750404
AVAGACESTAT,5,stacking,ridge,1.0,0.03765912266021587,163,40,mrna,0.5566123349060699
AXITINIB,1,stacking,ridge,1.0,-0.35243982884805813,162,41,mrna,0.3614983998486144
AXITINIB,2,stacking,ridge,1.0,-0.553997464345954,162,41,mrna,0.4506533821313179
AXITINIB,3,stacking,ridge,1.0,-0.8632900309055414,162,41,mrna,0.37069200611990255
AXITINIB,4,stacking,ridge,1.0,-0.4871004380002475,163,40,mrna,0.16414212980078194
AXITINIB,5,stacking,ridge,1.0,-0.3271752205023226,163,40,mrna,0.31215779428335083
AZD4547,1,stacking,ridge,1.0,-0.5670056739839495,162,41,mrna,0.4990285890392032
AZD4547,2,stacking,ridge,1.0,-0.5647369353846305,162,41,mrna,0.37412430624093695
AZD4547,3,stacking,ridge,1.0,-0.35575293526201435,162,41,mrna,0.42738781207297966
AZD4547,4,stacking,ridge,1.0,-0.24965571681278176,163,40,mrna,0.3270673604730971
AZD4547,5,stacking,ridge,1.0,-0.523465795036957,163,40,mrna,0.3758836485537607
AZD6738,1,stacking,ridge,1.0,-0.06692245699602095,162,41,mrna,0.40801139321113583
AZD6738,2,stacking,ridge,1.0,-0.2175662362581401,162,41,mrna,0.30539591139830824
AZD6738,3,stacking,ridge,1.0,-0.5548508364112759,162,41,mrna,0.37038799085101287
AZD6738,4,stacking,ridge,1.0,-0.12503538605941023,163,40,mrna,0.446048945217554
AZD6738,5,stacking,ridge,1.0,-0.1851406727553193,163,40,mrna,0.4408232965090673
AZD7762,1,stacking,ridge,1.0,0.11223204739258175,162,41,mrna,0.36036372532055116
AZD7762,2,stacking,ridge,1.0,0.06016497067775928,162,41,mrna,0.4920721998133849
AZD7762,3,stacking,ridge,1.0,0.08554880861106151,162,41,mrna,0.6521306531790122
AZD7762,4,stacking,ridge,1.0,0.10461002443506895,163,40,mrna,0.5441645157994084
AZD7762,5,stacking,ridge,1.0,0.06950318467391114,163,40,mrna,0.528651084974194
AZD8186,1,stacking,ridge,1.0,-0.23042448474073263,162,41,mrna,0.4438065242549049
AZD8186,2,stacking,ridge,1.0,-0.34862577757436775,162,41,mrna,0.421033247201298
AZD8186,3,stacking,ridge,1.0,-0.898226759604337,162,41,mrna,0.6034832022738668
AZD8186,4,stacking,ridge,1.0,-0.2078900698312398,163,40,mrna,0.5758667605272928
AZD8186,5,stacking,ridge,1.0,-0.47911260972555514,163,40,mrna,0.6338562550291112
BMS-536924,1,stacking,ridge,1.0,-0.7409973012647877,162,41,mrna,0.30564369804693337
BMS-536924,2,stacking,ridge,1.0,-0.9073646992406439,162,41,mrna,0.3979056093648066
BMS-536924,3,stacking,ridge,1.0,-1.3686670393975822,162,41,mrna,0.38291353365512665
BMS-536924,4,stacking,ridge,1.0,-0.9070209043815787,163,40,mrna,0.36661216813014336
BMS-536924,5,stacking,ridge,1.0,-0.8913839761554332,163,40,mrna,0.35498959585320833
BOSUTINIB,1,stacking,ridge,1.0,-0.02849823920365102,162,41,mrna,0.7515216157043387
BOSUTINIB,2,stacking,ridge,1.0,-0.4663362398539994,162,41,mrna,0.7132821622596618
BOSUTINIB,3,stacking,ridge,1.0,-0.26971046578823676,162,41,mrna,0.7527700004585425
BOSUTINIB,4,stacking,ridge,1.0,-0.0982891344610537,163,40,mrna,0.9121194781801373
BOSUTINIB,5,stacking,ridge,1.0,0.06307164798974729,163,40,mrna,0.772095197708547
