drug,fold,blend,RMSE_ens,R2_ens,Spearman_ens,Pearson_ens,RMSE_mean,R2_mean
AZD7762,1,stacking,0.8962361368964822,0.5099265230728705,0.7322299651567945,0.7429988140582731,0.8990044787816734,0.5068943171917544
AZD7762,2,stacking,1.336656675269094,0.3399764794778035,0.583623693379791,0.6083095785430859,1.3527865658750118,0.32395090989181163
AZD7762,3,stacking,1.0310187895457645,0.4512454361388887,0.7594076655052266,0.6748463760703443,1.0474491593526496,0.4336161123069422
AZD7762,4,stacking,0.987636279202669,0.39696918715841245,0.6403377110694185,0.6419865076572064,0.965018477771412,0.4242728734296263
AZD7762,5,stacking,1.0119298408055186,0.42943565282740037,0.7165103189493434,0.6586551887451303,1.0125549472010515,0.4287305178068266
GEMCITABINE,1,stacking,1.3604405828481914,0.4212058181605687,0.6571428571428573,0.6775935730799656,1.419481893586019,0.36987789705793106
GEMCITABINE,2,stacking,1.7030003434024337,0.3162643584525825,0.5764808362369339,0.5749706163052793,1.777554963573519,0.2550882496805117
GEMCITABINE,3,stacking,1.5096457641564374,0.21133680079979367,0.4825783972125436,0.4679095883412673,1.469039244639046,0.25319319542990026
GEMCITABINE,4,stacking,1.7800162841340266,0.06938964978437889,0.3748592870544091,0.39488450867677416,1.727361548660301,0.12363217703040663
GEMCITABINE,5,stacking,1.659094959867825,0.27580136158237367,0.5420262664165104,0.528401865889762,1.710305941848516,0.23040395879471176
JQ1,1,stacking,1.0156942487560392,0.4908701940160868,0.699651567944251,0.7062519370924168,1.0072674630005758,0.49928321847511314
JQ1,2,stacking,1.3066044409659419,0.34329229709476383,0.6526132404181186,0.6058171919556329,1.3020319726855567,0.3478805579858111
JQ1,3,stacking,0.9546210190805772,0.574542143672101,0.7029616724738678,0.7665205943606236,1.0185571580542616,0.515643231686409
JQ1,4,stacking,0.9180202208754061,0.6202626245842484,0.7318949343339588,0.803552022158956,0.9630986057034311,0.5820538221089809
JQ1,5,stacking,0.9397972295494749,0.5417323746479947,0.7606003752345217,0.7401742336459813,0.9485332013614192,0.5331730387006917
NAVITOCLAX,1,stacking,1.4369115898924678,0.5020802668742874,0.7069686411149828,0.7150501382266419,1.5068905384906703,0.45240098941435947
NAVITOCLAX,2,stacking,1.072852965448774,0.6946351426731062,0.8149825783972127,0.8470697453123652,1.1887397578282672,0.6251027805027901
NAVITOCLAX,3,stacking,1.4944164529902035,0.36188981300365486,0.6409407665505228,0.6280858056627171,1.5209227479235157,0.3390528895066107
NAVITOCLAX,4,stacking,1.511619876284215,0.3496208475596918,0.630018761726079,0.6713936691930142,1.4347779992856,0.4140631103405361
NAVITOCLAX,5,stacking,1.3764099935178935,0.48697782328456074,0.6926829268292684,0.6988027419407608,1.485263763523261,0.4026241303614315
NUTLIN-3A (-),1,stacking,1.138487218113187,0.39833816249321063,0.7006968641114983,0.6518733478208346,1.1022230694636836,0.4360570905437582
NUTLIN-3A (-),2,stacking,0.8802761627664284,0.6283933934887622,0.7313588850174217,0.8091465990854574,0.9945410400425877,0.5256586761267792
NUTLIN-3A (-),3,stacking,0.967403068906579,0.5144308006774009,0.7095818815331012,0.7690173296100957,1.0705479018909465,0.4053678062050363
NUTLIN-3A (-),4,stacking,1.0576314062691603,0.43380866937106366,0.5497185741088181,0.6679648032932473,1.1061766935226534,0.38063944127263283
NUTLIN-3A (-),5,stacking,1.0615882411286213,0.5304890012144297,0.7348968105065667,0.7654274921813968,1.131539775520174,0.4665751775718001
OLAPARIB,1,stacking,0.8566522376834612,0.29751364383411083,0.5222996515679443,0.573432855854319,0.9064124965595649,0.21353290791531854
OLAPARIB,2,stacking,0.9339562058813784,0.23975036516344472,0.4331010452961674,0.49186403265585515,0.9682106445941527,0.1829607847056295
OLAPARIB,3,stacking,0.9189460579001134,0.19919896419624417,0.404006968641115,0.5092429757600264,0.8846687109418275,0.25782568070072787
OLAPARIB,4,stacking,1.008625944572579,-0.05999165880158941,0.3110694183864916,0.309586485218009,0.9298975698248017,0.09902570038736913
