drug,blend,meta,alpha,intercept,n,w_mrna,w_cnv,w_meth,w_mirna
AZD7762,stacking,ridge,1.0,0.09283923017935092,203,0.5613949198510373,0.2911535282411081,0.22207795816069484,0.1030800687303978
GEMCITABINE,stacking,ridge,1.0,-0.16066203161117,203,0.878048926209026,-0.11377402076034916,0.17664234559033093,-0.009182297478232111
JQ1,stacking,ridge,1.0,-0.03649325847292095,203,0.5323667420656265,-0.10886160087086058,0.19894595833574294,0.4265181579407508
NAVITOCLAX,stacking,ridge,1.0,-0.10364503966938243,203,0.9407009051647809,0.3578316934078394,0.11776847737210802,-0.300667021677071
NUTLIN-3A (-),stacking,ridge,1.0,-0.02161707537057911,203,0.902737776058171,0.23603566791064398,0.20590577706255445,-0.3304023940353555
OLAPARIB,stacking,ridge,1.0,0.38383342158929734,203,0.5462744340680338,0.05780575466785895,0.4913474762287187,-0.2021777255567247
PALBOCICLIB,stacking,ridge,1.0,-0.17168536732029693,203,0.9618342648661246,0.16898844954868675,-0.27643810998234986,0.2259230596537479
PD0325901,stacking,ridge,1.0,0.037784322486645316,203,0.9328357551678382,-0.11639083549690132,0.0997260801485167,0.042370699795769684
PLX-4720,stacking,ridge,1.0,-0.6424865817055876,203,0.6734614678569588,0.3504388370662457,-0.15815953928184567,0.2975762975307964
REFAMETINIB,stacking,ridge,1.0,-0.3660943304813431,203,0.3113227770061745,-0.027382954892709265,0.4927760540529319,0.39443936851537803
SELUMETINIB,stacking,ridge,1.0,-0.31719644781423684,203,0.7505126390459744,0.147118397039904,0.23192643645661967,-0.013562381595139566
SN-38,stacking,ridge,1.0,-0.07454575230983007,203,0.9712597507735277,0.13273071135876577,0.10182526554712791,-0.22493849012678946
TALAZOPARIB,stacking,ridge,1.0,1.1248353967155693,203,0.8381063434681707,-0.34593881830991213,0.36594498532511716,-0.5876313199618859
TEMOZOLOMIDE,stacking,ridge,1.0,-0.11895716653553112,203,0.8324124763505086,0.13127525839033008,0.3088719275251568,-0.2501381519991396
TRAMETINIB,stacking,ridge,1.0,0.029708033146319868,203,1.0632761029394444,-0.2897846509563967,0.04194537582095357,0.024834186761090987
