drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna
AZD7762,1,stacking,ridge,1.0,0.049317762259448394,162,41,0.5556916396423165,0.3395708789796347,0.1853284157042447,0.11264774949361793
AZD7762,2,stacking,ridge,1.0,0.13136487512412032,162,41,0.4856449693734311,0.21773496020023375,0.20329712047457865,0.251406580551017
AZD7762,3,stacking,ridge,1.0,0.08577507190882616,162,41,0.44101687733438166,0.2915462967081534,0.3712312707502118,0.10421521854569932
AZD7762,4,stacking,ridge,1.0,0.11038432073235149,163,40,0.6776338109982949,0.30880764408455325,0.13275683296638044,0.03044234333878588
AZD7762,5,stacking,ridge,1.0,0.09680472687148345,163,40,0.6082874393067939,0.30173796758929955,0.20078088681412706,0.07739729490224666
GEMCITABINE,1,stacking,ridge,1.0,-0.4272735851460445,162,41,0.8635109672009504,-0.15729233624395403,0.1931861506387724,-0.05786531590079025
GEMCITABINE,2,stacking,ridge,1.0,-0.10063639483371611,162,41,0.7747236894203015,0.11143874809207975,-0.013969880939809493,0.09426503965197722
GEMCITABINE,3,stacking,ridge,1.0,-0.4140114989081223,162,41,0.9841230032019739,-0.2591361354910837,0.22088858419461144,-0.108946414450618
GEMCITABINE,4,stacking,ridge,1.0,0.2699167083589815,163,40,0.8810008531364772,-0.13517077013214832,0.25098104322525244,0.07243822294007364
GEMCITABINE,5,stacking,ridge,1.0,-0.02145625571870191,163,40,0.8548459493807223,-0.1082198687688419,0.2215723018727744,0.01653114556820811
JQ1,1,stacking,ridge,1.0,-0.026187862353997948,162,41,0.56627599609272,-0.1640560553584434,0.22599356670435677,0.42483743018229847
JQ1,2,stacking,ridge,1.0,0.011279516516253585,162,41,0.6207699890175182,-0.13887950696248189,0.21822743379829332,0.34776191696963543
JQ1,3,stacking,ridge,1.0,-0.06118166780572609,162,41,0.49926101587381244,-0.04367573775861979,0.14099336552517291,0.4514084363735968
