drug,n_mrna,n_cnv,n_meth,n_mirna,n_merged
AFATINIB,203,203,203,203,203
AVAGACESTAT,203,203,203,203,203
AXITINIB,203,203,203,203,203
AZD4547,203,203,203,203,203
AZD6738,203,203,203,203,203
AZD7762,203,203,203,203,203
AZD8186,203,203,203,203,203
BMS-536924,203,203,203,203,203
BOSUTINIB,203,203,203,203,203
CCT007093,203,203,203,203,203
DACTOLISIB,203,203,203,203,203
DOCETAXEL,203,203,203,203,203
DORAMAPIMOD,203,203,203,203,203
EHT-1864,203,203,203,203,203
FULVESTRANT,203,203,203,203,203
GEFITINIB,203,203,203,203,203
GEMCITABINE,203,203,203,203,203
GW441756,203,203,203,203,203
JQ1,203,203,203,203,203
KU-55933,203,203,203,203,203
LENALIDOMIDE,203,203,203,203,203
LESTAURTINIB,203,203,203,203,203
METHOTREXATE,203,203,203,203,203
MIRIN,203,203,203,203,203
MK-2206,203,203,203,203,203
MOTESANIB,203,203,203,203,203
NAVITOCLAX,203,203,203,203,203
NU7441,203,203,203,203,203
NUTLIN-3A (-),203,203,203,203,203
OLAPARIB,203,203,203,203,203
PALBOCICLIB,203,203,203,203,203
PD0325901,203,203,203,203,203
PD173074,203,203,203,203,203
PEVONEDISTAT,203,203,203,203,203
PFI-1,203,203,203,203,203
PICTILISIB,203,203,203,203,203
PLX-4720,203,203,203,203,203
REFAMETINIB,203,203,203,203,203
RO-3306,203,203,203,203,203
RUCAPARIB,203,203,203,203,203
SB216763,203,203,203,203,203
SB590885,203,203,203,203,203
SELUMETINIB,203,203,203,203,203
SERDEMETAN,203,203,203,203,203
SGC0946,203,203,203,203,203
SN-38,203,203,203,203,203
TALAZOPARIB,203,203,203,203,203
TAMOXIFEN,203,203,203,203,203
TANESPIMYCIN,203,203,203,203,203
TEMOZOLOMIDE,203,203,203,203,203
TRAMETINIB,203,203,203,203,203
VELIPARIB,203,203,203,203,203
VISMODEGIB,203,203,203,203,203
VORINOSTAT,203,203,203,203,203
WEE1 INHIBITOR,203,203,203,203,203
YK-4-279,203,203,203,203,203
ZM447439,203,203,203,203,203
