drug,n_oof,RMSE_ens,R2_ens,Spearman_ens,Pearson_ens,RMSE_mean,R2_mean,RMSE_ens_fold_mean,RMSE_ens_fold_std,R2_ens_fold_mean,R2_ens_fold_std,Spearman_ens_fold_mean,Spearman_ens_fold_std,Pearson_ens_fold_mean,Pearson_ens_fold_std,RMSE_mean_fold_mean,RMSE_mean_fold_std,R2_mean_fold_mean,R2_mean_fold_std
AFATINIB,203,1.1147521858771372,0.03320851079541598,0.3028782014683648,0.19502855862975121,1.097981636257953,0.06207889898930008,1.1119294688480246,0.09918459888924475,0.032012588697690705,0.07521383838979795,0.3039748056821228,0.09433858595028546,0.2195910931298454,0.10945305133704188,1.095239715307256,0.09412150105910225,0.06135431936150189,0.05721329976188739
AVAGACESTAT,203,0.6057858857024713,0.3930308537013538,0.625995908776621,0.6289899652711224,0.5954199110187675,0.41362557303517444,0.6034896337280362,0.06142040400392215,0.38975996489240106,0.08196899383169075,0.6530715625837578,0.03684776448857566,0.6611140342361415,0.029634669590929065,0.5923604910211304,0.07103654450492938,0.4157570114224523,0.05587205248337966
AXITINIB,203,1.1290597170926715,0.3677721606719584,0.6157951060246565,0.6115689087001982,1.0941140046454905,0.40630287754677497,1.1226342920514463,0.13501278675458786,0.34563392374291774,0.21550840585278674,0.6699115518627715,0.0967820142725729,0.6629552460104938,0.07633411172986306,1.0897224440724433,0.1172197947552726,0.3996281337905363,0.08159428664783633
AZD4547,203,0.8717893197241474,0.25323221213869773,0.5624069361442084,0.5066457330198755,0.8604980645176351,0.2724509407399637,0.8638643426342127,0.13817390461546747,0.2420130724505764,0.13241263258242983,0.5853444116858751,0.08026744644050844,0.5476192871578398,0.08642755520052676,0.8533077011871544,0.132387094837098,0.2661847002199368,0.05711104873081648
AZD6738,203,1.075567458195635,0.3584408951486062,0.6118530717169081,0.6022368353921719,1.0610820084674781,0.37560521610465414,1.0723329135848054,0.0950177700317752,0.3602853508690605,0.06935999262198082,0.6319217367997857,0.01467106667678034,0.649685076043014,0.041584489743398324,1.059782764615829,0.059258800684087905,0.37514879865843415,0.028997143674276134
AZD7762,203,1.106332005309961,0.37019349636557797,0.6602003723988742,0.6112622565166485,1.0785402821958092,0.40143829418702337,1.09682584669119,0.14827218302026496,0.3325858842998361,0.27785844188078235,0.6803323505762531,0.1350417755984754,0.6512077082972111,0.1141888376300142,1.0708783559148358,0.13225314003479113,0.3887120969042952,0.10604814536190883
AZD8186,203,1.1941885219762767,0.21176753011084382,0.4142263255592439,0.4627126456952671,1.208557507095319,0.1926847125241471,1.1922195541186733,0.07518810704923383,0.20331512305010402,0.053060028853141095,0.44493433395872434,0.057744226948803504,0.48669852295041177,0.0574208239535064,1.2052115359945712,0.09583183649720074,0.1885722014467459,0.026204093938396657
BMS-536924,203,1.0995157262164512,0.24401562608457839,0.44804920944137305,0.496505084182006,1.0927960891519137,0.2532277139028615,1.0931645764225195,0.12767516490904426,0.2406259775524827,0.17558827624182136,0.501364245510587,0.1256960861031891,0.5340149926764092,0.1023102134948042,1.0891104970411334,0.09660183908698984,0.2523339562394322,0.10105426918407631
BOSUTINIB,203,1.1345267845277485,0.46562032434638356,0.6900008893963868,0.6829965575816419,1.1323184763687717,0.46769859438972705,1.132186384201996,0.07539302266841574,0.438517060793943,0.13227812265688788,0.7056338783168054,0.10173633043418849,0.7007061946837172,0.0815103486848514,1.1290878921698868,0.09379881635779574,0.4480065652898505,0.09829265995964083
CCT007093,203,0.5841808953813646,0.27464972511358543,0.5212321869683346,0.5260189453014594,0.5768915482761868,0.29263847687755373,0.5803035301325276,0.0730189228754368,0.269107900588384,0.19712571537620777,0.561262396140445,0.1624354982307828,0.5600422468337027,0.17189152341104633,0.5749249915540686,0.05209288405725442,0.28868603831387774,0.12856857671280605
DACTOLISIB,203,1.0301360457645459,0.2382327143406623,0.4815851912632585,0.4910806867710121,1.0188336769185096,0.25485681527179727,1.0286969359771576,0.06640022256193678,0.2310436710081853,0.12686101544038775,0.5027928169391584,0.10775165699932994,0.5146693035806535,0.1052027876721072,1.0167863590318966,0.07383059811750434,0.2518544211319846,0.10314471323713793
DOCETAXEL,203,1.5046734578508358,0.31090667777222347,0.5496484015251715,0.5581128939870239,1.5117305574032969,0.3044276584495609,1.4879286512120642,0.23578814557135794,0.3210128607264389,0.15533296038649047,0.5375100509246852,0.12861905216673,0.5801475599381707,0.11739550687446629,1.4991171807276078,0.20360199829016665,0.31270912674191,0.12461158590180105
DORAMAPIMOD,203,0.7060674496951957,0.1609921250582549,0.4142550157652683,0.4012984865773541,0.718766446652067,0.13054072160362706,0.7049392247573112,0.0485759338404396,0.15832334223593764,0.046733406407718246,0.42295363173411965,0.06595272859540308,0.41505651059953036,0.0718849666402177,0.7175462352133968,0.05175081911570404,0.1285480233299711,0.039171072098195044
EHT-1864,203,0.6780369127111244,0.20327252283155028,0.4952775920883888,0.45533248820362415,0.6645074837546535,0.23475082082919585,0.6754678556382858,0.06878112060888214,0.19337963526928462,0.18405616508220726,0.5174108818011258,0.18863822850301662,0.5045843405431931,0.17512463971791495,0.662431071072429,0.05889857133875035,0.22971514086269318,0.1338473549204182
FULVESTRANT,203,0.7934004134451627,0.0969437048176367,0.33563094066578497,0.321883012193503,0.7785084561266681,0.13052590350932647,0.7923342156728577,0.04810037553769997,0.08707248201206308,0.13161065333935895,0.37514339319217377,0.12277014454891925,0.37711464571063635,0.09565860202671665,0.777829206351308,0.04130251219811923,0.12347068225865107,0.07960850012221635
GEFITINIB,203,1.141433064411074,0.023697523533923626,0.2387010796124527,0.17011035684504003,1.1371798278046668,0.030959813523117496,1.1350591190119395,0.1224272343555277,0.0051069413566395385,0.09332101021148037,0.249471991423211,0.21414593561691112,0.2101798555025906,0.16595970128590837,1.129717305695052,0.1327837309980054,0.014725445964243033,0.11162821991024664
GEMCITABINE,203,1.5827102541918003,0.28747867378648595,0.5313411810610212,0.540662183157586,1.6016402991766374,0.27033248690430034,1.578883171288347,0.11312756085795107,0.28356867024675275,0.10845637187221098,0.5660573572768696,0.09060126758184452,0.5751087847910725,0.09278676363950113,1.599863697026246,0.08133630934030753,0.26876662402216733,0.03937966170151935
GW441756,203,0.7975806534559237,0.11732632442570123,0.3955733881125001,0.35066462170880963,0.7924669016846296,0.12860870406162195,0.7946994963441114,0.07506007980087125,0.11137623727665324,0.08976924319402053,0.41050924685071033,0.13448981586627487,0.38570251794584387,0.11483762075054696,0.7896516766097694,0.0712684930531318,0.12359512651403497,0.06316392625272259
JQ1,203,1.0073372678568275,0.5361947010975202,0.7223562692403694,0.7323298066200321,1.0439785167870834,0.5018398007500307,1.003816272666247,0.0850207951137765,0.5366821164432038,0.06731034641814564,0.7303055481104263,0.04258706410888886,0.7364074988856748,0.041689485170323795,1.0420598021490073,0.06359099865531968,0.5017073719351867,0.04610254339427555
KU-55933,203,0.7349498079890749,0.4055009896359335,0.6385435703813789,0.6371134501157598,0.7422663931130887,0.39360533721026825,0.7337068497119292,0.04968274224392309,0.3994805203338316,0.07329186665130007,0.6614794961136425,0.08121351567052133,0.6577465068989834,0.0677556117624304,0.7404506984973167,0.06035687109009755,0.39000633809742913,0.06593669570980483
LENALIDOMIDE,203,0.7322996827583519,0.39055792544450685,0.658780207200668,0.6256631704873608,0.7238717453511783,0.4045051742574486,0.72028261055069,0.139585080492126,0.40131362283044025,0.11662705743022114,0.6766228893058163,0.08546194374640462,0.6503438727548387,0.08336798491687286,0.7106189102228815,0.14621343140850052,0.42077689939035023,0.10755439240792367
LESTAURTINIB,203,1.1302986035712188,0.47250698718514883,0.7087599806054208,0.6879026268016095,1.1474059667655492,0.45641866339703807,1.1138469716775234,0.21475746752450217,0.4821818629220426,0.10444515932675395,0.7284803001876174,0.09250899831689573,0.7147980060648998,0.09360961761266778,1.131939545014379,0.21111347823635046,0.4665555499206205,0.09088065858590348
METHOTREXATE,203,1.5403898586101126,0.33168355078384903,0.595346161680787,0.5801987130407961,1.5172148092448754,0.351641818768362,1.532329685980302,0.15892405346271019,0.32301006428239365,0.16822610931918575,0.6035968909139642,0.0906957180550873,0.6025373217828947,0.08009069562383277,1.5101750326055225,0.1503084017014172,0.35295111794376094,0.07059699499728901
MIRIN,203,0.9740426286755606,0.33572786933437093,0.5973473035509869,0.5801154185154799,0.9863145618505387,0.3188841383823863,0.9700693038346919,0.08819188471604913,0.3345930709358697,0.07335768394463517,0.6184106137764676,0.053968289406762425,0.6039923769669315,0.06368950373380343,0.9820158675350429,0.09537626045635085,0.3198436606684341,0.05972831314645861
MK-2206,203,1.261986123155363,0.22856778047505077,0.4484867350832447,0.4797248015705735,1.254986800146603,0.2371012019097386,1.2603570702785816,0.07134220719571213,0.21576865925471536,0.12054083128012469,0.4553926561243635,0.10655919695883814,0.5069558974141216,0.1067679599285776,1.2523223583130014,0.09323373350155241,0.2307178071054019,0.08226330315977937
MOTESANIB,203,0.794091825706477,0.23225521469542743,0.5550938026285969,0.4834672503458859,0.7881263107242165,0.24374705873857594,0.7713920651398004,0.21814401882312912,0.2554469372519921,0.11263902297389004,0.5869337979094078,0.08797852148593689,0.5287686662498554,0.1169581641602528,0.7678322758626178,0.20613224841707778,0.2619081832455222,0.08232159200470067
NAVITOCLAX,203,1.357602551003402,0.5063470686566238,0.7053745362945453,0.7120654310503032,1.4072386588458234,0.4695897060197485,1.3517648866061984,0.13659798206442184,0.5005333931092681,0.10999959379463105,0.7107558295363174,0.07595920163252072,0.7254031632127729,0.0724193973381834,1.4045082777880107,0.09970854241706738,0.4628155950770948,0.09734579792240663
NU7441,203,0.8169506332906764,0.34736515121574496,0.585838227404311,0.589518259838369,0.824311474405406,0.3355515034183927,0.8076986902065822,0.13535633694081992,0.3560985179159059,0.12517222952358995,0.5939158402573038,0.10954556705755945,0.597930635547557,0.0976757261304954,0.8162573430951522,0.12603098251047667,0.34352019978037607,0.10366450991496502
NUTLIN-3A (-),203,1.0193156656543678,0.5075627584607441,0.6796810222894212,0.7126212671401895,1.0758439973373883,0.4514299482920786,1.0161941750880055,0.09344023947105674,0.5058756193664748,0.08653899391935124,0.6847815599035113,0.07786283409602902,0.7330992353012054,0.0687065330673845,1.0751523328028318,0.052924188492614654,0.4485988562843774,0.0593264493779056
OLAPARIB,203,0.9063627014307978,0.24039145979755405,0.4466347822843717,0.4916879321083042,0.900229834599998,0.2506364025179423,0.8993793258853382,0.1154529242386271,0.24229633637742953,0.0863017569319359,0.457587778075583,0.11421167528414461,0.5149705426195432,0.07478549780674593,0.8913754097236775,0.1307497139057535,0.2582408253954515,0.09676731351256233
PALBOCICLIB,203,1.137629637331167,0.4788550867548297,0.6895102868733701,0.6927119571035448,1.1799671401654068,0.439343922704284,1.130568841795569,0.13309609776654496,0.46873954703618487,0.15677456427986777,0.7080085767890647,0.0934020598536721,0.7122863425214578,0.0942341048663476,1.177955668050086,0.06954349946031543,0.43247681287208717,0.09159279732926649
PD0325901,203,1.4942621175462332,0.38223389607897307,0.6354966705015909,0.6226905964026244,1.4952119890227522,0.38144824421485,1.4850503070148786,0.18137255214049222,0.3694596070928144,0.17484060896541107,0.6675234521575987,0.049992477718300746,0.6823441169675467,0.09041576311764604,1.4863926927611868,0.17219523003477072,0.3796685589288304,0.08613474898448126
PD173074,203,0.8726469561261421,0.3250164276207492,0.5744840783701668,0.5711130461520875,0.8724933392435186,0.32525404890624077,0.864265061565314,0.12818923393526802,0.3342224659223586,0.10676510825770388,0.6023586169927635,0.059149046470862734,0.5938185040458398,0.08708559483939361,0.8638160227932221,0.13119982485886056,0.3354370649015361,0.10693064622327422
