drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna,row_id
AFATINIB,1,stacking,ridge,1.0,-0.19503922340094304,162,41,0.3598285058200404,0.41121605459415217,-0.07822580010814904,0.41736485088021014,AFATINIB|fold1
AFATINIB,2,stacking,ridge,1.0,0.07438957382462252,162,41,0.34069467226853245,0.26839739813849295,0.0700715065877715,0.2776440774168758,AFATINIB|fold2
AFATINIB,3,stacking,ridge,1.0,0.16717248610687951,162,41,0.451346291006598,0.04883029092637194,0.008645417446812874,0.39188774745467525,AFATINIB|fold3
AFATINIB,4,stacking,ridge,1.0,0.2160709186662011,163,40,0.41057970658398407,0.06182146898315727,-0.2352877159366055,0.6318902089719813,AFATINIB|fold4
AFATINIB,5,stacking,ridge,1.0,-0.3326459116732101,163,40,0.5421197679277564,0.3399245118552693,0.08713064476465575,0.2634748490124193,AFATINIB|fold5
AVAGACESTAT,1,stacking,ridge,1.0,-0.596929055994389,162,41,0.5361596201087159,0.23531692779600655,0.2507821727966764,0.13129050686830582,AVAGACESTAT|fold1
AVAGACESTAT,2,stacking,ridge,1.0,-0.10863824324855553,162,41,0.42780782822460806,-0.03823713959446537,0.2741754653016091,0.3647244744639971,AVAGACESTAT|fold2
AVAGACESTAT,3,stacking,ridge,1.0,-0.693603427738041,162,41,0.5346915082771543,0.02432406831517509,0.41993316127628005,0.17656411965945343,AVAGACESTAT|fold3
AVAGACESTAT,4,stacking,ridge,1.0,-0.1749126224786961,163,40,0.5666793663811581,-0.03962447991714414,0.20190352520676638,0.31117597033585986,AVAGACESTAT|fold4
AVAGACESTAT,5,stacking,ridge,1.0,-0.18403529375749983,163,40,0.36036602004131124,0.05998329824997912,0.2982447686937153,0.3251614423704196,AVAGACESTAT|fold5
AXITINIB,1,stacking,ridge,1.0,-0.23052622564569125,162,41,0.4774269169901325,0.09962496519015294,0.5259360779155535,0.023679919084955012,AXITINIB|fold1
AXITINIB,2,stacking,ridge,1.0,-0.4681666686761474,162,41,0.4993913259397423,0.15746975747862532,0.5178770196795212,0.031206716631639698,AXITINIB|fold2
AXITINIB,3,stacking,ridge,1.0,-0.7340372583894994,162,41,0.6716947168872776,0.012303302260159722,0.32995125176335405,0.28382899005884465,AXITINIB|fold3
AXITINIB,4,stacking,ridge,1.0,-0.3825868271013406,163,40,0.2712095478055593,0.3173299800668383,0.471126111103434,0.1431070044000217,AXITINIB|fold4
AXITINIB,5,stacking,ridge,1.0,-0.30140426830950906,163,40,0.3324564876875409,0.20138505181757618,0.5025743032272987,0.13849253206406692,AXITINIB|fold5
AZD4547,1,stacking,ridge,1.0,-0.50737754359311,162,41,0.44226959442254316,0.04119764699284995,0.29900131151807097,0.45339965975728935,AZD4547|fold1
AZD4547,2,stacking,ridge,1.0,-0.48691191699052316,162,41,0.3507858734104659,-0.18955849936950062,0.28742089800808396,0.7333474837178935,AZD4547|fold2
AZD4547,3,stacking,ridge,1.0,-0.361666450915481,162,41,0.3069221720707022,0.09247804926651516,0.15840005936362414,0.6040851164000044,AZD4547|fold3
AZD4547,4,stacking,ridge,1.0,-0.1329208374460138,163,40,0.32994580574401544,0.01066419852225194,0.3677276323109513,0.35117877783037826,AZD4547|fold4
AZD4547,5,stacking,ridge,1.0,-0.4682504864847732,163,40,0.3613411005169923,-0.07967199373821429,0.32296379736889114,0.6167671223012451,AZD4547|fold5
AZD6738,1,stacking,ridge,1.0,-0.07346858395993028,162,41,0.5873076802998002,0.5030035223459829,-0.27988390926034196,0.2727005646980583,AZD6738|fold1
AZD6738,2,stacking,ridge,1.0,-0.16933117733956138,162,41,0.58281201674198,0.5344118922945689,-0.24406880827375713,0.2580725412512489,AZD6738|fold2
AZD6738,3,stacking,ridge,1.0,-0.537141544626575,162,41,0.507235221126775,0.43633540269712007,-0.06984526372753894,0.376460135899521,AZD6738|fold3
AZD6738,4,stacking,ridge,1.0,-0.1056087960154124,163,40,0.6470572143047344,0.5306001084163251,-0.27464099360981825,0.1967213469053763,AZD6738|fold4
AZD6738,5,stacking,ridge,1.0,-0.023984499902307777,163,40,0.8926469647472701,0.18661703856651285,-0.3423143683119283,0.2808367727949629,AZD6738|fold5
AZD7762,1,stacking,ridge,1.0,0.07753424188482694,162,41,0.5459144219453985,0.13761038657065322,0.20087945408897848,0.1521683840237345,AZD7762|fold1
AZD7762,2,stacking,ridge,1.0,0.03142195599937869,162,41,0.5757212689525647,0.29918257437915835,-0.007150205323987184,0.22839960274190538,AZD7762|fold2
AZD7762,3,stacking,ridge,1.0,0.07063519835463261,162,41,0.9301866768161919,0.014156514286035898,-0.05554452696728829,0.33185135033199714,AZD7762|fold3
AZD7762,4,stacking,ridge,1.0,0.08014512686281106,163,40,0.6555992479927796,0.23506997326441256,0.07699667417944592,0.1931099316739895,AZD7762|fold4
AZD7762,5,stacking,ridge,1.0,0.04037421973701827,163,40,0.6319686702625584,0.25384457286763173,-0.03806478934025232,0.2624153779487526,AZD7762|fold5
AZD8186,1,stacking,ridge,1.0,-0.18113192001031964,162,41,0.8090292762468133,0.28776509303957487,0.30595261407066554,-0.3178502993670292,AZD8186|fold1
AZD8186,2,stacking,ridge,1.0,-0.19743908328303217,162,41,0.8128545337809446,0.36569944345157435,0.14846421093103288,-0.26666286367086406,AZD8186|fold2
AZD8186,3,stacking,ridge,1.0,-0.5992269637958767,162,41,0.8744193646667913,0.2367041943766379,0.06470669702430108,0.05316535611215429,AZD8186|fold3
AZD8186,4,stacking,ridge,1.0,0.11901290248538343,163,40,0.9144596660436423,0.365231100797451,0.13522756099777714,-0.4430400173542818,AZD8186|fold4
AZD8186,5,stacking,ridge,1.0,-0.3560206490710711,163,40,1.024211525849316,0.3212581092418344,-0.004341571656470127,-0.18809466033563182,AZD8186|fold5
BMS-536924,1,stacking,ridge,1.0,-0.6524097263061919,162,41,0.3705697736769757,0.4850718158229888,0.17156307861863107,0.3192579062295191,BMS-536924|fold1
BMS-536924,2,stacking,ridge,1.0,-0.7709162170686419,162,41,0.4415080407450185,0.3978277463522041,0.03709525125785693,0.5186211397080718,BMS-536924|fold2
BMS-536924,3,stacking,ridge,1.0,-1.2962205400620455,162,41,0.47150155478528305,0.3811127653321438,0.06443376429383871,0.6898136000444004,BMS-536924|fold3
BMS-536924,4,stacking,ridge,1.0,-0.8672534745420846,163,40,0.32578601678153335,0.5636065456752265,0.11861983790666121,0.45932142527466385,BMS-536924|fold4
BMS-536924,5,stacking,ridge,1.0,-0.7910822959747579,163,40,0.26943230990481604,0.49280183065413524,0.22792596173556964,0.41185156917265275,BMS-536924|fold5
BOSUTINIB,1,stacking,ridge,1.0,-0.054745762586763114,162,41,0.8380568470575963,0.11178803451428632,0.1520876420736242,-0.03319096397641233,BOSUTINIB|fold1
BOSUTINIB,2,stacking,ridge,1.0,-0.45451811493517935,162,41,0.7144670797874337,0.2122136831741187,0.25443445080121263,0.05638361130300183,BOSUTINIB|fold2
BOSUTINIB,3,stacking,ridge,1.0,-0.3670981749754456,162,41,0.7713919481535423,0.1218622442556098,0.10474466298097429,0.16479103521500044,BOSUTINIB|fold3
BOSUTINIB,4,stacking,ridge,1.0,-0.12859415581138345,163,40,0.8352366869261234,0.054807560871975164,0.09430079080074778,0.08743653929148078,BOSUTINIB|fold4
BOSUTINIB,5,stacking,ridge,1.0,0.008560958086195614,163,40,0.7149127200075593,0.0486290981993932,0.3314565204843849,-0.10226049291343331,BOSUTINIB|fold5
CCT007093,1,stacking,ridge,1.0,-0.49572184584070556,162,41,0.4405976390917512,0.14191123784698645,0.3711309379967109,0.15479246870892613,CCT007093|fold1
CCT007093,2,stacking,ridge,1.0,-1.0944460099554814,162,41,0.5230572090987706,0.26833083169316485,0.3965302231752313,0.06596791687819026,CCT007093|fold2
CCT007093,3,stacking,ridge,1.0,-1.5786980470556955,162,41,0.4125599259429529,0.06665768003336654,0.4991631392594724,0.3742176734190561,CCT007093|fold3
CCT007093,4,stacking,ridge,1.0,-1.0475278341997791,163,40,0.4210046980624149,0.23561961425207176,0.5064234197893164,0.07382398572424584,CCT007093|fold4
CCT007093,5,stacking,ridge,1.0,-0.487196002693671,163,40,0.46728233022707927,0.2098982217557747,0.33000321443361846,0.10052838122092515,CCT007093|fold5
DACTOLISIB,1,stacking,ridge,1.0,0.11947759743561415,162,41,0.6299314808626689,0.058858650662535,0.1570973678842338,0.21110505547074152,DACTOLISIB|fold1
DACTOLISIB,2,stacking,ridge,1.0,-0.1930149052713137,162,41,0.8135604899628494,0.007922426556088364,0.062042388254463496,0.0343887035028636,DACTOLISIB|fold2
DACTOLISIB,3,stacking,ridge,1.0,0.46166369073292834,162,41,0.6397877596184863,0.08845116940244362,0.1432683587837579,0.3729906546524542,DACTOLISIB|fold3
DACTOLISIB,4,stacking,ridge,1.0,0.3213214885281177,163,40,0.9103267173982418,0.09808874157993527,-0.24534442738499473,0.38101754703094176,DACTOLISIB|fold4
DACTOLISIB,5,stacking,ridge,1.0,0.032946262412314464,163,40,0.785676704819256,0.15174729232840908,-0.07543295403299313,0.1445923591107784,DACTOLISIB|fold5
DOCETAXEL,1,stacking,ridge,1.0,1.6343585801343252,162,41,0.4368410777090527,0.5680981849432016,0.26296450355270934,0.16806477694355282,DOCETAXEL|fold1
DOCETAXEL,2,stacking,ridge,1.0,1.1397357471854899,162,41,0.3330802676966625,0.4057300182945853,0.28301663979013325,0.2979318128287412,DOCETAXEL|fold2
DOCETAXEL,3,stacking,ridge,1.0,1.2041347813451058,162,41,0.22334329792487084,0.541902043288464,0.22294046398327255,0.35692083278510495,DOCETAXEL|fold3
DOCETAXEL,4,stacking,ridge,1.0,1.1680386992052556,163,40,0.3188183244394342,0.47977685701556494,0.33575953950356296,0.18281657681057287,DOCETAXEL|fold4
DOCETAXEL,5,stacking,ridge,1.0,1.0106171850314327,163,40,0.22278700936004373,0.5361021860352722,0.21251407129144975,0.3021319587290057,DOCETAXEL|fold5
DORAMAPIMOD,1,stacking,ridge,1.0,0.8609422406447145,162,41,0.7801159618146678,-0.3764034050696546,0.21979805734564636,0.18516002944942273,DORAMAPIMOD|fold1
DORAMAPIMOD,2,stacking,ridge,1.0,0.77341752926682,162,41,0.6165533617946855,-0.4705550021691839,0.2371402053452471,0.4423268699785422,DORAMAPIMOD|fold2
DORAMAPIMOD,3,stacking,ridge,1.0,1.1928976072530961,162,41,0.6581070458580467,-0.45036275807474563,0.258457396940582,0.25804719267299514,DORAMAPIMOD|fold3
DORAMAPIMOD,4,stacking,ridge,1.0,0.8596197741847411,163,40,0.7191632820213845,-0.285614650704125,0.20087625226319014,0.17447216611929142,DORAMAPIMOD|fold4
DORAMAPIMOD,5,stacking,ridge,1.0,0.7811867758050131,163,40,0.8118542328390731,-0.36505173758525145,0.15651925702530034,0.22260970059618557,DORAMAPIMOD|fold5
EHT-1864,1,stacking,ridge,1.0,-0.6458264342560631,162,41,0.6750949893515686,0.2995063950594849,-0.026547574318501358,0.23454961781828015,EHT-1864|fold1
EHT-1864,2,stacking,ridge,1.0,0.42477328311486895,162,41,0.6013843130013329,0.09059620572906568,-0.0995221343096446,0.2940377417376793,EHT-1864|fold2
EHT-1864,3,stacking,ridge,1.0,-0.034247538415830725,162,41,0.6249349391588757,0.1336827336680589,0.027601865585673162,0.2252288629332413,EHT-1864|fold3
EHT-1864,4,stacking,ridge,1.0,-0.44371197726553824,163,40,0.813312271071155,0.01676524237243842,0.25488155827820563,0.058942702914706706,EHT-1864|fold4
EHT-1864,5,stacking,ridge,1.0,-0.07585386724921372,163,40,0.8153262315846059,0.06818313505631497,-0.036298319583164686,0.16888862561960158,EHT-1864|fold5
FULVESTRANT,1,stacking,ridge,1.0,-0.7776583273418582,162,41,0.35272478429579124,0.46310379198460633,0.022319053928740153,0.40073200987308805,FULVESTRANT|fold1
FULVESTRANT,2,stacking,ridge,1.0,0.21995021791610148,162,41,0.42112227980518246,0.1643660084240208,0.09376343949159624,0.2562386115409923,FULVESTRANT|fold2
FULVESTRANT,3,stacking,ridge,1.0,-0.3989885514667728,162,41,0.3514036338184866,0.17243649788336446,0.049394404183574464,0.5322347545362406,FULVESTRANT|fold3
FULVESTRANT,4,stacking,ridge,1.0,-0.030287669518870963,163,40,0.48659506159402754,0.16679589374714054,0.00453480687424278,0.3543554949909629,FULVESTRANT|fold4
FULVESTRANT,5,stacking,ridge,1.0,0.10654112793472192,163,40,0.43578908361992363,0.14170851859958503,0.15198552624984699,0.23178148743659766,FULVESTRANT|fold5
GEFITINIB,1,stacking,ridge,1.0,0.5797972651830787,162,41,0.018896611625242518,-0.11329875910122225,0.48435514690065273,0.36075703951152527,GEFITINIB|fold1
