drug,blend,meta,alpha,intercept,n,omics,weight
AFATINIB,stacking,ridge,1.0,-0.032009812628983836,203,mrna,0.4234570626754886
AVAGACESTAT,stacking,ridge,1.0,-0.3169836678308444,203,mrna,0.47921110899571073
AXITINIB,stacking,ridge,1.0,-0.4008654318564324,203,mrna,0.4505533600162489
AZD4547,stacking,ridge,1.0,-0.380056095762654,203,mrna,0.35425318318860016
AZD6738,stacking,ridge,1.0,-0.1670592975956129,203,mrna,0.6405551905523363
AZD7762,stacking,ridge,1.0,0.05977998121164729,203,mrna,0.6618092971817026
AZD8186,stacking,ridge,1.0,-0.1776452583384147,203,mrna,0.8966339731737558
BMS-536924,stacking,ridge,1.0,-0.8617750820864318,203,mrna,0.3740265440240498
BOSUTINIB,stacking,ridge,1.0,-0.1906339206273755,203,mrna,0.7837267614742458
CCT007093,stacking,ridge,1.0,-0.9201894887416566,203,mrna,0.4538694867627732
DACTOLISIB,stacking,ridge,1.0,0.12860720267325165,203,mrna,0.7634192681053786
DOCETAXEL,stacking,ridge,1.0,1.2214954918498226,203,mrna,0.3050304709807925
DORAMAPIMOD,stacking,ridge,1.0,0.9363098920816695,203,mrna,0.7360338316621644
EHT-1864,stacking,ridge,1.0,-0.130761447098374,203,mrna,0.7199481851324715
FULVESTRANT,stacking,ridge,1.0,-0.11211436925888973,203,mrna,0.41778818987928606
GEFITINIB,stacking,ridge,1.0,0.4409096267886703,203,mrna,0.02380826178733708
GEMCITABINE,stacking,ridge,1.0,-0.025347771787103124,203,mrna,0.9812517367290211
GW441756,stacking,ridge,1.0,0.030750837288497035,203,mrna,0.6296001380627245
JQ1,stacking,ridge,1.0,-0.10043052084542248,203,mrna,0.8710647050713255
KU-55933,stacking,ridge,1.0,-0.22443614819208868,203,mrna,0.7516870759761133
LENALIDOMIDE,stacking,ridge,1.0,-0.631476138758476,203,mrna,0.39841791330158205
LESTAURTINIB,stacking,ridge,1.0,0.08289364652739206,203,mrna,0.9453112020465191
METHOTREXATE,stacking,ridge,1.0,0.05064077270512357,203,mrna,0.8246223121018259
MIRIN,stacking,ridge,1.0,-0.15238966007720034,203,mrna,0.806483551630404
MK-2206,stacking,ridge,1.0,-0.683345339908487,203,mrna,0.3419039427096784
MOTESANIB,stacking,ridge,1.0,-1.1179431777919437,203,mrna,0.5206009657810129
NAVITOCLAX,stacking,ridge,1.0,-0.030381617459787513,203,mrna,0.9382998146724834
NU7441,stacking,ridge,1.0,-0.49322160443557284,203,mrna,0.4424975186683822
NUTLIN-3A (-),stacking,ridge,1.0,0.2145349351483481,203,mrna,0.848619100164183
OLAPARIB,stacking,ridge,1.0,-0.39136908074983046,203,mrna,0.4707189433632717
PALBOCICLIB,stacking,ridge,1.0,-0.08493490290872696,203,mrna,1.0650183265907032
PD0325901,stacking,ridge,1.0,-0.02207937154754791,203,mrna,0.5938713827477633
PD173074,stacking,ridge,1.0,-0.2566921016204198,203,mrna,0.7248900767007678
PEVONEDISTAT,stacking,ridge,1.0,0.014567907009171044,203,mrna,0.8742190984434378
PFI-1,stacking,ridge,1.0,0.11782524423707263,203,mrna,0.9696048796886814
PICTILISIB,stacking,ridge,1.0,0.1551561010536916,203,mrna,0.6499868328792696
PLX-4720,stacking,ridge,1.0,-0.7762579055025629,203,mrna,0.7219718285235943
REFAMETINIB,stacking,ridge,1.0,-0.09730846641138235,203,mrna,0.5285317625419022
RO-3306,stacking,ridge,1.0,-0.132559462743699,203,mrna,0.7971757185310715
RUCAPARIB,stacking,ridge,1.0,-0.3344370468442741,203,mrna,0.4710367587020402
SB216763,stacking,ridge,1.0,0.1781154873722599,203,mrna,0.9641907459948645
SB590885,stacking,ridge,1.0,-0.3156128823404427,203,mrna,0.5551351527180494
SELUMETINIB,stacking,ridge,1.0,-0.34116343371626145,203,mrna,0.6344660339050961
SERDEMETAN,stacking,ridge,1.0,-0.5212122634447489,203,mrna,0.542032664588549
SGC0946,stacking,ridge,1.0,-0.10713623158575913,203,mrna,0.8406422162167029
SN-38,stacking,ridge,1.0,-0.5959665588058609,203,mrna,0.9037445298888888
TALAZOPARIB,stacking,ridge,1.0,1.206885314774891,203,mrna,0.5665284656499782
TAMOXIFEN,stacking,ridge,1.0,-0.12704257169428468,203,mrna,0.6474795660798257
TANESPIMYCIN,stacking,ridge,1.0,0.045715456498324786,203,mrna,0.819536475088185
TEMOZOLOMIDE,stacking,ridge,1.0,-0.2702344808963444,203,mrna,0.7126483387704579
TRAMETINIB,stacking,ridge,1.0,0.05785071394767788,203,mrna,0.7202027612789224
VELIPARIB,stacking,ridge,1.0,0.11565736360663248,203,mrna,0.7482704116167366
VISMODEGIB,stacking,ridge,1.0,0.11231802631179644,203,mrna,0.5857117230007347
VORINOSTAT,stacking,ridge,1.0,-0.06715549344458593,203,mrna,0.7170180328269508
WEE1 INHIBITOR,stacking,ridge,1.0,-0.13283355968534383,203,mrna,0.3926480173693746
YK-4-279,stacking,ridge,1.0,-0.048166956472927014,203,mrna,0.6869696730005515
ZM447439,stacking,ridge,1.0,-0.28494388863158426,203,mrna,0.8795733743194148
AFATINIB,stacking,ridge,1.0,-0.032009812628983836,203,cnv,0.23726680487220794
AVAGACESTAT,stacking,ridge,1.0,-0.3169836678308444,203,cnv,0.04187124151564979
AXITINIB,stacking,ridge,1.0,-0.4008654318564324,203,cnv,0.1671293984677481
AZD4547,stacking,ridge,1.0,-0.380056095762654,203,cnv,-0.026752794605695504
AZD6738,stacking,ridge,1.0,-0.1670592975956129,203,cnv,0.45180858432721965
AZD7762,stacking,ridge,1.0,0.05977998121164729,203,cnv,0.1940604136532628
AZD8186,stacking,ridge,1.0,-0.1776452583384147,203,cnv,0.3115154826202859
BMS-536924,stacking,ridge,1.0,-0.8617750820864318,203,cnv,0.46327386815539556
BOSUTINIB,stacking,ridge,1.0,-0.1906339206273755,203,cnv,0.10419256373620879
CCT007093,stacking,ridge,1.0,-0.9201894887416566,203,cnv,0.18905718341357072
DACTOLISIB,stacking,ridge,1.0,0.12860720267325165,203,cnv,0.07632060358662433
DOCETAXEL,stacking,ridge,1.0,1.2214954918498226,203,cnv,0.5078274303481876
DORAMAPIMOD,stacking,ridge,1.0,0.9363098920816695,203,cnv,-0.40829130167164973
EHT-1864,stacking,ridge,1.0,-0.130761447098374,203,cnv,0.11662341642843442
FULVESTRANT,stacking,ridge,1.0,-0.11211436925888973,203,cnv,0.20639082795362487
GEFITINIB,stacking,ridge,1.0,0.4409096267886703,203,cnv,-0.11330616295033497
GEMCITABINE,stacking,ridge,1.0,-0.025347771787103124,203,cnv,0.044110670367849894
GW441756,stacking,ridge,1.0,0.030750837288497035,203,cnv,0.3783174605177215
JQ1,stacking,ridge,1.0,-0.10043052084542248,203,cnv,-0.020620176225195512
KU-55933,stacking,ridge,1.0,-0.22443614819208868,203,cnv,0.018660614730066662
LENALIDOMIDE,stacking,ridge,1.0,-0.631476138758476,203,cnv,0.19118666889632244
LESTAURTINIB,stacking,ridge,1.0,0.08289364652739206,203,cnv,0.14710616147420186
METHOTREXATE,stacking,ridge,1.0,0.05064077270512357,203,cnv,-0.05444747729905106
MIRIN,stacking,ridge,1.0,-0.15238966007720034,203,cnv,0.30665139926708723
MK-2206,stacking,ridge,1.0,-0.683345339908487,203,cnv,0.45895915948516214
MOTESANIB,stacking,ridge,1.0,-1.1179431777919437,203,cnv,0.2645823197934361
NAVITOCLAX,stacking,ridge,1.0,-0.030381617459787513,203,cnv,0.3978073193423317
NU7441,stacking,ridge,1.0,-0.49322160443557284,203,cnv,0.21603027161045896
NUTLIN-3A (-),stacking,ridge,1.0,0.2145349351483481,203,cnv,0.23150219813921283
OLAPARIB,stacking,ridge,1.0,-0.39136908074983046,203,cnv,0.3865015103823246
PALBOCICLIB,stacking,ridge,1.0,-0.08493490290872696,203,cnv,0.08253204881363255
PD0325901,stacking,ridge,1.0,-0.02207937154754791,203,cnv,-0.046209654239700255
PD173074,stacking,ridge,1.0,-0.2566921016204198,203,cnv,0.06633130896921775
PEVONEDISTAT,stacking,ridge,1.0,0.014567907009171044,203,cnv,0.3181667461968165
PFI-1,stacking,ridge,1.0,0.11782524423707263,203,cnv,0.09629674572698194
PICTILISIB,stacking,ridge,1.0,0.1551561010536916,203,cnv,0.12877415064466846
PLX-4720,stacking,ridge,1.0,-0.7762579055025629,203,cnv,0.4393513517085633
REFAMETINIB,stacking,ridge,1.0,-0.09730846641138235,203,cnv,0.09341391610059675
RO-3306,stacking,ridge,1.0,-0.132559462743699,203,cnv,-0.13327619923367473
RUCAPARIB,stacking,ridge,1.0,-0.3344370468442741,203,cnv,0.5516618156965348
SB216763,stacking,ridge,1.0,0.1781154873722599,203,cnv,0.059207899046162554
SB590885,stacking,ridge,1.0,-0.3156128823404427,203,cnv,-0.06696188171392338
SELUMETINIB,stacking,ridge,1.0,-0.34116343371626145,203,cnv,-0.021109653993108643
SERDEMETAN,stacking,ridge,1.0,-0.5212122634447489,203,cnv,0.031122419485330344
SGC0946,stacking,ridge,1.0,-0.10713623158575913,203,cnv,0.24679151462241328
SN-38,stacking,ridge,1.0,-0.5959665588058609,203,cnv,-0.02367651109245794
TALAZOPARIB,stacking,ridge,1.0,1.206885314774891,203,cnv,-0.1641527175562626
TAMOXIFEN,stacking,ridge,1.0,-0.12704257169428468,203,cnv,0.09506953989937474
TANESPIMYCIN,stacking,ridge,1.0,0.045715456498324786,203,cnv,-0.03628142836977328
TEMOZOLOMIDE,stacking,ridge,1.0,-0.2702344808963444,203,cnv,0.13149268255637436
TRAMETINIB,stacking,ridge,1.0,0.05785071394767788,203,cnv,-0.300195773337467
VELIPARIB,stacking,ridge,1.0,0.11565736360663248,203,cnv,-0.16044481811994082
VISMODEGIB,stacking,ridge,1.0,0.11231802631179644,203,cnv,-0.37628142977836687
VORINOSTAT,stacking,ridge,1.0,-0.06715549344458593,203,cnv,0.09593972940523315
WEE1 INHIBITOR,stacking,ridge,1.0,-0.13283355968534383,203,cnv,0.024535669409254487
YK-4-279,stacking,ridge,1.0,-0.048166956472927014,203,cnv,0.010101027484201936
ZM447439,stacking,ridge,1.0,-0.28494388863158426,203,cnv,0.15455495303740138
AFATINIB,stacking,ridge,1.0,-0.032009812628983836,203,meth,-0.037490536918219075
