drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
AFATINIB,1,stacking,ridge,1.0,-0.19503922340094304,162,41,mrna,0.3598285058200404
AFATINIB,2,stacking,ridge,1.0,0.07438957382462252,162,41,mrna,0.34069467226853245
AFATINIB,3,stacking,ridge,1.0,0.16717248610687951,162,41,mrna,0.451346291006598
AFATINIB,4,stacking,ridge,1.0,0.2160709186662011,163,40,mrna,0.41057970658398407
AFATINIB,5,stacking,ridge,1.0,-0.3326459116732101,163,40,mrna,0.5421197679277564
AVAGACESTAT,1,stacking,ridge,1.0,-0.596929055994389,162,41,mrna,0.5361596201087159
AVAGACESTAT,2,stacking,ridge,1.0,-0.10863824324855553,162,41,mrna,0.42780782822460806
AVAGACESTAT,3,stacking,ridge,1.0,-0.693603427738041,162,41,mrna,0.5346915082771543
AVAGACESTAT,4,stacking,ridge,1.0,-0.1749126224786961,163,40,mrna,0.5666793663811581
AVAGACESTAT,5,stacking,ridge,1.0,-0.18403529375749983,163,40,mrna,0.36036602004131124
AXITINIB,1,stacking,ridge,1.0,-0.23052622564569125,162,41,mrna,0.4774269169901325
AXITINIB,2,stacking,ridge,1.0,-0.4681666686761474,162,41,mrna,0.4993913259397423
AXITINIB,3,stacking,ridge,1.0,-0.7340372583894994,162,41,mrna,0.6716947168872776
AXITINIB,4,stacking,ridge,1.0,-0.3825868271013406,163,40,mrna,0.2712095478055593
AXITINIB,5,stacking,ridge,1.0,-0.30140426830950906,163,40,mrna,0.3324564876875409
AZD4547,1,stacking,ridge,1.0,-0.50737754359311,162,41,mrna,0.44226959442254316
AZD4547,2,stacking,ridge,1.0,-0.48691191699052316,162,41,mrna,0.3507858734104659
AZD4547,3,stacking,ridge,1.0,-0.361666450915481,162,41,mrna,0.3069221720707022
AZD4547,4,stacking,ridge,1.0,-0.1329208374460138,163,40,mrna,0.32994580574401544
AZD4547,5,stacking,ridge,1.0,-0.4682504864847732,163,40,mrna,0.3613411005169923
AZD6738,1,stacking,ridge,1.0,-0.07346858395993028,162,41,mrna,0.5873076802998002
AZD6738,2,stacking,ridge,1.0,-0.16933117733956138,162,41,mrna,0.58281201674198
AZD6738,3,stacking,ridge,1.0,-0.537141544626575,162,41,mrna,0.507235221126775
AZD6738,4,stacking,ridge,1.0,-0.1056087960154124,163,40,mrna,0.6470572143047344
AZD6738,5,stacking,ridge,1.0,-0.023984499902307777,163,40,mrna,0.8926469647472701
AZD7762,1,stacking,ridge,1.0,0.07753424188482694,162,41,mrna,0.5459144219453985
AZD7762,2,stacking,ridge,1.0,0.03142195599937869,162,41,mrna,0.5757212689525647
AZD7762,3,stacking,ridge,1.0,0.07063519835463261,162,41,mrna,0.9301866768161919
AZD7762,4,stacking,ridge,1.0,0.08014512686281106,163,40,mrna,0.6555992479927796
AZD7762,5,stacking,ridge,1.0,0.04037421973701827,163,40,mrna,0.6319686702625584
AZD8186,1,stacking,ridge,1.0,-0.18113192001031964,162,41,mrna,0.8090292762468133
AZD8186,2,stacking,ridge,1.0,-0.19743908328303217,162,41,mrna,0.8128545337809446
AZD8186,3,stacking,ridge,1.0,-0.5992269637958767,162,41,mrna,0.8744193646667913
AZD8186,4,stacking,ridge,1.0,0.11901290248538343,163,40,mrna,0.9144596660436423
AZD8186,5,stacking,ridge,1.0,-0.3560206490710711,163,40,mrna,1.024211525849316
BMS-536924,1,stacking,ridge,1.0,-0.6524097263061919,162,41,mrna,0.3705697736769757
BMS-536924,2,stacking,ridge,1.0,-0.7709162170686419,162,41,mrna,0.4415080407450185
BMS-536924,3,stacking,ridge,1.0,-1.2962205400620455,162,41,mrna,0.47150155478528305
BMS-536924,4,stacking,ridge,1.0,-0.8672534745420846,163,40,mrna,0.32578601678153335
BMS-536924,5,stacking,ridge,1.0,-0.7910822959747579,163,40,mrna,0.26943230990481604
BOSUTINIB,1,stacking,ridge,1.0,-0.054745762586763114,162,41,mrna,0.8380568470575963
BOSUTINIB,2,stacking,ridge,1.0,-0.45451811493517935,162,41,mrna,0.7144670797874337
BOSUTINIB,3,stacking,ridge,1.0,-0.3670981749754456,162,41,mrna,0.7713919481535423
BOSUTINIB,4,stacking,ridge,1.0,-0.12859415581138345,163,40,mrna,0.8352366869261234
BOSUTINIB,5,stacking,ridge,1.0,0.008560958086195614,163,40,mrna,0.7149127200075593
CCT007093,1,stacking,ridge,1.0,-0.49572184584070556,162,41,mrna,0.4405976390917512
CCT007093,2,stacking,ridge,1.0,-1.0944460099554814,162,41,mrna,0.5230572090987706
CCT007093,3,stacking,ridge,1.0,-1.5786980470556955,162,41,mrna,0.4125599259429529
CCT007093,4,stacking,ridge,1.0,-1.0475278341997791,163,40,mrna,0.4210046980624149
CCT007093,5,stacking,ridge,1.0,-0.487196002693671,163,40,mrna,0.46728233022707927
DACTOLISIB,1,stacking,ridge,1.0,0.11947759743561415,162,41,mrna,0.6299314808626689
DACTOLISIB,2,stacking,ridge,1.0,-0.1930149052713137,162,41,mrna,0.8135604899628494
DACTOLISIB,3,stacking,ridge,1.0,0.46166369073292834,162,41,mrna,0.6397877596184863
DACTOLISIB,4,stacking,ridge,1.0,0.3213214885281177,163,40,mrna,0.9103267173982418
DACTOLISIB,5,stacking,ridge,1.0,0.032946262412314464,163,40,mrna,0.785676704819256
DOCETAXEL,1,stacking,ridge,1.0,1.6343585801343252,162,41,mrna,0.4368410777090527
DOCETAXEL,2,stacking,ridge,1.0,1.1397357471854899,162,41,mrna,0.3330802676966625
DOCETAXEL,3,stacking,ridge,1.0,1.2041347813451058,162,41,mrna,0.22334329792487084
DOCETAXEL,4,stacking,ridge,1.0,1.1680386992052556,163,40,mrna,0.3188183244394342
DOCETAXEL,5,stacking,ridge,1.0,1.0106171850314327,163,40,mrna,0.22278700936004373
DORAMAPIMOD,1,stacking,ridge,1.0,0.8609422406447145,162,41,mrna,0.7801159618146678
DORAMAPIMOD,2,stacking,ridge,1.0,0.77341752926682,162,41,mrna,0.6165533617946855
DORAMAPIMOD,3,stacking,ridge,1.0,1.1928976072530961,162,41,mrna,0.6581070458580467
DORAMAPIMOD,4,stacking,ridge,1.0,0.8596197741847411,163,40,mrna,0.7191632820213845
DORAMAPIMOD,5,stacking,ridge,1.0,0.7811867758050131,163,40,mrna,0.8118542328390731
EHT-1864,1,stacking,ridge,1.0,-0.6458264342560631,162,41,mrna,0.6750949893515686
EHT-1864,2,stacking,ridge,1.0,0.42477328311486895,162,41,mrna,0.6013843130013329
EHT-1864,3,stacking,ridge,1.0,-0.034247538415830725,162,41,mrna,0.6249349391588757
EHT-1864,4,stacking,ridge,1.0,-0.44371197726553824,163,40,mrna,0.813312271071155
EHT-1864,5,stacking,ridge,1.0,-0.07585386724921372,163,40,mrna,0.8153262315846059
FULVESTRANT,1,stacking,ridge,1.0,-0.7776583273418582,162,41,mrna,0.35272478429579124
FULVESTRANT,2,stacking,ridge,1.0,0.21995021791610148,162,41,mrna,0.42112227980518246
FULVESTRANT,3,stacking,ridge,1.0,-0.3989885514667728,162,41,mrna,0.3514036338184866
FULVESTRANT,4,stacking,ridge,1.0,-0.030287669518870963,163,40,mrna,0.48659506159402754
FULVESTRANT,5,stacking,ridge,1.0,0.10654112793472192,163,40,mrna,0.43578908361992363
GEFITINIB,1,stacking,ridge,1.0,0.5797972651830787,162,41,mrna,0.018896611625242518
GEFITINIB,2,stacking,ridge,1.0,0.9088402067696277,162,41,mrna,-0.010928124102104588
GEFITINIB,3,stacking,ridge,1.0,0.3601309928116616,162,41,mrna,0.17768531026788612
GEFITINIB,4,stacking,ridge,1.0,0.5683387134466964,163,40,mrna,-0.09061565295715984
GEFITINIB,5,stacking,ridge,1.0,-0.3636966308864036,163,40,mrna,0.0357809713547906
GEMCITABINE,1,stacking,ridge,1.0,-0.1819163464792366,162,41,mrna,1.3409875389067003
GEMCITABINE,2,stacking,ridge,1.0,-0.10313517089984137,162,41,mrna,0.817481459500779
GEMCITABINE,3,stacking,ridge,1.0,-0.00476436867495833,162,41,mrna,1.0032048794471897
GEMCITABINE,4,stacking,ridge,1.0,0.292005649096045,163,40,mrna,0.9983659967812147
GEMCITABINE,5,stacking,ridge,1.0,-0.08728617390370408,163,40,mrna,0.7867440477172336
