drug,activity_chembl_id,molecule_chembl_id,assay_chembl_id,target_chembl_id,target_pref_name,target_organism,bao_label,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,activity_comment,src_id,document_chembl_id
AFATINIB,,CHEMBL1173655,CHEMBL1009318,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,single protein format,IC50,=,6.0,nM,8.22,,,1,CHEMBL1139297
AFATINIB,,CHEMBL1173655,CHEMBL1009319,CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,single protein format,IC50,=,2.0,nM,8.7,,,1,CHEMBL1139297
AFATINIB,,CHEMBL1173655,CHEMBL1176122,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,assay format,IC50,=,11.0,nM,7.96,,,1,CHEMBL1177739
AFATINIB,,CHEMBL1173655,CHEMBL1176123,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,protein format,IC50,=,15.0,nM,7.82,,,1,CHEMBL1177739
AFATINIB,,CHEMBL1173655,CHEMBL1908491,CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,single protein format,Kd,=,2200.0,nM,5.66,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908492,CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,single protein format,Kd,=,6000.0,nM,5.22,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908493,CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,single protein format,Kd,=,2600.0,nM,5.58,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908494,CHEMBL2349,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform",Homo sapiens,single protein format,Kd,=,470.0,nM,6.33,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908501,CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,single protein format,Kd,=,5.0,nM,8.3,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908509,CHEMBL1163129,Serine/threonine-protein kinase SBK1,Homo sapiens,single protein format,Kd,=,4800.0,nM,5.32,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908512,CHEMBL3009,Receptor tyrosine-protein kinase erbB-4,Homo sapiens,single protein format,Kd,=,6.3,nM,8.2,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908445,CHEMBL4526,Ephrin type-A receptor 6,Homo sapiens,single protein format,Kd,=,340.0,nM,6.47,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908520,CHEMBL4718,MAP kinase-interacting serine/threonine-protein kinase 1,Homo sapiens,single protein format,Kd,=,1800.0,nM,5.75,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908534,CHEMBL3357,Interleukin-1 receptor-associated kinase 1,Homo sapiens,single protein format,Kd,=,240.0,nM,6.62,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908537,CHEMBL4895,Tyrosine-protein kinase receptor UFO,Homo sapiens,single protein format,Kd,=,5300.0,nM,5.28,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908538,CHEMBL2250,Tyrosine-protein kinase Blk,Homo sapiens,single protein format,Kd,=,220.0,nM,6.66,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908544,CHEMBL4937,Casein kinase I isoform epsilon,Homo sapiens,single protein format,Kd,=,1300.0,nM,5.89,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908548,CHEMBL5838,Receptor tyrosine-protein kinase erbB-3,Homo sapiens,single protein format,Kd,=,4500.0,nM,5.35,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908552,CHEMBL4223,Tyrosine-protein kinase FRK,Homo sapiens,single protein format,Kd,=,1400.0,nM,5.85,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908554,CHEMBL3234,Tyrosine-protein kinase HCK,Homo sapiens,single protein format,Kd,=,2200.0,nM,5.66,,,1,CHEMBL1908390
AFATINIB,,CHEMBL1173655,CHEMBL1908588,CHEMBL2637,Mitogen-activated protein kinase 10,Homo sapiens,single protein format,Kd,=,2000.0,nM,5.7,,,1,CHEMBL1908390
