drug,source,field,token_original,token_norm,feature
ERLOTINIB,drug_sample,PUTATIVE_TARGET,EGFR,EGFR,rawtok_EGFR
ERLOTINIB,drug_sample,PUTATIVE_TARGET,NR1I2,NR1I2,rawtok_NR1I2
ERLOTINIB,drug_sample,PATHWAY_NAME,EGFR signaling,EGFR SIGNALING,rawtok_EGFR_SIGNALING
RAPAMYCIN,drug_sample,PUTATIVE_TARGET,MTORC1,MTORC1,rawtok_MTORC1
RAPAMYCIN,drug_sample,PATHWAY_NAME,MTOR signaling,MTOR SIGNALING,rawtok_MTOR_SIGNALING
RAPAMYCIN,drug_sample,PATHWAY_NAME,PI3K,PI3K,rawtok_PI3K
SUNITINIB,drug_sample,PUTATIVE_TARGET,CSF1R,CSF1R,rawtok_CSF1R
SUNITINIB,drug_sample,PUTATIVE_TARGET,FGFR1,FGFR1,rawtok_FGFR1
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT1,FLT1,rawtok_FLT1
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT3,FLT3,rawtok_FLT3
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT4,FLT4,rawtok_FLT4
SUNITINIB,drug_sample,PUTATIVE_TARGET,KDR,KDR,rawtok_KDR
SUNITINIB,drug_sample,PUTATIVE_TARGET,KIT,KIT,rawtok_KIT
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFR,PDGFR,rawtok_PDGFR
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFRA,PDGFRA,rawtok_PDGFRA
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFRB,PDGFRB,rawtok_PDGFRB
SUNITINIB,drug_sample,PUTATIVE_TARGET,RET,RET,rawtok_RET
SUNITINIB,drug_sample,PUTATIVE_TARGET,VEGFR,VEGFR,rawtok_VEGFR
SUNITINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
PHA-665752,drug_sample,PUTATIVE_TARGET,MET,MET,rawtok_MET
PHA-665752,drug_sample,PATHWAY_NAME,RTK signaling,RTK SIGNALING,rawtok_RTK_SIGNALING
MG-132,drug_sample,PUTATIVE_TARGET,CAPN1,CAPN1,rawtok_CAPN1
MG-132,drug_sample,PUTATIVE_TARGET,PSMB1,PSMB1,rawtok_PSMB1
MG-132,drug_sample,PUTATIVE_TARGET,Proteasome,PROTEASOME,rawtok_PROTEASOME
MG-132,drug_sample,PATHWAY_NAME,Protein stability and degradation,PROTEIN STABILITY AND DEGRADATION,rawtok_PROTEIN_STABILITY_AND_DEGRADATION
PACLITAXEL,drug_sample,PUTATIVE_TARGET,BCL2,BCL2,rawtok_BCL2
PACLITAXEL,drug_sample,PUTATIVE_TARGET,MAP2,MAP2,rawtok_MAP2
PACLITAXEL,drug_sample,PUTATIVE_TARGET,MAP4,MAP4,rawtok_MAP4
