drug,delta,delta_group,n_numeric_nonmissing,n_raw_tokens,n_theme_mapped_tokens,n_theme_features_present
AFATINIB,0.012120577510213996,improve,37,55,27,10
AVAGACESTAT,0.013008926133786458,improve,35,7,0,0
AXITINIB,0.014317528757608722,improve,39,122,40,12
BMS-536924,0.01150230173038111,improve,32,17,5,4
DACTOLISIB,0.019860917237299325,improve,37,40,18,8
EHT-1864,0.0189844276954671,improve,30,5,0,0
GEFITINIB,0.0160875118709046,improve,40,106,45,11
GEMCITABINE,0.04606179269041272,improve,35,9,2,2
GW441756,0.012323508390896382,improve,30,3,2,2
JQ1,0.013511501215194732,improve,32,10,4,1
NAVITOCLAX,0.020078595509834152,improve,38,21,13,1
NUTLIN-3A (-),0.011404370547470233,improve,34,6,2,2
PD0325901,0.014160839159287508,improve,36,14,11,1
PICTILISIB,0.0167612980230179,improve,38,63,19,7
RUCAPARIB,0.019514755710832388,improve,40,36,5,3
SB590885,0.023429037525629803,improve,34,4,4,1
SN-38,0.02539465362651927,improve,37,9,2,2
TAMOXIFEN,0.021905273601904307,improve,37,79,9,3
VELIPARIB,0.02316351139171896,improve,38,17,3,2
WEE1 INHIBITOR,0.02203338442789976,improve,24,3,3,2
AZD4547,-0.0019728645752193907,stable,31,27,9,4
AZD6738,-0.007150289306971147,stable,37,10,6,3
AZD7762,0.006842224863301272,stable,38,79,28,8
BOSUTINIB,-0.0005874605023999946,stable,39,264,88,10
CCT007093,-0.00022012120918779576,stable,31,2,1,1
FULVESTRANT,-0.009006997269398506,stable,40,23,0,0
LESTAURTINIB,-0.005253517161506294,stable,36,372,81,11
MK-2206,-0.0026268777837746005,stable,37,14,7,1
MOTESANIB,0.0081827313920316,stable,37,63,31,7
NU7441,-0.006622087887343808,stable,30,3,1,1
OLAPARIB,-0.00645355027362049,stable,40,25,3,2
PD173074,-0.006655023695579854,stable,33,12,3,3
PEVONEDISTAT,-0.00992250458763741,stable,36,12,1,1
PLX-4720,-0.005786978861099995,stable,33,83,30,6
REFAMETINIB,-0.0030131721241289933,stable,36,18,13,3
RO-3306,0.0037146698128948663,stable,24,2,1,1
SELUMETINIB,0.006799965468355096,stable,37,19,12,3
SERDEMETAN,0.007801258949099277,stable,32,2,0,0
TALAZOPARIB,0.00738669534147561,stable,39,18,1,1
TANESPIMYCIN,-0.0017835353882641042,stable,39,15,5,2
TRAMETINIB,0.00423188762884702,stable,38,14,10,1
AZD8186,-0.042144028712397086,worsen,36,17,6,1
DOCETAXEL,-0.02143548287855912,worsen,38,17,5,3
DORAMAPIMOD,-0.010992211413451386,worsen,38,101,38,9
KU-55933,-0.022047192344275324,worsen,32,8,5,4
LENALIDOMIDE,-0.012443432154647216,worsen,39,15,3,1
METHOTREXATE,-0.040796593355936994,worsen,39,19,3,2
MIRIN,-0.021550400357383093,worsen,31,3,1,1
PALBOCICLIB,-0.01500055314175669,worsen,40,80,18,7
PFI-1,-0.065155849497045,worsen,33,7,3,1
SB216763,-0.03637544655456221,worsen,33,11,2,1
SGC0946,-0.020339079641551683,worsen,24,2,1,1
TEMOZOLOMIDE,-0.0240495398308751,worsen,36,8,1,1
VISMODEGIB,-0.01713718429436728,worsen,40,20,5,2
VORINOSTAT,-0.01116053355731994,worsen,40,45,22,3
YK-4-279,-0.03367350257470891,worsen,32,5,0,0
ZM447439,-0.025242857338510838,worsen,34,23,13,7
