source,field,token,odds_ratio,pvalue,n_improve,n_with_token,n_total,fdr_bh,minus_log10_p,minus_log10_fdr
theme,theme,ION_CHANNEL_TRANSPORTER,4.2272727272727275,0.021902733513429903,9,15,57,0.37234646972830837,1.6595016807892804,0.4290527594110064
theme,theme,MET_HGF_RTK,2.75,0.15356970073951207,5,9,57,0.7884534752459281,0.8136944620366963,0.10322392825783173
theme,theme,JNK_P38_STRESS_MAPK,2.8333333333333335,0.18716189470906447,4,7,57,0.7884534752459281,0.7277825669339799,0.10322392825783173
theme,theme,APOPTOSIS_BCL2,4.0,0.2792207792207792,2,3,57,0.7884534752459281,0.5540522652568766,0.10322392825783173
theme,theme,CHROMATIN_EPIGENETIC,2.0625,0.2839864537977746,4,8,57,0.7884534752459281,0.5467023753796737,0.10322392825783173
theme,theme,MAP2K_MEK_ERK_RAF_CASCADE,1.3888888888888888,0.38666711535452986,8,20,57,0.7884534752459281,0.41266276153787323,0.10322392825783173
theme,theme,EPH_RECEPTOR_SIGNALING,1.6,0.38831985624438464,4,9,57,0.7884534752459281,0.4108104017874857,0.10322392825783173
theme,theme,SRC_LCK_NONRECEPTOR_TK,1.2083333333333333,0.5086817482303345,5,13,57,0.7884534752459281,0.29355384480437374,0.10322392825783173
theme,theme,RTK_SIGNALING_BROAD,1.0714285714285714,0.5909613278656118,4,11,57,0.7884534752459281,0.2284409381442715,0.10322392825783173
theme,theme,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,1.037037037037037,0.5982038305463506,5,14,57,0.7884534752459281,0.2231508103287454,0.10322392825783173
theme,theme,DNA_REPLICATION_GENOME_INTEGRITY,0.90625,0.6791180203319807,4,12,57,0.7884534752459281,0.1680547454176493,0.10322392825783173
theme,theme,SER_THR_KINASE_SIGNALING,0.90625,0.6791180203319807,4,12,57,0.7884534752459281,0.1680547454176493,0.10322392825783173
theme,theme,ERBB_EGFR_FAMILY_RTK,0.9,0.6798146590763002,5,15,57,0.7884534752459281,0.16760947481134902,0.10322392825783173
theme,theme,PARP_DNA_REPAIR_CHECKPOINT,0.9,0.6798146590763002,5,15,57,0.7884534752459281,0.16760947481134902,0.10322392825783173
theme,theme,PI3K_AKT_MTOR,0.9166666666666666,0.6956942428640542,2,6,57,0.7884534752459281,0.15758159058042442,0.10322392825783173
theme,theme,PROTEOSTASIS,0.4342105263157895,0.8958953988745448,1,5,57,0.917060423736632,0.04774269384620032,0.03760204837483902
theme,theme,CELL_CYCLE_MITOSIS_KINASE,0.4764705882352941,0.917060423736632,3,13,57,0.917060423736632,0.03760204837483902,0.03760204837483902
