feature,mean_coef,mean_abs_coef,selection_freq
Z_SCORE_abs_mean,-0.40053764299567973,0.40053764299567973,1.0
Z_SCORE_mean,-0.3439563283580109,0.3439563283580109,0.8
kd_best_pchembl,0.2900653785348467,0.2900653785348467,1.0
ic50_best_pchembl,0.17198514783677046,0.17198514783677046,0.6
aromatic_rings,0.15500573530408063,0.15500573530408063,0.6
ac50_best_pchembl,0.030567730900131134,0.030567730900131134,0.2
theme_EPH_RECEPTOR_SIGNALING,0.0,0.0,0.0
theme_ION_CHANNEL_TRANSPORTER,0.0,0.0,0.0
theme_JNK_P38_STRESS_MAPK,0.0,0.0,0.0
theme_MAP2K_MEK_ERK_RAF_CASCADE,0.0,0.0,0.0
theme_MET_HGF_RTK,0.0,0.0,0.0
theme_SRC_LCK_NONRECEPTOR_TK,0.0,0.0,0.0
