drug,refined_theme_APOPTOSIS_BCL2,refined_theme_CELL_CYCLE_MITOSIS_KINASE,refined_theme_CHROMATIN_EPIGENETIC,refined_theme_DNA_REPLICATION_GENOME_INTEGRITY,refined_theme_EPH_RECEPTOR_SIGNALING,refined_theme_ERBB_EGFR_FAMILY_RTK,refined_theme_ION_CHANNEL_TRANSPORTER,refined_theme_JNK_P38_STRESS_MAPK,refined_theme_MAP2K_MEK_ERK_RAF_CASCADE,refined_theme_MET_HGF_RTK,refined_theme_PARP_DNA_REPAIR_CHECKPOINT,refined_theme_PI3K_AKT_MTOR,refined_theme_RTK_SIGNALING_BROAD,refined_theme_SER_THR_KINASE_SIGNALING,refined_theme_SRC_LCK_NONRECEPTOR_TK,refined_theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK
AFATINIB,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1
AVAGACESTAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AXITINIB,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1
AZD4547,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
AZD6738,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AZD7762,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0
AZD8186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BMS-536924,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
BOSUTINIB,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1
CCT007093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DACTOLISIB,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
DOCETAXEL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DORAMAPIMOD,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1
EHT-1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FULVESTRANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEFITINIB,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
GEMCITABINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GW441756,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JQ1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KU-55933,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
LENALIDOMIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LESTAURTINIB,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1
METHOTREXATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRIN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MK-2206,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MOTESANIB,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
NAVITOCLAX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NU7441,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NUTLIN-3A (-),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLAPARIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PALBOCICLIB,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
PD0325901,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PD173074,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
PEVONEDISTAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFI-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PICTILISIB,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1
PLX-4720,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
REFAMETINIB,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
RO-3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUCAPARIB,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SB216763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SB590885,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SELUMETINIB,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SERDEMETAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SGC0946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN-38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TALAZOPARIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMOXIFEN,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
TANESPIMYCIN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TEMOZOLOMIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAMETINIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VELIPARIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VISMODEGIB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VORINOSTAT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WEE1 INHIBITOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YK-4-279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZM447439,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
