drug,theme_APOPTOSIS_BCL2,theme_CELL_CYCLE_MITOSIS_KINASE,theme_CHROMATIN_EPIGENETIC,theme_DNA_REPLICATION_GENOME_INTEGRITY,theme_EPH_RECEPTOR_SIGNALING,theme_ERBB_EGFR_FAMILY_RTK,theme_ION_CHANNEL_TRANSPORTER,theme_JNK_P38_STRESS_MAPK,theme_MAP2K_MEK_ERK_RAF_CASCADE,theme_MET_HGF_RTK,theme_PARP_DNA_REPAIR_CHECKPOINT,theme_PI3K_AKT_MTOR,theme_PROTEOSTASIS,theme_RTK_SIGNALING_BROAD,theme_SER_THR_KINASE_SIGNALING,theme_SRC_LCK_NONRECEPTOR_TK,theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK
1-NAPHTHYL-PP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3-DEAZANEPLANOCIN-A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-HYDROXYSTAUROSPORINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A-366,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-443654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A-674563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A-770041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ABT-737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT737,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACETYLCYSTEINE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACY-1215,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEE788,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFATINIB,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
AFURESERTIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AGK2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
