drug,n_rows,Y_mean,Y_std,Y_iqr,Y_median,AUC_mean,AUC_std,curve_RMSE_mean,curve_RMSE_std,Z_SCORE_mean,Z_SCORE_std,Z_SCORE_abs_mean,TCGA_entropy
ERLOTINIB,1355,2.787465027533161,2.388575936942908,2.0459007500000004,2.633785,0.9189436776403833,0.10871565773382617,0.0705609744680851,0.04120835014541025,0.012307231205673761,0.9909431784998829,0.7622339517730498,4.416766849516324
RAPAMYCIN,690,-2.08233505942029,1.6282574857626524,2.15856,-1.95319,0.8998715217391305,0.12449573153960844,0.1176108811594203,0.06706783975493541,0.029099313043478268,0.9795370172116972,0.7790350956521739,4.415932277043742
SUNITINIB,791,9280724.631135745,217639363.07243726,4.460329326930965,3.647931,0.8958515060592622,0.13189093933804844,0.0643467311827957,0.04218265771826137,-0.0006483494623655887,0.9861117205370287,0.7757406720430108,4.078720080479366
PHA-665752,461,2.5013048691810273,1.330291886174986,1.4082992001881802,2.380007,0.8992331178160871,0.10353916190751562,0.06591117708333334,0.04503844710957268,0.03072631770833333,0.9499843474632137,0.714080140625,4.079595123486325
MG-132,997,-0.6499364999583392,1.0574514498682146,1.548154934872254,-0.787951,0.586195598359498,0.14698479146522586,0.12810959052924792,0.0320419046306877,0.03740537743732589,1.0362083299713571,0.7494246476323119,4.411421172452326
PACLITAXEL,1358,-1.6100890597146051,2.0167793010227033,3.434254813654196,-0.118654,0.6816162841604271,0.23228548358624324,0.07896484410112359,0.04184276686715914,0.04098210955056181,1.0094185866615075,0.8434523764044944,4.42184360668945
CYCLOPAMINE,185,4.593803005405405,0.9831301975776121,1.3327140000000002,4.727076,0.9616317621621623,0.03628532788460269,0.055854205405405415,0.034576776481460555,-0.009080410810810818,0.9944188765842821,0.7979518810810812,4.059219206435135
AZ628,188,1.4543037872340425,1.9423723935915131,2.3743552500000003,1.8173615,0.8228188244680852,0.20846241670425295,0.09153161170212765,0.05433928866800407,-0.09478066489361706,1.0938263930553909,0.840635494680851,4.04630268020519
SORAFENIB,1360,3.411756551193487,2.48662262586074,2.2043224408226596,2.693284,0.9102712915213959,0.13281187591759722,0.10063582369534554,0.04247093870261193,0.015330923836389265,0.9725220059855078,0.7104653074753172,4.414397365614947
TOZASERTIB,604,5.2425041467557395e+76,1.2494329372131443e+78,2.0053313459864284,0.5005906142310945,0.7839807057393038,0.168927618575866,0.1080670251572327,0.06261032196424358,0.041227418238993715,0.9943285522548734,0.7984795628930818,4.06078031160425
IMATINIB,466,1537858383.3351016,30525609286.63432,1.3134075611031673,3.081365,0.941589128433907,0.11405118905114443,0.06395925130890052,0.042747541634205,-0.09676763350785342,1.1814442250245656,0.6971474973821989,4.0741282945320965
