drug,max_phase,oral,black_box_warning,first_approval,full_mwt,alogp_xlogp,psa_tpsa,hba,hbd,rtb,aromatic_rings,heavy_atoms,qed_weighted,best_pchembl,median_pchembl,best_standard_value,ac50_best_pchembl,ec50_best_pchembl,ic50_best_pchembl,kd_best_pchembl,ki_best_pchembl,act_pchembl_mean,act_pchembl_median,act_pchembl_std,mech_direct_interaction_mean,mech_disease_efficacy_mean,mech_molecular_mechanism_mean
ERLOTINIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPAMYCIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUNITINIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHA-665752,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-132,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACLITAXEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYCLOPAMINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ628,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORAFENIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOZASERTIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMATINIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVP-TAE684,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIZOTINIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARACATINIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-TRITYL-L-CYSTEINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z-LLNLE-CHO,,,,,,,,,,,,,,,,,,,,,,,,,,,
DASATINIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNF-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-60474,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-082996,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-770041,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH-4-023,,,,,,,,,,,,,,,,,,,,,,,,,,,
WZ-1-84,,,,,,,,,,,,,,,,,,,,,,,,,,,
BI-2536,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMS-536924,,0.0,0.0,,479.97,3.86,106.27,6.0,4.0,6.0,4.0,34.0,0.33,7.55,5.37,28.44,,,7.55,7.46,,5.437403846153846,5.37,0.8622851512365485,,,
BMS-509744,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMK,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYRIMETHAMINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
JW-7-52-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-443654,,,,,,,,,,,,,,,,,,,,,,,,,,,
GW843682X,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTINOSTAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTHENOLIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSK319347A,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGX221,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORTEZOMIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMD8-85,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELICICLIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALUBRINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPATINIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSK269962A,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOXORUBICIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETOPOSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMCITABINE,4.0,0.0,0.0,1996.0,263.2,-1.29,110.6,7.0,3.0,2.0,1.0,18.0,0.61,10.98,6.91,0.01042,4.96,10.52,10.98,,,6.9108855291576665,6.91,1.5113551727617212,,,
MITOMYCIN-C,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINORELBINE,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSC-87877,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICALUTAMIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS11,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP466722,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDOSTAURIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIR-99021,,,,,,,,,,,,,,,,,,,,,,,,,,,
PONATINIB,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZD6482,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNK-9L,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-562271,,,,,,,,,,,,,,,,,,,,,,,,,,,
HG6-64-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
JQ1,,0.0,0.0,,457.0,5.53,69.37,7.0,0.0,3.0,3.0,31.0,0.49,7.54,7.11,29.0,,,7.54,7.31,,6.8047619047619055,7.11,0.7895734231065471,,,
JQ12,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMOG,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTI-277,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSU-03012,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHIKONIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT INHIBITOR VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBELIN,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH535,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAC-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
