feature,lodo_runs_evaluable,lodo_median_effect,lodo_min_effect,lodo_max_effect,lodo_majority_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate
kd_best_pchembl,36,1.1055303939566603,0.992433294905981,1.5559792353242774,higher_in_improve,1.0,1.0
Z_SCORE_abs_mean,36,-0.6806127049005835,-0.9105793681684833,-0.6104946505396227,higher_in_worsen,1.0,1.0
black_box_warning,36,-0.7129058766488028,-0.9682458365518543,-0.6316067119866677,higher_in_worsen,1.0,0.8611111111111112
ic50_best_pchembl,36,0.5776326279458941,0.4735437306915982,0.820386906375277,higher_in_improve,1.0,0.4166666666666667
aromatic_rings,36,0.5656083179981112,0.47765876390666373,0.7088325676932152,higher_in_improve,1.0,0.05555555555555555
best_pchembl,36,0.4946987321815337,0.3857933539009634,0.7210072811198558,higher_in_improve,1.0,0.05555555555555555
ac50_best_pchembl,36,0.7987200616074919,0.5701826679351522,1.1470844411927648,higher_in_improve,1.0,0.0
act_pchembl_std,36,0.5633752229133311,0.44498418878156876,0.7515748637257783,higher_in_improve,1.0,0.0
ec50_best_pchembl,36,0.5364928397514579,0.3542376033950341,0.8259328917851393,higher_in_improve,1.0,0.0
TCGA_entropy,36,0.5325508284821752,0.3966413626231831,0.6801301041907334,higher_in_improve,1.0,0.0
alogp_xlogp,36,0.40643476580984017,0.2795600154778466,0.5725352938023679,higher_in_improve,1.0,0.0
ki_best_pchembl,36,0.3111943193543782,0.15873064619996788,0.6548377152537556,higher_in_improve,1.0,0.0
rtb,36,0.30481111268156114,0.1874883610426619,0.4035001734863567,higher_in_improve,1.0,0.0
AUC_std,36,0.24912801441758775,0.13909825218196611,0.40631001292860014,higher_in_improve,1.0,0.0
n_rows,36,0.23910763196827733,0.17575136168374283,0.45683896032608373,higher_in_improve,1.0,0.0
Y_iqr,36,0.21177140599984573,0.10475273746859973,0.5952786670217095,higher_in_improve,1.0,0.0
heavy_atoms,36,0.186877990509544,0.031844783959880045,0.4150416753592205,higher_in_improve,1.0,0.0
full_mwt,36,0.17029877081012135,0.008426622780919945,0.38856934966016876,higher_in_improve,1.0,0.0
act_pchembl_mean,36,0.1584922653689358,0.06866287098513742,0.411956666815384,higher_in_improve,1.0,0.0
median_pchembl,36,0.12405753232019877,0.03446285016255963,0.3616242528018054,higher_in_improve,1.0,0.0
act_pchembl_median,36,0.12405753232019877,0.03446285016255963,0.3616242528018054,higher_in_improve,1.0,0.0
AUC_mean,36,-0.15892260036058561,-0.33689634483059877,-0.02783535804560067,higher_in_worsen,1.0,0.0
oral,36,-0.23563775455985456,-0.35948480261100146,-0.1798692335461253,higher_in_worsen,1.0,0.0
hbd,36,-0.26306014537150224,-0.4458146957173122,-0.15422842723373115,higher_in_worsen,1.0,0.0
qed_weighted,36,-0.27744664497934846,-0.4316819633316563,-0.17133231778938154,higher_in_worsen,1.0,0.0
max_phase,36,-0.2912212244119565,-0.7154425483008854,-0.19720265943665408,higher_in_worsen,1.0,0.0
psa_tpsa,36,-0.2993720912001203,-0.4587561918973271,-0.1266721656900749,higher_in_worsen,1.0,0.0
Z_SCORE_std,36,-0.3275422839701979,-0.6267621401514957,-0.2265789503435387,higher_in_worsen,1.0,0.0
Y_median,36,-0.392709707401764,-0.6284025454426742,-0.2875349797960575,higher_in_worsen,1.0,0.0
Z_SCORE_mean,36,-0.5807953421087722,-0.7012496071684461,-0.4868002553898213,higher_in_worsen,1.0,0.0
best_standard_value,36,-0.1918333018902747,-0.5030028814519479,0.11378566298666563,higher_in_worsen,0.9722222222222222,0.05555555555555555
first_approval,36,0.2710451263085774,-0.21436009702065942,0.5949061577392245,higher_in_improve,0.9722222222222222,0.0
hba,36,-0.18078195945857592,-0.2921355954098592,0.021840706919673655,higher_in_worsen,0.9722222222222222,0.0
Y_std,36,-0.3708099243540084,-0.39641248358530823,0.29468984881192184,higher_in_worsen,0.9722222222222222,0.0
Y_mean,36,-0.37080992435418764,-0.396412483585479,0.29468984988234365,higher_in_worsen,0.9722222222222222,0.0
curve_RMSE_std,36,0.07344045438484961,-0.026320955443404258,0.25064102402593025,higher_in_improve,0.9444444444444444,0.0
curve_RMSE_mean,36,-0.07201251388415207,-0.18727925706459603,0.042331827513209665,higher_in_worsen,0.9166666666666666,0.0
