feature,pvalue,fdr_bh,abs_cohen_d,single_feature_auc_abs,cohen_d_improve_minus_worsen,effect_direction,threshold
ac50_best_pchembl,0.30952380952380953,0.7159424867148041,0.8098645611889792,0.6944444444444444,0.8098645611889792,higher_in_improve,0.005
Z_SCORE_abs_mean,0.010772291908133374,0.430891676325335,0.7224020318784378,0.7133333333333334,-0.7224020318784378,higher_in_worsen,0.005
kd_best_pchembl,0.10496257276387952,0.6137020359785103,0.6866172061821585,0.6672794117647058,0.6866172061821585,higher_in_improve,0.005
TCGA_entropy,0.07669705339145805,0.6137020359785103,0.6046397566939747,0.6483333333333333,0.6046397566939747,higher_in_improve,0.005
black_box_warning,0.07825502308568134,0.6137020359785103,0.5203673901352212,0.5841666666666667,-0.5203673901352212,higher_in_worsen,0.005
Z_SCORE_std,0.10739785629623931,0.6137020359785103,0.46105587011547716,0.635,-0.46105587011547716,higher_in_worsen,0.005
Z_SCORE_mean,0.5286945842313551,0.9477797257790374,0.4397516987703988,0.5533333333333333,-0.4397516987703988,higher_in_worsen,0.005
ic50_best_pchembl,0.07349229642432059,0.6137020359785103,0.43104138657696367,0.6530797101449276,0.43104138657696367,higher_in_improve,0.005
Y_iqr,0.0989429360672962,0.6137020359785103,0.42762736857930356,0.6383333333333333,0.42762736857930356,higher_in_improve,0.005
aromatic_rings,0.1338884933250308,0.669442466625154,0.40818068165284177,0.6183333333333334,0.40818068165284177,higher_in_improve,0.005
first_approval,0.28954300792784626,0.7159424867148041,0.3979325556236391,0.6597222222222222,0.3979325556236391,higher_in_improve,0.005
max_phase,0.25255044064123544,0.7159424867148041,0.38356166012721754,0.6111111111111112,-0.38356166012721754,higher_in_worsen,0.005
Y_median,0.21869710485138383,0.7159424867148041,0.3410487595287383,0.6033333333333333,-0.3410487595287383,higher_in_worsen,0.005
AUC_std,0.3221741190216618,0.7159424867148041,0.3360783387169228,0.5833333333333333,0.3360783387169228,higher_in_improve,0.005
best_pchembl,0.18670075737600145,0.7159424867148041,0.31475353561672836,0.6132246376811594,0.31475353561672836,higher_in_improve,0.005
n_rows,0.24601265950669549,0.7159424867148041,0.29609930979376303,0.5975,0.29609930979376303,higher_in_improve,0.005
