feature,thresholds_evaluable,threshold_median_effect,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction
kd_best_pchembl,3,1.1055303939566603,1.0,0.6666666666666666,0.0,higher_in_improve
ic50_best_pchembl,3,0.5922071987358397,1.0,0.6666666666666666,0.0,higher_in_improve
Z_SCORE_abs_mean,3,-0.7224020318784378,1.0,0.6666666666666666,0.0,higher_in_worsen
best_pchembl,3,0.5103920456851365,1.0,0.3333333333333333,0.0,higher_in_improve
best_standard_value,3,-0.20554816689904248,1.0,0.3333333333333333,0.0,higher_in_worsen
black_box_warning,3,-0.5203673901352212,1.0,0.3333333333333333,0.0,higher_in_worsen
ac50_best_pchembl,2,0.8042923113982355,1.0,0.0,0.0,higher_in_improve
TCGA_entropy,3,0.6046397566939747,1.0,0.0,0.0,higher_in_improve
act_pchembl_std,3,0.5633752229133311,1.0,0.0,0.0,higher_in_improve
ec50_best_pchembl,3,0.5364928397514579,1.0,0.0,0.0,higher_in_improve
aromatic_rings,3,0.40818068165284177,1.0,0.0,0.0,higher_in_improve
AUC_std,3,0.3360783387169228,1.0,0.0,0.0,higher_in_improve
rtb,3,0.3087188186199534,1.0,0.0,0.0,higher_in_improve
ki_best_pchembl,3,0.29674921378433355,1.0,0.0,0.0,higher_in_improve
n_rows,3,0.29609930979376303,1.0,0.0,0.0,higher_in_improve
Y_iqr,3,0.27698998576429,1.0,0.0,0.0,higher_in_improve
first_approval,3,0.2710451263085774,1.0,0.0,0.0,higher_in_improve
curve_RMSE_std,3,0.2460988601368259,1.0,0.0,0.0,higher_in_improve
alogp_xlogp,3,0.18757419961954067,1.0,0.0,0.0,higher_in_improve
heavy_atoms,3,0.12409358030047664,1.0,0.0,0.0,higher_in_improve
full_mwt,3,0.028400815223465346,1.0,0.0,0.0,higher_in_improve
oral,3,-0.09869275424396538,1.0,0.0,0.0,higher_in_worsen
hba,3,-0.18308171052758496,1.0,0.0,0.0,higher_in_worsen
AUC_mean,3,-0.20350385231032173,1.0,0.0,0.0,higher_in_worsen
psa_tpsa,3,-0.2816859561708632,1.0,0.0,0.0,higher_in_worsen
qed_weighted,3,-0.28456366145597106,1.0,0.0,0.0,higher_in_worsen
max_phase,3,-0.2912212244119565,1.0,0.0,0.0,higher_in_worsen
Y_std,3,-0.3763863263537933,1.0,0.0,0.0,higher_in_worsen
Y_mean,3,-0.37638632635396624,1.0,0.0,0.0,higher_in_worsen
Y_median,3,-0.3918935516362144,1.0,0.0,0.0,higher_in_worsen
Z_SCORE_std,3,-0.46105587011547716,1.0,0.0,0.0,higher_in_worsen
Z_SCORE_mean,3,-0.5746632639235498,1.0,0.0,0.0,higher_in_worsen
act_pchembl_mean,3,0.1584922653689358,0.6666666666666666,0.0,0.0,higher_in_improve
curve_RMSE_mean,3,0.08126676999783507,0.6666666666666666,0.0,0.0,higher_in_improve
median_pchembl,3,0.048982423119765264,0.6666666666666666,0.0,0.0,higher_in_improve
act_pchembl_median,3,0.048982423119765264,0.6666666666666666,0.0,0.0,higher_in_improve
hbd,3,-0.06098720933151395,0.6666666666666666,0.0,0.0,higher_in_worsen
mech_direct_interaction_mean,3,,,0.0,0.0,neutral_or_missing
mech_disease_efficacy_mean,3,,,0.0,0.0,neutral_or_missing
mech_molecular_mechanism_mean,3,,,0.0,0.0,neutral_or_missing
