feature,raw_token,n_drugs_supporting_token,n_rows,sources,fields,example_token
rawtok_KINASES,KINASES,68,68,drug_sample,PATHWAY_NAME,kinases
rawtok_EGFR,EGFR,53,53,drug_sample,PUTATIVE_TARGET,EGFR
rawtok_MTOR_SIGNALING,MTOR SIGNALING,51,51,drug_sample,PATHWAY_NAME,MTOR signaling
rawtok_PI3K,PI3K,51,54,drug_sample,PATHWAY_NAME | PUTATIVE_TARGET,PI3K
rawtok_KDR,KDR,45,45,drug_sample,PUTATIVE_TARGET,KDR
rawtok_UNCLASSIFIED,UNCLASSIFIED,45,45,drug_sample,PATHWAY_NAME,Unclassified
rawtok_RTK_SIGNALING,RTK SIGNALING,44,44,drug_sample,PATHWAY_NAME,RTK signaling
rawtok_MTOR,MTOR,38,39,drug_sample,PUTATIVE_TARGET,MTOR
rawtok_ERBB2,ERBB2,29,29,drug_sample,PUTATIVE_TARGET,ERBB2
rawtok_CHROMATIN_HISTONE_ACETYLATION,CHROMATIN HISTONE ACETYLATION,28,28,drug_sample,PATHWAY_NAME,Chromatin histone acetylation
rawtok_DNA_REPLICATION,DNA REPLICATION,28,28,drug_sample,PATHWAY_NAME,DNA replication
rawtok_FLT3,FLT3,27,27,drug_sample,PUTATIVE_TARGET,FLT3
rawtok_HDAC1,HDAC1,27,27,drug_sample,PUTATIVE_TARGET,HDAC1
rawtok_KIT,KIT,27,27,drug_sample,PUTATIVE_TARGET,KIT
rawtok_NR3C1,NR3C1,27,27,drug_sample,PUTATIVE_TARGET,NR3C1
rawtok_AURKA,AURKA,26,26,drug_sample,PUTATIVE_TARGET,AURKA
rawtok_CELL_CYCLE,CELL CYCLE,26,26,drug_sample,PATHWAY_NAME,Cell cycle
rawtok_PDGFRB,PDGFRB,26,26,drug_sample,PUTATIVE_TARGET,PDGFRB
rawtok_AURKB,AURKB,24,24,drug_sample,PUTATIVE_TARGET,AURKB
rawtok_TUBB,TUBB,24,24,drug_sample,PUTATIVE_TARGET,TUBB
rawtok_ADRA1A,ADRA1A,22,22,drug_sample,PUTATIVE_TARGET,ADRA1A
rawtok_CDK2,CDK2,22,22,drug_sample,PUTATIVE_TARGET,CDK2
rawtok_FLT1,FLT1,22,22,drug_sample,PUTATIVE_TARGET,FLT1
rawtok_PDGFRA,PDGFRA,22,22,drug_sample,PUTATIVE_TARGET,PDGFRA
rawtok_PIK3CA,PIK3CA,22,22,drug_sample,PUTATIVE_TARGET,PIK3CA
rawtok_AKT1,AKT1,21,21,drug_sample,PUTATIVE_TARGET,AKT1
rawtok_ESR1,ESR1,21,21,drug_sample,PUTATIVE_TARGET,ESR1
rawtok_FLT4,FLT4,21,21,drug_sample,PUTATIVE_TARGET,FLT4
rawtok_GENOME_INTEGRITY,GENOME INTEGRITY,21,21,drug_sample,PATHWAY_NAME,Genome integrity
rawtok_JAK2,JAK2,21,21,drug_sample,PUTATIVE_TARGET,JAK2
rawtok_CYP3A4,CYP3A4,20,20,drug_sample,PUTATIVE_TARGET,CYP3A4
rawtok_DRD2,DRD2,20,20,drug_sample,PUTATIVE_TARGET,DRD2
rawtok_ERK_MAPK_SIGNALING,ERK MAPK SIGNALING,20,20,drug_sample,PATHWAY_NAME,ERK MAPK signaling
rawtok_MET,MET,20,20,drug_sample,PUTATIVE_TARGET,MET
rawtok_MITOSIS,MITOSIS,20,20,drug_sample,PATHWAY_NAME,Mitosis
rawtok_TOP2A,TOP2A,20,20,drug_sample,PUTATIVE_TARGET,TOP2A
rawtok_APOPTOSIS_REGULATION,APOPTOSIS REGULATION,19,19,drug_sample,PATHWAY_NAME,Apoptosis regulation
rawtok_FGFR1,FGFR1,19,19,drug_sample,PUTATIVE_TARGET,FGFR1
rawtok_HTR2A,HTR2A,19,19,drug_sample,PUTATIVE_TARGET,HTR2A
rawtok_PIK3CG,PIK3CG,19,19,drug_sample,PUTATIVE_TARGET,PIK3CG
rawtok_PTGS2,PTGS2,19,19,drug_sample,PUTATIVE_TARGET,PTGS2
rawtok_CDK1,CDK1,18,18,drug_sample,PUTATIVE_TARGET,CDK1
rawtok_GSK3B,GSK3B,18,18,drug_sample,PUTATIVE_TARGET,GSK3B
rawtok_HDAC3,HDAC3,18,18,drug_sample,PUTATIVE_TARGET,HDAC3
rawtok_AR,AR,17,17,drug_sample,PUTATIVE_TARGET,AR
rawtok_HDAC6,HDAC6,17,17,drug_sample,PUTATIVE_TARGET,HDAC6
rawtok_SRC,SRC,17,17,drug_sample,PUTATIVE_TARGET,SRC
rawtok_ADRA2A,ADRA2A,16,16,drug_sample,PUTATIVE_TARGET,ADRA2A
rawtok_BRAF,BRAF,16,16,drug_sample,PUTATIVE_TARGET,BRAF
rawtok_CHRM1,CHRM1,16,16,drug_sample,PUTATIVE_TARGET,CHRM1
rawtok_CHRM3,CHRM3,16,16,drug_sample,PUTATIVE_TARGET,CHRM3
rawtok_CHROMATIN_HISTONE_METHYLATION,CHROMATIN HISTONE METHYLATION,16,16,drug_sample,PATHWAY_NAME,Chromatin histone methylation
rawtok_HDAC2,HDAC2,16,16,drug_sample,PUTATIVE_TARGET,HDAC2
rawtok_HRH1,HRH1,16,16,drug_sample,PUTATIVE_TARGET,HRH1
rawtok_HTR1A,HTR1A,16,16,drug_sample,PUTATIVE_TARGET,HTR1A
rawtok_MAP2K1,MAP2K1,16,16,drug_sample,PUTATIVE_TARGET,MAP2K1
