feature,raw_token,n_improve_with_token,n_worsen_with_token,n_drugs_supporting_token,support_rate_total,support_rate_improve,support_rate_worsen,odds_ratio,log2_odds_ratio,effect_direction,pvalue,fdr_bh,minus_log10_p,lodo_runs_evaluable,lodo_median_log2_odds_ratio,lodo_min_log2_odds_ratio,lodo_max_log2_odds_ratio,lodo_majority_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate,thresholds_evaluable,threshold_median_log2_odds_ratio,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction,consensus_score
rawtok_GLYCOGEN_SYNTHASE_KINASE_3_BETA,GLYCOGEN SYNTHASE KINASE-3 BETA,0,3,3,0.08333333333333333,0.0,0.1875,0.0,-3.4100194245122193,enriched_in_worsen,0.07843137254901959,1.0,1.105510184769974,36,-3.3378696387563838,-3.521050736900963,-2.9245925973419773,enriched_in_worsen,1.0,0.0,2,-3.4474088816539714,1.0,0.0,0.0,enriched_in_worsen,4.511928564669491
rawtok_CYCLIN_G_ASSOCIATED_KINASE,CYCLIN-G-ASSOCIATED KINASE,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,1.0,0.9463520065762215,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0,2,2.620715483209003,1.0,0.0,0.0,enriched_in_improve,4.497889868968344
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,1.0,0.9463520065762215,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0,2,2.220864808451919,1.0,0.0,0.0,enriched_in_improve,4.497889868968344
rawtok_EPHRIN_TYPE_B_RECEPTOR_6,EPHRIN TYPE-B RECEPTOR 6,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,1.0,0.9463520065762215,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0,2,2.0417551248124193,1.0,0.0,0.0,enriched_in_improve,4.497889868968344
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,1.0,0.9463520065762215,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0,2,3.2641475461488674,1.0,0.0,0.0,enriched_in_improve,4.497889868968344
rawtok_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,HEPATOCYTE GROWTH FACTOR RECEPTOR,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0,2,0.8810388275771697,1.0,0.0,0.0,enriched_in_improve,4.421220858550565
rawtok_TYROSINE_PROTEIN_KINASE_LCK,TYROSINE-PROTEIN KINASE LCK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0,3,0.8850642331553401,1.0,0.0,0.0,enriched_in_improve,4.421220858550565
rawtok_VOLTAGE_GATED_INWARDLY_RECTIFYING_POTASSIUM_CHANNEL_KCNH2,VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0,2,1.3131253546058939,1.0,0.0,0.0,enriched_in_improve,4.421220858550565
rawtok_BILE_SALT_EXPORT_PUMP,BILE SALT EXPORT PUMP,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0,2,1.6040256447231367,1.0,0.0,0.0,enriched_in_improve,4.365799029287216
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,MITOGEN-ACTIVATED PROTEIN KINASE 10,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0,2,1.2041749699660524,1.0,0.0,0.0,enriched_in_improve,4.365799029287216
rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON,CASEIN KINASE I ISOFORM EPSILON,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0,2,2.8263388471571145,1.0,0.0,0.0,enriched_in_improve,4.343137251639265
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_4,HOMEODOMAIN-INTERACTING PROTEIN KINASE 4,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0,2,1.6039464258206664,1.0,0.0,0.0,enriched_in_improve,4.343137251639265
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_1,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 1,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0,2,2.003797100577751,1.0,0.0,0.0,enriched_in_improve,4.343137251639265
rawtok_MELANOCORTIN_RECEPTOR_3,MELANOCORTIN RECEPTOR 3,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0,2,2.8263388471571145,1.0,0.0,0.0,enriched_in_improve,4.343137251639265
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0,2,2.2178763110838933,1.0,0.0,0.0,enriched_in_improve,4.343137251639265
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_UFO,TYROSINE-PROTEIN KINASE RECEPTOR UFO,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0,2,2.003797100577751,1.0,0.0,0.0,enriched_in_improve,4.343137251639265
rawtok_TYROSINE_PROTEIN_KINASE_TXK,TYROSINE-PROTEIN KINASE TXK,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006,36,2.6322682154995127,2.237039197300849,2.807354922057604,enriched_in_improve,1.0,0.0,2,2.003797100577751,1.0,0.0,0.0,enriched_in_improve,4.343137251639265
rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4A,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4A",0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0,2,-2.661999722453529,1.0,0.0,0.0,enriched_in_worsen,4.335389089525418
rawtok_BDNF_NT_3_GROWTH_FACTORS_RECEPTOR,BDNF/NT-3 GROWTH FACTORS RECEPTOR,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen,4.335389089525418
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_BETA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen,4.335389089525418
rawtok_CYCLIN_DEPENDENT_KINASE_5,CYCLIN-DEPENDENT KINASE 5,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen,4.335389089525418
rawtok_MITOSIS,MITOSIS,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0,3,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen,4.335389089525418
rawtok_PAIRED_BOX_PROTEIN_PAX_8,PAIRED BOX PROTEIN PAX-8,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0,2,-2.661999722453529,1.0,0.0,0.0,enriched_in_worsen,4.335389089525418
rawtok_RHO_ASSOCIATED_PROTEIN_KINASE_2,RHO-ASSOCIATED PROTEIN KINASE 2,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen,4.335389089525418
rawtok_TUMOR_NECROSIS_FACTOR,TUMOR NECROSIS FACTOR,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0,2,-2.661999722453529,1.0,0.0,0.0,enriched_in_worsen,4.335389089525418
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_TYRO3,TYROSINE-PROTEIN KINASE RECEPTOR TYRO3,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen,4.335389089525418
rawtok_RECEPTOR_TYPE_TYROSINE_PROTEIN_KINASE_FLT3,RECEPTOR-TYPE TYROSINE-PROTEIN KINASE FLT3,4,2,6,0.16666666666666666,0.2,0.125,1.75,0.6615837823240687,enriched_in_improve,0.6722442642746249,1.0,0.17247289457808127,36,0.655135940327806,0.29901370293936036,1.3985493764902748,enriched_in_improve,1.0,0.0,2,0.4755451997595268,1.0,0.0,0.0,enriched_in_improve,4.310365513102329
rawtok_SODIUM_DEPENDENT_DOPAMINE_TRANSPORTER,SODIUM-DEPENDENT DOPAMINE TRANSPORTER,4,2,6,0.16666666666666666,0.2,0.125,1.75,0.6615837823240687,enriched_in_improve,0.6722442642746249,1.0,0.17247289457808127,36,0.655135940327806,0.29901370293936036,1.3985493764902748,enriched_in_improve,1.0,0.0,2,0.7875845152532978,1.0,0.0,0.0,enriched_in_improve,4.310365513102329
