feature,raw_token,thresholds_evaluable,threshold_median_log2_odds_ratio,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction
rawtok_GLYCOGEN_SYNTHASE_KINASE_3_BETA,GLYCOGEN SYNTHASE KINASE-3 BETA,2,-3.4474088816539714,1.0,0.0,0.0,enriched_in_worsen
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2,2,3.2641475461488674,1.0,0.0,0.0,enriched_in_improve
rawtok_BDNF_NT_3_GROWTH_FACTORS_RECEPTOR,BDNF/NT-3 GROWTH FACTORS RECEPTOR,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_BETA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_5,CYCLIN-DEPENDENT KINASE 5,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_8,CYCLIN-DEPENDENT KINASE 8,1,-3.053515509327002,1.0,0.0,0.0,enriched_in_worsen
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_4,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 4,1,-3.053515509327002,1.0,0.0,0.0,enriched_in_worsen
rawtok_RHO_ASSOCIATED_PROTEIN_KINASE_2,RHO-ASSOCIATED PROTEIN KINASE 2,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_TYRO3,TYROSINE-PROTEIN KINASE RECEPTOR TYRO3,2,-2.9375073068524378,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_G_ASSOCIATED_KINASE,CYCLIN-G-ASSOCIATED KINASE,2,2.620715483209003,1.0,0.0,0.0,enriched_in_improve
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_2,FIBROBLAST GROWTH FACTOR RECEPTOR 2,2,-1.086663124346827,1.0,0.0,0.0,enriched_in_worsen
rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4A,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4A",2,-2.661999722453529,1.0,0.0,0.0,enriched_in_worsen
rawtok_ACTIVIN_RECEPTOR_TYPE_1B,ACTIVIN RECEPTOR TYPE-1B,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CAMP_DEPENDENT_PROTEIN_KINASE_CATALYTIC_SUBUNIT_PRKX,CAMP-DEPENDENT PROTEIN KINASE CATALYTIC SUBUNIT PRKX,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CASEIN_KINASE_II_SUBUNIT_ALPHA,CASEIN KINASE II SUBUNIT ALPHA,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_13,CYCLIN-DEPENDENT KINASE 13,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_17,CYCLIN-DEPENDENT KINASE 17,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_19,CYCLIN-DEPENDENT KINASE 19,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_2,CYCLIN-DEPENDENT KINASE 2,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_4,CYCLIN-DEPENDENT KINASE 4,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_6,CYCLIN-DEPENDENT KINASE 6,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_CYCLIN_DEPENDENT_KINASE_9,CYCLIN-DEPENDENT KINASE 9,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_A_RECEPTOR_2,EPHRIN TYPE-A RECEPTOR 2,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_A_RECEPTOR_4,EPHRIN TYPE-A RECEPTOR 4,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_A_RECEPTOR_7,EPHRIN TYPE-A RECEPTOR 7,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_EPHRIN_TYPE_B_RECEPTOR_2,EPHRIN TYPE-B RECEPTOR 2,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
rawtok_GLYCOGEN_SYNTHASE_KINASE_3_ALPHA,GLYCOGEN SYNTHASE KINASE-3 ALPHA,1,-2.502500340529183,1.0,0.0,0.0,enriched_in_worsen
