feature,raw_token,assigned_theme,theme_mapping_status
rawtok_KINASES,KINASES,UNMAPPED,unmapped
rawtok_EGFR,EGFR,ERBB_EGFR_FAMILY_RTK,mapped
rawtok_MTOR_SIGNALING,MTOR SIGNALING,PI3K_AKT_MTOR,mapped
rawtok_PI3K,PI3K,PI3K_AKT_MTOR,mapped
rawtok_KDR,KDR,UNMAPPED,unmapped
rawtok_UNCLASSIFIED,UNCLASSIFIED,UNMAPPED,unmapped
rawtok_RTK_SIGNALING,RTK SIGNALING,RTK_SIGNALING_BROAD,mapped
rawtok_MTOR,MTOR,PI3K_AKT_MTOR,mapped
rawtok_ERBB2,ERBB2,ERBB_EGFR_FAMILY_RTK,mapped
rawtok_CHROMATIN_HISTONE_ACETYLATION,CHROMATIN HISTONE ACETYLATION,CHROMATIN_EPIGENETIC,mapped
rawtok_DNA_REPLICATION,DNA REPLICATION,DNA_REPLICATION_GENOME_INTEGRITY,mapped
rawtok_FLT3,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_HDAC1,HDAC1,UNMAPPED,unmapped
rawtok_KIT,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_NR3C1,NR3C1,UNMAPPED,unmapped
rawtok_AURKA,AURKA,UNMAPPED,unmapped
rawtok_CELL_CYCLE,CELL CYCLE,CELL_CYCLE_MITOSIS_KINASE,mapped
rawtok_PDGFRB,PDGFRB,UNMAPPED,unmapped
rawtok_AURKB,AURKB,UNMAPPED,unmapped
rawtok_TUBB,TUBB,UNMAPPED,unmapped
rawtok_ADRA1A,ADRA1A,UNMAPPED,unmapped
rawtok_CDK2,CDK2,UNMAPPED,unmapped
rawtok_FLT1,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_PDGFRA,PDGFRA,UNMAPPED,unmapped
rawtok_PIK3CA,PIK3CA,PI3K_AKT_MTOR,mapped
rawtok_AKT1,AKT1,PI3K_AKT_MTOR,mapped
rawtok_ESR1,ESR1,UNMAPPED,unmapped
rawtok_FLT4,FLT4,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_GENOME_INTEGRITY,GENOME INTEGRITY,DNA_REPLICATION_GENOME_INTEGRITY,mapped
rawtok_JAK2,JAK2,UNMAPPED,unmapped
rawtok_CYP3A4,CYP3A4,UNMAPPED,unmapped
rawtok_DRD2,DRD2,UNMAPPED,unmapped
rawtok_ERK_MAPK_SIGNALING,ERK MAPK SIGNALING,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_MET,MET,MET_HGF_RTK,mapped
rawtok_MITOSIS,MITOSIS,CELL_CYCLE_MITOSIS_KINASE,mapped
rawtok_TOP2A,TOP2A,UNMAPPED,unmapped
rawtok_APOPTOSIS_REGULATION,APOPTOSIS REGULATION,APOPTOSIS_BCL2,mapped
rawtok_FGFR1,FGFR1,UNMAPPED,unmapped
rawtok_HTR2A,HTR2A,UNMAPPED,unmapped
rawtok_PIK3CG,PIK3CG,PI3K_AKT_MTOR,mapped
rawtok_PTGS2,PTGS2,UNMAPPED,unmapped
rawtok_CDK1,CDK1,UNMAPPED,unmapped
rawtok_GSK3B,GSK3B,UNMAPPED,unmapped
rawtok_HDAC3,HDAC3,UNMAPPED,unmapped
rawtok_AR,AR,UNMAPPED,unmapped
rawtok_HDAC6,HDAC6,UNMAPPED,unmapped
rawtok_SRC,SRC,SRC_LCK_NONRECEPTOR_TK,mapped
rawtok_ADRA2A,ADRA2A,UNMAPPED,unmapped
rawtok_BRAF,BRAF,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_CHRM1,CHRM1,UNMAPPED,unmapped
rawtok_CHRM3,CHRM3,UNMAPPED,unmapped
rawtok_CHROMATIN_HISTONE_METHYLATION,CHROMATIN HISTONE METHYLATION,CHROMATIN_EPIGENETIC,mapped
rawtok_HDAC2,HDAC2,UNMAPPED,unmapped
rawtok_HRH1,HRH1,UNMAPPED,unmapped
rawtok_HTR1A,HTR1A,UNMAPPED,unmapped
rawtok_MAP2K1,MAP2K1,MAP2K_MEK_ERK_RAF_CASCADE,mapped
rawtok_PIK3CD,PIK3CD,PI3K_AKT_MTOR,mapped
rawtok_RET,RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped
rawtok_ABL1,ABL1,UNMAPPED,unmapped
