source,field,token,odds_ratio,pvalue,n_improve,n_with_token,n_total,fdr_bh,minus_log10_p,minus_log10_fdr
theme,theme,ION_CHANNEL_TRANSPORTER,4.266666666666667,0.027592666934296812,8,13,57,0.441482670948749,1.559206321308671,0.35508633865274625
theme,theme,APOPTOSIS_BCL2,inf,0.11904761904761907,2,2,57,0.5989180630690063,0.9242792860618816,0.2226325886140739
theme,theme,MET_HGF_RTK,2.75,0.15356970073951207,5,9,57,0.5989180630690063,0.8136944620366963,0.2226325886140739
theme,theme,ERBB_EGFR_FAMILY_RTK,2.8333333333333335,0.18716189470906447,4,7,57,0.5989180630690063,0.7277825669339799,0.2226325886140739
theme,theme,JNK_P38_STRESS_MAPK,2.8333333333333335,0.18716189470906447,4,7,57,0.5989180630690063,0.7277825669339799,0.2226325886140739
theme,theme,MAP2K_MEK_ERK_RAF_CASCADE,1.3888888888888888,0.38666711535452986,8,20,57,0.7165865580959921,0.41266276153787323,0.14473134269445392
theme,theme,RTK_SIGNALING_BROAD,1.6,0.38831985624438464,4,9,57,0.7165865580959921,0.4108104017874857,0.14473134269445392
theme,theme,SRC_LCK_NONRECEPTOR_TK,1.4285714285714286,0.41464794293287427,5,12,57,0.7165865580959921,0.38232048480985875,0.14473134269445392
theme,theme,PI3K_AKT_MTOR,1.9444444444444444,0.43939393939393934,2,4,57,0.7165865580959921,0.35714593764291264,0.14473134269445392
theme,theme,SER_THR_KINASE_SIGNALING,1.2916666666666667,0.49265325869099463,4,10,57,0.7165865580959921,0.30745864019215363,0.14473134269445392
theme,theme,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,1.2916666666666667,0.49265325869099463,4,10,57,0.7165865580959921,0.30745864019215363,0.14473134269445392
theme,theme,CHROMATIN_EPIGENETIC,1.894736842105263,0.5827067669172932,1,2,57,0.7769423558897243,0.23454993846077554,0.10961120185247557
theme,theme,EPH_RECEPTOR_SIGNALING,0.5964912280701754,0.8328017012227538,1,4,57,0.9343167165269591,0.07945839633265496,0.02950588081041616
theme,theme,DNA_REPLICATION_GENOME_INTEGRITY,0.5740740740740741,0.8520238671182068,2,8,57,0.9343167165269591,0.06954823949086303,0.02950588081041616
theme,theme,CELL_CYCLE_MITOSIS_KINASE,0.4342105263157895,0.8958953988745448,1,5,57,0.9343167165269591,0.04774269384620032,0.02950588081041616
theme,theme,PARP_DNA_REPAIR_CHECKPOINT,0.4027777777777778,0.9343167165269591,2,10,57,0.9343167165269591,0.02950588081041616,0.02950588081041616
