source,field,token,odds_ratio,pvalue,n_worsen,n_with_token,n_total,fdr_bh,minus_log10_p,minus_log10_fdr
theme,theme,CELL_CYCLE_MITOSIS_KINASE,1.8095238095238095,0.43404394347790565,2,5,57,1.0,0.36246629941867475,-0.0
theme,theme,CHROMATIN_EPIGENETIC,2.6666666666666665,0.486215538847118,1,2,57,1.0,0.313171165756522,-0.0
theme,theme,PARP_DNA_REPAIR_CHECKPOINT,1.120879120879121,0.5787143673936126,3,10,57,1.0,0.23753573553465548,-0.0
theme,theme,DNA_REPLICATION_GENOME_INTEGRITY,0.8333333333333334,0.7244879426899404,2,8,57,1.0,0.13996883789025158,-0.0
theme,theme,EPH_RECEPTOR_SIGNALING,0.8444444444444444,0.7436267436267436,1,4,57,1.0,0.12864499974916307,-0.0
theme,theme,PI3K_AKT_MTOR,0.8444444444444444,0.7436267436267436,1,4,57,1.0,0.12864499974916307,-0.0
theme,theme,ION_CHANNEL_TRANSPORTER,0.7153846153846154,0.786327313871691,3,13,57,1.0,0.10439663841522182,-0.0
theme,theme,MET_HGF_RTK,0.6938775510204082,0.7911272913968331,2,9,57,1.0,0.1017536334383522,-0.0
theme,theme,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,0.5892857142857143,0.8442305223976383,2,10,57,1.0,0.07353895037014212,-0.0
theme,theme,JNK_P38_STRESS_MAPK,0.3888888888888889,0.9149654144104754,1,7,57,1.0,0.03859532190575252,-0.0
theme,theme,SRC_LCK_NONRECEPTOR_TK,0.44285714285714284,0.9173600412535111,2,12,57,1.0,0.03746018096995271,-0.0
theme,theme,SER_THR_KINASE_SIGNALING,0.23703703703703705,0.9740384203996064,1,10,57,1.0,0.011423912281079663,-0.0
theme,theme,MAP2K_MEK_ERK_RAF_CASCADE,0.3257918552036199,0.9765033758577351,3,20,57,1.0,0.010326250979453205,-0.0
theme,theme,APOPTOSIS_BCL2,0.0,1.0,0,2,57,1.0,-0.0,-0.0
theme,theme,ERBB_EGFR_FAMILY_RTK,0.0,1.0,0,7,57,1.0,-0.0,-0.0
theme,theme,RTK_SIGNALING_BROAD,0.0,1.0,0,9,57,1.0,-0.0,-0.0
