theme,refined_feature,n_kept_tokens,kept_features,kept_tokens,n_drugs_supporting_refined_theme
APOPTOSIS_BCL2,refined_theme_APOPTOSIS_BCL2,1,rawtok_APOPTOSIS_REGULATOR_BCL_2,APOPTOSIS REGULATOR BCL-2,2
CELL_CYCLE_MITOSIS_KINASE,refined_theme_CELL_CYCLE_MITOSIS_KINASE,2,rawtok_MITOSIS | rawtok_AURORA_KINASE_A,AURORA KINASE A | MITOSIS,5
CHROMATIN_EPIGENETIC,refined_theme_CHROMATIN_EPIGENETIC,2,rawtok_BRD4 | rawtok_CHROMATIN_OTHER,BRD4 | CHROMATIN OTHER,2
DNA_REPLICATION_GENOME_INTEGRITY,refined_theme_DNA_REPLICATION_GENOME_INTEGRITY,1,rawtok_GENOME_INTEGRITY,GENOME INTEGRITY,8
EPH_RECEPTOR_SIGNALING,refined_theme_EPH_RECEPTOR_SIGNALING,6,rawtok_EPHRIN_TYPE_A_RECEPTOR_1 | rawtok_EPHRIN_TYPE_A_RECEPTOR_3 | rawtok_EPHRIN_TYPE_A_RECEPTOR_5 | rawtok_EPHRIN_TYPE_B_RECEPTOR_1 | rawtok_EPHRIN_TYPE_B_RECEPTOR_4 | rawtok_EPHRIN_TYPE_A_RECEPTOR_8,EPHRIN TYPE-A RECEPTOR 1 | EPHRIN TYPE-A RECEPTOR 3 | EPHRIN TYPE-A RECEPTOR 5 | EPHRIN TYPE-A RECEPTOR 8 | EPHRIN TYPE-B RECEPTOR 1 | EPHRIN TYPE-B RECEPTOR 4,4
ERBB_EGFR_FAMILY_RTK,refined_theme_ERBB_EGFR_FAMILY_RTK,5,rawtok_EGFR | rawtok_EGFR_SIGNALING | rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2 | rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_3 | rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_4,EGFR | EGFR SIGNALING | RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2 | RECEPTOR TYROSINE-PROTEIN KINASE ERBB-3 | RECEPTOR TYROSINE-PROTEIN KINASE ERBB-4,7
ION_CHANNEL_TRANSPORTER,refined_theme_ION_CHANNEL_TRANSPORTER,4,rawtok_VOLTAGE_GATED_INWARDLY_RECTIFYING_POTASSIUM_CHANNEL_KCNH2 | rawtok_SODIUM_DEPENDENT_DOPAMINE_TRANSPORTER | rawtok_BILE_SALT_EXPORT_PUMP | rawtok_BROAD_SUBSTRATE_SPECIFICITY_ATP_BINDING_CASSETTE_TRANSPORTER_ABCG2,BILE SALT EXPORT PUMP | BROAD SUBSTRATE SPECIFICITY ATP-BINDING CASSETTE TRANSPORTER ABCG2 | SODIUM-DEPENDENT DOPAMINE TRANSPORTER | VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2,13
JNK_P38_STRESS_MAPK,refined_theme_JNK_P38_STRESS_MAPK,1,rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,MITOGEN-ACTIVATED PROTEIN KINASE 10,7
MAP2K_MEK_ERK_RAF_CASCADE,refined_theme_MAP2K_MEK_ERK_RAF_CASCADE,8,rawtok_ERK_MAPK_SIGNALING | rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1 | rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_2 | rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5 | rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_2 | rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19 | rawtok_SERINE_THREONINE_PROTEIN_KINASE_B_RAF | rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_3,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5 | ERK MAPK SIGNALING | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 2 | SERINE/THREONINE-PROTEIN KINASE B-RAF,20
MET_HGF_RTK,refined_theme_MET_HGF_RTK,1,rawtok_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,HEPATOCYTE GROWTH FACTOR RECEPTOR,9
PARP_DNA_REPAIR_CHECKPOINT,refined_theme_PARP_DNA_REPAIR_CHECKPOINT,3,rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK1 | rawtok_SERINE_THREONINE_PROTEIN_KINASE_CHK2 | rawtok_SERINE_PROTEIN_KINASE_ATM,SERINE-PROTEIN KINASE ATM | SERINE/THREONINE-PROTEIN KINASE CHK1 | SERINE/THREONINE-PROTEIN KINASE CHK2,10
PI3K_AKT_MTOR,refined_theme_PI3K_AKT_MTOR,4,rawtok_MTOR_SIGNALING | rawtok_PI3K | rawtok_PI3K_CLASS_1 | rawtok_PI3_KINASE_CLASS_I_INHIBITOR,MTOR SIGNALING | PI3-KINASE CLASS I INHIBITOR | PI3K | PI3K (CLASS 1),4
RTK_SIGNALING_BROAD,refined_theme_RTK_SIGNALING_BROAD,2,rawtok_RTK_SIGNALING | rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_UFO,RTK SIGNALING | TYROSINE-PROTEIN KINASE RECEPTOR UFO,9
SER_THR_KINASE_SIGNALING,refined_theme_SER_THR_KINASE_SIGNALING,5,rawtok_CYCLIN_G_ASSOCIATED_KINASE | rawtok_CASEIN_KINASE_II_SUBUNIT_ALPHA__2 | rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_4 | rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON | rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,CASEIN KINASE I ISOFORM DELTA | CASEIN KINASE I ISOFORM EPSILON | CASEIN KINASE II SUBUNIT ALPHA' | CYCLIN-G-ASSOCIATED KINASE | HOMEODOMAIN-INTERACTING PROTEIN KINASE 4,10
SRC_LCK_NONRECEPTOR_TK,refined_theme_SRC_LCK_NONRECEPTOR_TK,5,rawtok_TYROSINE_PROTEIN_KINASE_LCK | rawtok_TYROSINE_PROTEIN_KINASE_BLK | rawtok_TYROSINE_PROTEIN_KINASE_FRK | rawtok_TYROSINE_PROTEIN_KINASE_HCK | rawtok_TYROSINE_PROTEIN_KINASE_LYN,TYROSINE-PROTEIN KINASE BLK | TYROSINE-PROTEIN KINASE FRK | TYROSINE-PROTEIN KINASE HCK | TYROSINE-PROTEIN KINASE LCK | TYROSINE-PROTEIN KINASE LYN,12
VEGFR_FGFR_PDGFR_KIT_FLT_RTK,refined_theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,1,rawtok_RECEPTOR_TYPE_TYROSINE_PROTEIN_KINASE_FLT3,RECEPTOR-TYPE TYROSINE-PROTEIN KINASE FLT3,10
