feature,theme,lodo_runs_evaluable,lodo_median_log2_odds_ratio,lodo_min_log2_odds_ratio,lodo_max_log2_odds_ratio,lodo_majority_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate
refined_theme_APOPTOSIS_BCL2,APOPTOSIS_BCL2,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
refined_theme_CELL_CYCLE_MITOSIS_KINASE,CELL_CYCLE_MITOSIS_KINASE,36,-1.0884379646675837,-2.7493493186220386,-0.42742122373467617,enriched_in_worsen,1.0,0.0
refined_theme_CHROMATIN_EPIGENETIC,CHROMATIN_EPIGENETIC,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
refined_theme_EPH_RECEPTOR_SIGNALING,EPH_RECEPTOR_SIGNALING,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
refined_theme_ERBB_EGFR_FAMILY_RTK,ERBB_EGFR_FAMILY_RTK,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0
refined_theme_ION_CHANNEL_TRANSPORTER,ION_CHANNEL_TRANSPORTER,36,1.2801079191927351,1.2105669859396584,1.876566058751721,enriched_in_improve,1.0,0.0
refined_theme_JNK_P38_STRESS_MAPK,JNK_P38_STRESS_MAPK,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0
refined_theme_MAP2K_MEK_ERK_RAF_CASCADE,MAP2K_MEK_ERK_RAF_CASCADE,36,1.2801079191927351,1.2105669859396584,1.876566058751721,enriched_in_improve,1.0,0.0
refined_theme_MET_HGF_RTK,MET_HGF_RTK,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0
refined_theme_PARP_DNA_REPAIR_CHECKPOINT,PARP_DNA_REPAIR_CHECKPOINT,36,-0.8598223419517398,-1.6769582848019293,-0.4545658634654813,enriched_in_worsen,1.0,0.0
refined_theme_RTK_SIGNALING_BROAD,RTK_SIGNALING_BROAD,36,3.079727192470734,2.807354922057604,3.2601228104138906,enriched_in_improve,1.0,0.0
refined_theme_SER_THR_KINASE_SIGNALING,SER_THR_KINASE_SIGNALING,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0
refined_theme_SRC_LCK_NONRECEPTOR_TK,SRC_LCK_NONRECEPTOR_TK,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0
refined_theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,36,0.655135940327806,0.29901370293936036,1.3985493764902748,enriched_in_improve,1.0,0.0
refined_theme_DNA_REPLICATION_GENOME_INTEGRITY,DNA_REPLICATION_GENOME_INTEGRITY,36,-0.27130202181739427,-1.0884379646675837,0.38549322366482847,enriched_in_worsen,0.9444444444444444,0.0
refined_theme_PI3K_AKT_MTOR,PI3K_AKT_MTOR,36,0.561878887608115,-0.2552570552420746,2.066671039645288,enriched_in_improve,0.9444444444444444,0.0
