theme,refined_feature,n_kept_tokens,kept_features,kept_tokens,n_drugs_supporting_refined_theme,weighted_mean_effect_all_tokens,weighted_mean_effect_kept_tokens,mean_effect_all_tokens,mean_effect_kept_tokens,refinement_gain_weighted_mean,refinement_gain_mean,n_tokens_total,n_tokens_kept,prop_tokens_kept,refined_two_sided_pvalue,refined_two_sided_minus_log10_p,refined_two_sided_fdr_bh,refined_two_sided_log2_odds_ratio,refined_two_sided_support_count,refined_improve_enrichment_pvalue,refined_improve_enrichment_minus_log10_p,refined_improve_enrichment_fdr_bh,refined_improve_enrichment_odds_ratio,refined_improve_n_positive,refined_improve_n_with_theme,refined_improve_n_total,refined_improve_enrichment_log2_odds_ratio,refined_worsen_enrichment_pvalue,refined_worsen_enrichment_minus_log10_p,refined_worsen_enrichment_fdr_bh,refined_worsen_enrichment_odds_ratio,refined_worsen_n_positive,refined_worsen_n_with_theme,refined_worsen_n_total
ERBB_EGFR_FAMILY_RTK,refined_theme_ERBB_EGFR_FAMILY_RTK,5,rawtok_EGFR | rawtok_EGFR_SIGNALING | rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2 | rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_3 | rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_4,EGFR | EGFR SIGNALING | RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2 | RECEPTOR TYROSINE-PROTEIN KINASE ERBB-3 | RECEPTOR TYROSINE-PROTEIN KINASE ERBB-4,7,1.4165309173309375,2.4945542328920145,1.9627611487487684,2.3594800791819552,1.078023315561077,0.39671893043318684,10,5,0.5,0.11314828961887782,0.9463520065762215,0.8528549249611865,3.169925001442312,4,0.18716189470906447,0.7277825669339799,0.5989180630690063,2.8333333333333335,4,7,57,1.5025003405291832,1.0,-0.0,1.0,0.0,0,7,57
RTK_SIGNALING_BROAD,refined_theme_RTK_SIGNALING_BROAD,2,rawtok_RTK_SIGNALING | rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_UFO,RTK SIGNALING | TYROSINE-PROTEIN KINASE RECEPTOR UFO,9,0.6861917494378347,2.496227154129401,0.43165746505867764,2.4396674365439788,1.8100354046915663,2.008009971485301,4,2,0.5,0.11314828961887782,0.9463520065762215,0.8528549249611865,3.169925001442312,4,0.38831985624438464,0.4108104017874857,0.7165865580959921,1.6,4,9,57,0.6780719051126377,1.0,-0.0,1.0,0.0,0,9,57
MAP2K_MEK_ERK_RAF_CASCADE,refined_theme_MAP2K_MEK_ERK_RAF_CASCADE,8,rawtok_ERK_MAPK_SIGNALING | rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_1 | rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_2 | rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5 | rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_2 | rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19 | rawtok_SERINE_THREONINE_PROTEIN_KINASE_B_RAF | rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_3,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5 | ERK MAPK SIGNALING | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 2 | SERINE/THREONINE-PROTEIN KINASE B-RAF,20,1.0285047720073386,1.6297308170168652,1.038699820704403,1.658019653819014,0.6012260450095266,0.619319833114611,47,8,0.1702127659574468,0.2767272277839575,0.5579481075935234,0.8528549249611865,1.391139231581479,11,0.38666711535452986,0.41266276153787323,0.7165865580959921,1.3888888888888888,8,20,57,0.47393118833241227,0.9765033758577351,0.010326250979453205,1.0,0.3257918552036199,3,20,57
ION_CHANNEL_TRANSPORTER,refined_theme_ION_CHANNEL_TRANSPORTER,4,rawtok_VOLTAGE_GATED_INWARDLY_RECTIFYING_POTASSIUM_CHANNEL_KCNH2 | rawtok_SODIUM_DEPENDENT_DOPAMINE_TRANSPORTER | rawtok_BILE_SALT_EXPORT_PUMP | rawtok_BROAD_SUBSTRATE_SPECIFICITY_ATP_BINDING_CASSETTE_TRANSPORTER_ABCG2,BILE SALT EXPORT PUMP | BROAD SUBSTRATE SPECIFICITY ATP-BINDING CASSETTE TRANSPORTER ABCG2 | SODIUM-DEPENDENT DOPAMINE TRANSPORTER | VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2,13,0.6707099233312172,0.9608318680428153,0.4994444904186098,0.9198363053721025,0.29012194471159813,0.4203918149534927,54,4,0.07407407407407407,0.2767272277839575,0.5579481075935234,0.8528549249611865,1.391139231581479,11,0.027592666934296812,1.559206321308671,0.441482670948749,4.266666666666667,8,13,57,2.0931094043914813,0.786327313871691,0.10439663841522182,1.0,0.7153846153846154,3,13,57
SER_THR_KINASE_SIGNALING,refined_theme_SER_THR_KINASE_SIGNALING,5,rawtok_CYCLIN_G_ASSOCIATED_KINASE | rawtok_CASEIN_KINASE_II_SUBUNIT_ALPHA__2 | rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_4 | rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON | rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,CASEIN KINASE I ISOFORM DELTA | CASEIN KINASE I ISOFORM EPSILON | CASEIN KINASE II SUBUNIT ALPHA' | CYCLIN-G-ASSOCIATED KINASE | HOMEODOMAIN-INTERACTING PROTEIN KINASE 4,10,1.3635167329480704,2.3182239644401283,1.3072358355688787,2.2506868875850983,0.9547072314920579,0.9434510520162196,16,5,0.3125,0.3548934725405313,0.44990198843966606,0.8528549249611865,1.494764691749578,5,0.49265325869099463,0.30745864019215363,0.7165865580959921,1.2916666666666667,4,10,57,0.3692338096657191,0.9740384203996064,0.011423912281079663,1.0,0.23703703703703705,1,10,57
JNK_P38_STRESS_MAPK,refined_theme_JNK_P38_STRESS_MAPK,1,rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,MITOGEN-ACTIVATED PROTEIN KINASE 10,7,1.494764691749578,1.494764691749578,1.494764691749578,1.494764691749578,0.0,0.0,9,1,0.1111111111111111,0.3548934725405313,0.44990198843966606,0.8528549249611865,1.494764691749578,5,0.18716189470906447,0.7277825669339799,0.5989180630690063,2.8333333333333335,4,7,57,1.5025003405291832,0.9149654144104754,0.03859532190575252,1.0,0.3888888888888889,1,7,57
SRC_LCK_NONRECEPTOR_TK,refined_theme_SRC_LCK_NONRECEPTOR_TK,5,rawtok_TYROSINE_PROTEIN_KINASE_LCK | rawtok_TYROSINE_PROTEIN_KINASE_BLK | rawtok_TYROSINE_PROTEIN_KINASE_FRK | rawtok_TYROSINE_PROTEIN_KINASE_HCK | rawtok_TYROSINE_PROTEIN_KINASE_LYN,TYROSINE-PROTEIN KINASE BLK | TYROSINE-PROTEIN KINASE FRK | TYROSINE-PROTEIN KINASE HCK | TYROSINE-PROTEIN KINASE LCK | TYROSINE-PROTEIN KINASE LYN,12,0.41198976166430906,0.7906808584432516,0.3124461113204069,0.7067439080082766,0.3786910967789426,0.3942977966878697,23,5,0.21739130434782608,0.42642746248059327,0.37015483395399357,0.8528549249611865,1.0412882084906319,7,0.41464794293287427,0.38232048480985875,0.7165865580959921,1.4285714285714286,5,12,57,0.5145731728297582,0.9173600412535111,0.03746018096995271,1.0,0.44285714285714284,2,12,57
MET_HGF_RTK,refined_theme_MET_HGF_RTK,1,rawtok_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,HEPATOCYTE GROWTH FACTOR RECEPTOR,9,1.0412882084906319,1.0412882084906319,1.0412882084906319,1.0412882084906319,0.0,0.0,2,1,0.5,0.42642746248059327,0.37015483395399357,0.8528549249611865,1.0412882084906319,7,0.15356970073951207,0.8136944620366963,0.5989180630690063,2.75,5,9,57,1.4594316186372973,0.7911272913968331,0.1017536334383522,1.0,0.6938775510204082,2,9,57
APOPTOSIS_BCL2,refined_theme_APOPTOSIS_BCL2,1,rawtok_APOPTOSIS_REGULATOR_BCL_2,APOPTOSIS REGULATOR BCL-2,2,0.9128314700707463,2.156868848616866,0.9128314700707463,2.156868848616866,1.2440373785461196,1.2440373785461196,14,1,0.07142857142857142,0.492063492063492,0.3079788556193091,0.874779541446208,2.156868848616866,2,0.11904761904761907,0.9242792860618816,0.5989180630690063,inf,2,2,57,,1.0,-0.0,1.0,0.0,0,2,57
CELL_CYCLE_MITOSIS_KINASE,refined_theme_CELL_CYCLE_MITOSIS_KINASE,2,rawtok_MITOSIS | rawtok_AURORA_KINASE_A,AURORA KINASE A | MITOSIS,5,-0.6136329139872053,-1.5763525064266237,-0.7505505956011224,-1.5763525064266237,-0.9627195924394184,-0.8258019108255014,9,2,0.2222222222222222,0.5742296918767505,0.24091435505643902,0.8963256856994999,-1.1643868179008823,3,0.8958953988745448,0.04774269384620032,0.9343167165269591,0.4342105263157895,1,5,57,-1.203533394085132,0.43404394347790565,0.36246629941867475,1.0,1.8095238095238095,2,5,57
