feature,theme,pvalue,fdr_bh,odds_ratio,log2_odds_ratio,effect_direction,n_drugs_supporting_theme,threshold
refined_theme_ION_CHANNEL_TRANSPORTER,ION_CHANNEL_TRANSPORTER,0.09548801413318067,0.7939271792520003,3.9375,1.822443226729626,enriched_in_improve,12,0.005
refined_theme_MAP2K_MEK_ERK_RAF_CASCADE,MAP2K_MEK_ERK_RAF_CASCADE,0.1283537950244845,0.7939271792520003,2.9857142857142858,1.4915515611543917,enriched_in_improve,16,0.005
refined_theme_CELL_CYCLE_MITOSIS_KINASE,CELL_CYCLE_MITOSIS_KINASE,0.18946301925025333,0.7939271792520003,0.20833333333333334,-1.8421203402182809,enriched_in_worsen,5,0.005
refined_theme_ERBB_EGFR_FAMILY_RTK,ERBB_EGFR_FAMILY_RTK,0.3486756404689536,0.7939271792520003,4.380952380952381,1.7132865976966956,enriched_in_improve,5,0.005
refined_theme_RTK_SIGNALING_BROAD,RTK_SIGNALING_BROAD,0.41742654508611954,0.7939271792520003,2.75,1.271804615461526,enriched_in_improve,7,0.005
refined_theme_SER_THR_KINASE_SIGNALING,SER_THR_KINASE_SIGNALING,0.46349049268396125,0.7939271792520003,2.210526315789474,1.0339473319233374,enriched_in_improve,9,0.005
refined_theme_DNA_REPLICATION_GENOME_INTEGRITY,DNA_REPLICATION_GENOME_INTEGRITY,0.46349049268396136,0.7939271792520003,0.5181818181818182,-0.8585275740471195,enriched_in_worsen,8,0.005
refined_theme_PARP_DNA_REPAIR_CHECKPOINT,PARP_DNA_REPAIR_CHECKPOINT,0.46349049268396136,0.7939271792520003,0.5181818181818182,-0.8585275740471195,enriched_in_worsen,8,0.005
refined_theme_APOPTOSIS_BCL2,APOPTOSIS_BCL2,0.4897959183673468,0.7939271792520003,inf,2.382049087324933,enriched_in_improve,2,0.005
refined_theme_SRC_LCK_NONRECEPTOR_TK,SRC_LCK_NONRECEPTOR_TK,0.4962044870325002,0.7939271792520003,1.9444444444444444,0.8850642331553401,enriched_in_improve,11,0.005
refined_theme_EPH_RECEPTOR_SIGNALING,EPH_RECEPTOR_SIGNALING,0.609205384281372,0.8639251232027086,0.4583333333333333,-0.8598223419517398,enriched_in_worsen,3,0.005
refined_theme_JNK_P38_STRESS_MAPK,JNK_P38_STRESS_MAPK,0.667100882906354,0.8639251232027086,2.0952380952380953,0.9135852481825268,enriched_in_improve,6,0.005
refined_theme_MET_HGF_RTK,MET_HGF_RTK,0.7019391626022008,0.8639251232027086,1.75,0.7207894466637074,enriched_in_improve,8,0.005
refined_theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,1.0,1.0,1.25,0.289506617194985,enriched_in_improve,9,0.005
refined_theme_PI3K_AKT_MTOR,PI3K_AKT_MTOR,1.0,1.0,2.0,0.7369655941662062,enriched_in_improve,3,0.005
refined_theme_CHROMATIN_EPIGENETIC,CHROMATIN_EPIGENETIC,1.0,1.0,0.9583333333333334,-0.06012099243757091,enriched_in_worsen,2,0.005
refined_theme_ERBB_EGFR_FAMILY_RTK,ERBB_EGFR_FAMILY_RTK,0.11314828961887782,0.8528549249611865,inf,3.169925001442312,enriched_in_improve,4,0.01
refined_theme_RTK_SIGNALING_BROAD,RTK_SIGNALING_BROAD,0.11314828961887782,0.8528549249611865,inf,3.169925001442312,enriched_in_improve,4,0.01
refined_theme_ION_CHANNEL_TRANSPORTER,ION_CHANNEL_TRANSPORTER,0.2767272277839575,0.8528549249611865,2.888888888888889,1.391139231581479,enriched_in_improve,11,0.01
