feature,theme,n_improve_with_theme,n_worsen_with_theme,n_drugs_supporting_theme,support_rate_total,support_rate_improve,support_rate_worsen,odds_ratio,log2_odds_ratio,effect_direction,pvalue,fdr_bh,minus_log10_p,lodo_runs_evaluable,lodo_median_log2_odds_ratio,lodo_min_log2_odds_ratio,lodo_max_log2_odds_ratio,lodo_majority_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate,thresholds_evaluable,threshold_median_log2_odds_ratio,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction,consensus_score
theme_ION_CHANNEL_TRANSPORTER,ION_CHANNEL_TRANSPORTER,9,4,13,0.3611111111111111,0.45,0.25,2.4545454545454546,1.198296745718985,enriched_in_improve,0.3013507071349118,1.0,0.5209277851005666,36,1.078002512001273,1.0378320735257387,1.5608668251036932,enriched_in_improve,1.0,0.0,3,1.6257481155676563,1.0,0.0,0.0,enriched_in_improve,4.723991391451865
theme_MAP2K_MEK_ERK_RAF_CASCADE,MAP2K_MEK_ERK_RAF_CASCADE,8,3,11,0.3055555555555556,0.4,0.1875,2.888888888888889,1.391139231581479,enriched_in_improve,0.2767272277839575,1.0,0.5579481075935234,36,1.2801079191927351,1.2105669859396584,1.876566058751721,enriched_in_improve,1.0,0.0,3,1.391139231581479,1.0,0.0,0.0,enriched_in_improve,4.653615170991066
theme_MET_HGF_RTK,MET_HGF_RTK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0,2,0.8810388275771697,1.0,0.0,0.0,enriched_in_improve,4.421220858550565
theme_SRC_LCK_NONRECEPTOR_TK,SRC_LCK_NONRECEPTOR_TK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357,36,0.9381947155265282,0.7517815912956469,1.778253802656838,enriched_in_improve,1.0,0.0,3,0.6918777046376682,1.0,0.0,0.0,enriched_in_improve,4.421220858550565
theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,5,3,8,0.2222222222222222,0.25,0.1875,1.4444444444444444,0.45276788835628645,enriched_in_improve,0.708598779788991,1.0,0.14959959985969204,36,0.44535988979156615,0.16326127116130149,0.9381947155265282,enriched_in_improve,1.0,0.0,2,0.4880878592804031,1.0,0.0,0.0,enriched_in_improve,4.385693193284225
theme_EPH_RECEPTOR_SIGNALING,EPH_RECEPTOR_SIGNALING,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0,2,1.1077770692066427,1.0,0.0,0.0,enriched_in_improve,4.365799029287216
theme_JNK_P38_STRESS_MAPK,JNK_P38_STRESS_MAPK,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0,2,1.2041749699660524,1.0,0.0,0.0,enriched_in_improve,4.365799029287216
theme_CHROMATIN_EPIGENETIC,CHROMATIN_EPIGENETIC,4,4,8,0.2222222222222222,0.2,0.25,0.75,-0.40053792958372875,enriched_in_worsen,1.0,1.0,-0.0,36,-0.3103401206121506,-0.763108008968437,-0.0379678501990205,enriched_in_worsen,1.0,0.0,3,-0.40053792958372875,1.0,0.0,0.0,enriched_in_worsen,4.333333333333333
theme_RTK_SIGNALING_BROAD,RTK_SIGNALING_BROAD,4,2,6,0.16666666666666666,0.2,0.125,1.75,0.6615837823240687,enriched_in_improve,0.6722442642746249,1.0,0.17247289457808127,36,0.655135940327806,0.29901370293936036,1.3985493764902748,enriched_in_improve,1.0,0.0,2,0.4755451997595268,1.0,0.0,0.0,enriched_in_improve,4.310365513102329
theme_PROTEOSTASIS,PROTEOSTASIS,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902,36,-1.0884379646675837,-2.7493493186220386,-0.42742122373467617,enriched_in_worsen,1.0,0.0,2,-1.2876121643252203,1.0,0.0,0.0,enriched_in_worsen,4.209320024269754
theme_CELL_CYCLE_MITOSIS_KINASE,CELL_CYCLE_MITOSIS_KINASE,3,3,6,0.16666666666666666,0.15,0.1875,0.7647058823529411,-0.37439551478149785,enriched_in_worsen,1.0,1.0,-0.0,36,-0.2895066171949848,-0.8598223419517398,0.11103131238874395,enriched_in_worsen,0.9166666666666666,0.0,3,-0.18947779886371285,1.0,0.0,0.0,enriched_in_worsen,4.083333333333333
theme_PI3K_AKT_MTOR,PI3K_AKT_MTOR,2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0,36,-0.27130202181739427,-1.0884379646675837,0.38549322366482847,enriched_in_worsen,0.9444444444444444,0.0,3,-0.6137509241457811,1.0,0.0,0.0,enriched_in_worsen,4.055555555555555
theme_APOPTOSIS_BCL2,APOPTOSIS_BCL2,2,1,3,0.08333333333333333,0.1,0.0625,1.6666666666666667,0.4817085389241315,enriched_in_improve,1.0,1.0,-0.0,36,0.561878887608115,-0.2552570552420746,2.066671039645288,enriched_in_improve,0.9444444444444444,0.0,3,0.6918777046376682,1.0,0.0,0.0,enriched_in_improve,4.013888888888889
theme_PARP_DNA_REPAIR_CHECKPOINT,PARP_DNA_REPAIR_CHECKPOINT,5,3,8,0.2222222222222222,0.25,0.1875,1.4444444444444444,0.45276788835628645,enriched_in_improve,0.708598779788991,1.0,0.14959959985969204,36,0.44535988979156615,0.16326127116130149,0.9381947155265282,enriched_in_improve,1.0,0.0,3,0.45276788835628645,0.6666666666666666,0.0,0.0,enriched_in_improve,3.7190265266175593
theme_DNA_REPLICATION_GENOME_INTEGRITY,DNA_REPLICATION_GENOME_INTEGRITY,4,4,8,0.2222222222222222,0.2,0.25,0.75,-0.40053792958372875,enriched_in_worsen,1.0,1.0,-0.0,36,-0.3103401206121506,-0.763108008968437,-0.0379678501990205,enriched_in_worsen,1.0,0.0,3,-0.40053792958372875,0.6666666666666666,0.0,0.0,enriched_in_worsen,3.6666666666666665
theme_SER_THR_KINASE_SIGNALING,SER_THR_KINASE_SIGNALING,4,3,7,0.19444444444444445,0.2,0.1875,1.0833333333333333,0.07306346218972339,enriched_in_improve,1.0,1.0,-0.0,36,0.16326127116130149,-0.2895066171949848,0.558490289359965,enriched_in_improve,0.5277777777777778,0.0,2,0.15703578084675918,1.0,0.0,0.0,enriched_in_improve,3.347222222222222
