theme,original_feature,original_pvalue,original_fdr_bh,original_minus_log10_p,original_log2_odds_ratio,original_n_drugs_supporting_theme,original_support_rate_total,original_effect_direction,refined_feature,refined_pvalue,refined_fdr_bh,refined_minus_log10_p,refined_log2_odds_ratio,refined_n_drugs_supporting_theme,refined_support_rate_total,refined_effect_direction,pvalue_improvement,minus_log10_p_gain,fdr_improvement,became_more_significant
ERBB_EGFR_FAMILY_RTK,theme_ERBB_EGFR_FAMILY_RTK,1.0,1.0,-0.0,-0.020833503417165656,9,0.25,enriched_in_worsen,refined_theme_ERBB_EGFR_FAMILY_RTK,0.11314828961887782,0.8528549249611865,0.9463520065762215,3.169925001442312,4.0,0.1111111111111111,enriched_in_improve,0.8868517103811222,0.9463520065762215,0.14714507503881347,True
RTK_SIGNALING_BROAD,theme_RTK_SIGNALING_BROAD,0.6722442642746249,1.0,0.17247289457808127,0.6615837823240687,6,0.16666666666666666,enriched_in_improve,refined_theme_RTK_SIGNALING_BROAD,0.11314828961887782,0.8528549249611865,0.9463520065762215,3.169925001442312,4.0,0.1111111111111111,enriched_in_improve,0.5590959746557471,0.7738791119981403,0.14714507503881347,True
SER_THR_KINASE_SIGNALING,theme_SER_THR_KINASE_SIGNALING,1.0,1.0,-0.0,0.07306346218972339,7,0.19444444444444445,enriched_in_improve,refined_theme_SER_THR_KINASE_SIGNALING,0.3548934725405313,0.8528549249611865,0.44990198843966606,1.494764691749578,5.0,0.1388888888888889,enriched_in_improve,0.6451065274594687,0.44990198843966606,0.14714507503881347,True
APOPTOSIS_BCL2,theme_APOPTOSIS_BCL2,1.0,1.0,-0.0,0.4817085389241315,3,0.08333333333333333,enriched_in_improve,refined_theme_APOPTOSIS_BCL2,0.492063492063492,0.874779541446208,0.3079788556193091,2.156868848616866,2.0,0.05555555555555555,enriched_in_improve,0.507936507936508,0.3079788556193091,0.12522045855379205,True
CELL_CYCLE_MITOSIS_KINASE,theme_CELL_CYCLE_MITOSIS_KINASE,1.0,1.0,-0.0,-0.37439551478149785,6,0.16666666666666666,enriched_in_worsen,refined_theme_CELL_CYCLE_MITOSIS_KINASE,0.5742296918767505,0.8963256856994999,0.24091435505643902,-1.1643868179008823,3.0,0.08333333333333333,enriched_in_worsen,0.42577030812324945,0.24091435505643902,0.10367431430050011,True
PARP_DNA_REPAIR_CHECKPOINT,theme_PARP_DNA_REPAIR_CHECKPOINT,0.708598779788991,1.0,0.14959959985969204,0.45276788835628645,8,0.2222222222222222,enriched_in_improve,refined_theme_PARP_DNA_REPAIR_CHECKPOINT,0.6371275783040488,0.8963256856994999,0.19577359591301718,-0.9399926906357231,5.0,0.1388888888888889,enriched_in_worsen,0.07147120148494224,0.046173996053325145,0.10367431430050011,True
ION_CHANNEL_TRANSPORTER,theme_ION_CHANNEL_TRANSPORTER,0.3013507071349118,1.0,0.5209277851005666,1.198296745718985,13,0.3611111111111111,enriched_in_improve,refined_theme_ION_CHANNEL_TRANSPORTER,0.2767272277839575,0.8528549249611865,0.5579481075935234,1.391139231581479,11.0,0.3055555555555556,enriched_in_improve,0.024623479350954325,0.037020322492956836,0.14714507503881347,True
VEGFR_FGFR_PDGFR_KIT_FLT_RTK,theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,0.708598779788991,1.0,0.14959959985969204,0.45276788835628645,8,0.2222222222222222,enriched_in_improve,refined_theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,0.6722442642746249,0.8963256856994999,0.17247289457808127,0.6615837823240687,6.0,0.16666666666666666,enriched_in_improve,0.03635451551436608,0.022873294718389225,0.10367431430050011,True
MAP2K_MEK_ERK_RAF_CASCADE,theme_MAP2K_MEK_ERK_RAF_CASCADE,0.2767272277839575,1.0,0.5579481075935234,1.391139231581479,11,0.3055555555555556,enriched_in_improve,refined_theme_MAP2K_MEK_ERK_RAF_CASCADE,0.2767272277839575,0.8528549249611865,0.5579481075935234,1.391139231581479,11.0,0.3055555555555556,enriched_in_improve,0.0,0.0,0.14714507503881347,False
JNK_P38_STRESS_MAPK,theme_JNK_P38_STRESS_MAPK,0.3548934725405313,1.0,0.44990198843966606,1.494764691749578,5,0.1388888888888889,enriched_in_improve,refined_theme_JNK_P38_STRESS_MAPK,0.3548934725405313,0.8528549249611865,0.44990198843966606,1.494764691749578,5.0,0.1388888888888889,enriched_in_improve,0.0,0.0,0.14714507503881347,False
