theme,theme_majority_token_direction,n_tokens_total,n_tokens_with_effect,n_tokens_kept,prop_tokens_kept,mean_effect_all_tokens,median_effect_all_tokens,weighted_mean_effect_all_tokens,mean_effect_kept_tokens,median_effect_kept_tokens,weighted_mean_effect_kept_tokens,refinement_gain_mean,refinement_gain_weighted_mean,kept_tokens,dropped_tokens
RTK_SIGNALING_BROAD,enriched_in_improve,4,4,2,0.5,0.43165746505867764,0.9128314700707463,0.6861917494378347,2.4396674365439788,2.4396674365439788,2.496227154129401,2.008009971485301,1.8100354046915663,TYROSINE-PROTEIN KINASE RECEPTOR UFO | RTK SIGNALING,TYROSINE-PROTEIN KINASE RECEPTOR TIE-1 | TYROSINE-PROTEIN KINASE RECEPTOR TYRO3
ERBB_EGFR_FAMILY_RTK,enriched_in_improve,10,6,5,0.5,1.9627611487487684,2.156868848616866,1.4165309173309375,2.3594800791819552,2.156868848616866,2.4945542328920145,0.39671893043318684,1.078023315561077,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2 | EGFR | EGFR SIGNALING | RECEPTOR TYROSINE-PROTEIN KINASE ERBB-3 | RECEPTOR TYROSINE-PROTEIN KINASE ERBB-4,ERBB2 | EPIDERMAL GROWTH FACTOR RECEPTOR | ERBB4 | ERBB3 | EPIDERMAL GROWTH FACTOR RECEPTOR ERBB1 INHIBITOR
SER_THR_KINASE_SIGNALING,enriched_in_improve,16,6,5,0.3125,1.3072358355688787,2.4396674365439788,1.3635167329480704,2.2506868875850983,2.722466024471091,2.3182239644401283,0.9434510520162196,0.9547072314920579,CYCLIN-G-ASSOCIATED KINASE | HOMEODOMAIN-INTERACTING PROTEIN KINASE 4 | CASEIN KINASE I ISOFORM EPSILON | CASEIN KINASE I ISOFORM DELTA | CASEIN KINASE II SUBUNIT ALPHA',GLYCOGEN SYNTHASE KINASE-3 BETA | HOMEODOMAIN-INTERACTING PROTEIN KINASE 1 | HOMEODOMAIN-INTERACTING PROTEIN KINASE 2 | HOMEODOMAIN-INTERACTING PROTEIN KINASE 3 | CASEIN KINASE I ISOFORM ALPHA-LIKE | CASEIN KINASE II SUBUNIT ALPHA | GLYCOGEN SYNTHASE KINASE-3 ALPHA | CASEIN KINASE I ISOFORM ALPHA | CASEIN KINASE I ISOFORM GAMMA-2 | CASEIN KINASE II SUBUNIT BETA | GSK3
APOPTOSIS_BCL2,enriched_in_improve,14,2,1,0.07142857142857142,0.9128314700707463,0.9128314700707463,0.9128314700707463,2.156868848616866,2.156868848616866,2.156868848616866,1.2440373785461196,1.2440373785461196,APOPTOSIS REGULATOR BCL-2,APOPTOSIS REGULATION | BCL2 | MCL1 | BCL-XL | APOPTOSIS REGULATOR BCL-2 INHIBITOR | APOPTOSIS REGULATOR BCL-W INHIBITOR | APOPTOSIS REGULATOR BCL-X INHIBITOR | BAX | BAX ACTIVATOR | BCL-2 SELECTIVE | BCL-2-LIKE PROTEIN 1 | BCL-2-LIKE PROTEIN 2 | BCL2-ASSOCIATED AGONIST OF CELL DEATH
MAP2K_MEK_ERK_RAF_CASCADE,enriched_in_improve,47,12,8,0.1702127659574468,1.038699820704403,0.7645071268512442,1.0285047720073386,1.658019653819014,1.6020872816976115,1.6297308170168652,0.619319833114611,0.6012260450095266,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19 | ERK MAPK SIGNALING | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3 | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 | SERINE/THREONINE-PROTEIN KINASE B-RAF | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 2,BRAF | MAP2K1 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 5 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4 | MAP2K2 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 20 | ERK2 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 1 | ERK1 | ERK5 | MEK1 | MEK2 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 3 | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 4 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 11 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 2 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 7 | RAF PROTO-ONCOGENE SERINE/THREONINE-PROTEIN KINASE | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 INHIBITOR | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2 INHIBITOR | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 12 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 4 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 9 | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 3 | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 6 | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 7 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 1 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13 | RAF | CRAF | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE | DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE; MEK1/2 INHIBITOR | MAP2K5 | MAP2K7 | MEK5 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 10 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 15 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5 | MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 6
JNK_P38_STRESS_MAPK,enriched_in_improve,9,1,1,0.1111111111111111,1.494764691749578,1.494764691749578,1.494764691749578,1.494764691749578,1.494764691749578,1.494764691749578,0.0,0.0,MITOGEN-ACTIVATED PROTEIN KINASE 10,MAPK14 | JNK AND P38 SIGNALING | MAPK11 | MAPK12 | MAPK8 | P38 | JNK | MAP KINASE P38 ALPHA INHIBITOR
PI3K_AKT_MTOR,enriched_in_improve,24,5,4,0.16666666666666666,1.1517726628012253,0.4817085389241315,0.9971424803680498,1.3192886937704986,1.3192886937704986,1.1517726628012253,0.16751603096927337,0.1546301824331755,PI3K (CLASS 1) | PI3-KINASE CLASS I INHIBITOR | MTOR SIGNALING | PI3K,MTOR | PIK3CA | AKT1 | PIK3CG | PIK3CD | PIK3CB | AKT2 | AKT3 | SERINE/THREONINE-PROTEIN KINASE MTOR | AKT | PDK1 (PDPK1) | PDPK1 | PI3K (BETA SPARING) | PI3-KINASE P110-BETA SUBUNIT INHIBITOR | PI3-KINASE P110-DELTA SUBUNIT INHIBITOR | PIK3R1 | SERINE/THREONINE-PROTEIN KINASE AKT INHIBITOR | SERINE/THREONINE-PROTEIN KINASE MTOR INHIBITOR | THREONINE-PROTEIN KINASE AKT INHIBITOR | THREONINE-PROTEIN KINASE MTOR INHIBITOR
MET_HGF_RTK,enriched_in_improve,2,1,1,0.5,1.0412882084906319,1.0412882084906319,1.0412882084906319,1.0412882084906319,1.0412882084906319,1.0412882084906319,0.0,0.0,HEPATOCYTE GROWTH FACTOR RECEPTOR,MET
ION_CHANNEL_TRANSPORTER,enriched_in_improve,54,6,4,0.07407407407407407,0.4994444904186098,0.5716461606241001,0.6707099233312172,0.9198363053721025,0.8514359954073503,0.9608318680428153,0.4203918149534927,0.29012194471159813,BILE SALT EXPORT PUMP | VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2 | SODIUM-DEPENDENT DOPAMINE TRANSPORTER | BROAD SUBSTRATE SPECIFICITY ATP-BINDING CASSETTE TRANSPORTER ABCG2,KCNH2 | SLC6A3 | SLC12A1 | SLC6A2 | SLC6A4 | SODIUM-DEPENDENT NORADRENALINE TRANSPORTER | EQUILIBRATIVE NUCLEOSIDE TRANSPORTER 1 | SLC12A2 | SLC7A11 | SLC12A3 | SLC18A2 | SLC22A6 | SLC29A4 | SLC47A1 | SLC5A1 | SLC5A8 | SLC6A1 | SLCO1B1 | SLCO1B3 | SODIUM-DEPENDENT SEROTONIN TRANSPORTER | ABCB11 | PROTON-COUPLED FOLATE TRANSPORTER | REDUCED FOLATE TRANSPORTER | SLC10A1 | SLC12A4 | SLC12A5 | SLC15A1 | SLC15A2 | SLC18A1 | SLC19A2 | SLC19A3 | SLC22A12 | SLC25A15 | SLC25A2 | SLC2A2 | SLC37A4 | SLC46A1 | SLC47A2 | SLC5A11 | SLC5A2 | SLC5A3 | SLC6A5 | SLC6A8 | SLC6A9 | SLC7A1 | SLC7A2 | SLC7A3 | SLC7A4 | SLC9A1 | SLCO1A2
SRC_LCK_NONRECEPTOR_TK,enriched_in_improve,23,8,5,0.21739130434782608,0.3124461113204069,0.4817085389241315,0.41198976166430906,0.7067439080082766,0.4817085389241315,0.7906808584432516,0.3942977966878697,0.3786910967789426,TYROSINE-PROTEIN KINASE BLK | TYROSINE-PROTEIN KINASE LCK | TYROSINE-PROTEIN KINASE FRK | TYROSINE-PROTEIN KINASE HCK | TYROSINE-PROTEIN KINASE LYN,SRC | LCK | PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC | SYK | TYROSINE-PROTEIN KINASE FYN | TYROSINE-PROTEIN KINASE FGR | LYN | HCK | FGR | FRK | FYN | TYROSINE-PROTEIN KINASE SYK | YES1 | BLK | C-FGR | TYROSINE-PROTEIN KINASE HCK INHIBITOR | TYROSINE-PROTEIN KINASE LYN INHIBITOR | TYROSINE-PROTEIN KINASE SRC INHIBITOR
VEGFR_FGFR_PDGFR_KIT_FLT_RTK,enriched_in_improve,16,4,1,0.0625,0.10942272449783227,0.07525131522437914,0.14740255323982782,0.6615837823240687,0.6615837823240687,0.6615837823240687,0.5521610578262364,0.5141812290842409,RECEPTOR-TYPE TYROSINE-PROTEIN KINASE FLT3,FLT3 | KIT | FLT1 | FLT4 | RET | PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET | ALK | PDGFR | VEGFR | MAST/STEM CELL GROWTH FACTOR RECEPTOR KIT | ALK TYROSINE KINASE RECEPTOR | AXL | TYROSINE-PROTEIN KINASE RECEPTOR RET INHIBITOR | FGFR | TYROSINE-PROTEIN KINASE RECEPTOR FLT3 INHIBITOR
