feature,theme,pvalue,fdr_bh,odds_ratio,log2_odds_ratio,effect_direction,n_drugs_supporting_theme,threshold
theme_ION_CHANNEL_TRANSPORTER,ION_CHANNEL_TRANSPORTER,0.11365705762345918,1.0,3.3333333333333335,1.6257481155676563,enriched_in_improve,14,0.005
theme_MAP2K_MEK_ERK_RAF_CASCADE,MAP2K_MEK_ERK_RAF_CASCADE,0.1283537950244845,1.0,2.9857142857142858,1.4915515611543917,enriched_in_improve,16,0.005
theme_PROTEOSTASIS,PROTEOSTASIS,0.34867564046895344,1.0,0.2916666666666667,-1.4108375107495583,enriched_in_worsen,4,0.005
theme_ERBB_EGFR_FAMILY_RTK,ERBB_EGFR_FAMILY_RTK,0.5201947495547621,1.0,1.7882352941176471,0.784150424530324,enriched_in_improve,13,0.005
theme_DNA_REPLICATION_GENOME_INTEGRITY,DNA_REPLICATION_GENOME_INTEGRITY,0.5201947495547621,1.0,0.6071428571428571,-0.6757279646443386,enriched_in_worsen,12,0.005
theme_JNK_P38_STRESS_MAPK,JNK_P38_STRESS_MAPK,0.667100882906354,1.0,2.0952380952380953,0.9135852481825268,enriched_in_improve,6,0.005
theme_PI3K_AKT_MTOR,PI3K_AKT_MTOR,0.667100882906354,1.0,0.6086956521739131,-0.6137509241457811,enriched_in_worsen,5,0.005
theme_EPH_RECEPTOR_SIGNALING,EPH_RECEPTOR_SIGNALING,0.7019391626022008,1.0,1.75,0.7207894466637074,enriched_in_improve,8,0.005
theme_MET_HGF_RTK,MET_HGF_RTK,0.7019391626022008,1.0,1.75,0.7207894466637074,enriched_in_improve,8,0.005
theme_SRC_LCK_NONRECEPTOR_TK,SRC_LCK_NONRECEPTOR_TK,0.7416433266833333,1.0,1.4777777777777779,0.5234078302045198,enriched_in_improve,12,0.005
theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,0.7416433266833333,1.0,1.4777777777777779,0.5234078302045198,enriched_in_improve,12,0.005
theme_PARP_DNA_REPAIR_CHECKPOINT,PARP_DNA_REPAIR_CHECKPOINT,0.7536135200416346,1.0,0.7669172932330827,-0.36257007938470825,enriched_in_worsen,13,0.005
theme_SER_THR_KINASE_SIGNALING,SER_THR_KINASE_SIGNALING,1.0,1.0,1.2,0.24100809950379498,enriched_in_improve,11,0.005
theme_CELL_CYCLE_MITOSIS_KINASE,CELL_CYCLE_MITOSIS_KINASE,1.0,1.0,0.95,-0.07214978575583542,enriched_in_worsen,10,0.005
