feature,theme,thresholds_evaluable,threshold_median_log2_odds_ratio,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_fdr_lt_0_10_rate,threshold_majority_direction
theme_ION_CHANNEL_TRANSPORTER,ION_CHANNEL_TRANSPORTER,3,1.6257481155676563,1.0,0.0,0.0,enriched_in_improve
theme_MAP2K_MEK_ERK_RAF_CASCADE,MAP2K_MEK_ERK_RAF_CASCADE,3,1.391139231581479,1.0,0.0,0.0,enriched_in_improve
theme_PROTEOSTASIS,PROTEOSTASIS,2,-1.2876121643252203,1.0,0.0,0.0,enriched_in_worsen
theme_JNK_P38_STRESS_MAPK,JNK_P38_STRESS_MAPK,2,1.2041749699660524,1.0,0.0,0.0,enriched_in_improve
theme_PI3K_AKT_MTOR,PI3K_AKT_MTOR,3,-0.6137509241457811,1.0,0.0,0.0,enriched_in_worsen
theme_EPH_RECEPTOR_SIGNALING,EPH_RECEPTOR_SIGNALING,2,1.1077770692066427,1.0,0.0,0.0,enriched_in_improve
theme_MET_HGF_RTK,MET_HGF_RTK,2,0.8810388275771697,1.0,0.0,0.0,enriched_in_improve
theme_SRC_LCK_NONRECEPTOR_TK,SRC_LCK_NONRECEPTOR_TK,3,0.6918777046376682,1.0,0.0,0.0,enriched_in_improve
theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,2,0.4880878592804031,1.0,0.0,0.0,enriched_in_improve
theme_SER_THR_KINASE_SIGNALING,SER_THR_KINASE_SIGNALING,2,0.15703578084675918,1.0,0.0,0.0,enriched_in_improve
theme_CELL_CYCLE_MITOSIS_KINASE,CELL_CYCLE_MITOSIS_KINASE,3,-0.18947779886371285,1.0,0.0,0.0,enriched_in_worsen
theme_RTK_SIGNALING_BROAD,RTK_SIGNALING_BROAD,2,0.4755451997595268,1.0,0.0,0.0,enriched_in_improve
theme_CHROMATIN_EPIGENETIC,CHROMATIN_EPIGENETIC,3,-0.40053792958372875,1.0,0.0,0.0,enriched_in_worsen
theme_APOPTOSIS_BCL2,APOPTOSIS_BCL2,3,0.6918777046376682,1.0,0.0,0.0,enriched_in_improve
theme_ERBB_EGFR_FAMILY_RTK,ERBB_EGFR_FAMILY_RTK,3,-0.020833503417165656,0.6666666666666666,0.0,0.0,enriched_in_worsen
theme_DNA_REPLICATION_GENOME_INTEGRITY,DNA_REPLICATION_GENOME_INTEGRITY,3,-0.40053792958372875,0.6666666666666666,0.0,0.0,enriched_in_worsen
theme_PARP_DNA_REPAIR_CHECKPOINT,PARP_DNA_REPAIR_CHECKPOINT,3,0.45276788835628645,0.6666666666666666,0.0,0.0,enriched_in_improve
