theme,n_tokens_mapped_to_theme,n_tokens_with_effect,mean_token_log2_odds_ratio,median_token_log2_odds_ratio,support_weighted_mean_token_log2_odds_ratio,support_rate_weighted_mean_token_log2_odds_ratio,mean_abs_token_log2_odds_ratio,token_effect_iqr,mean_token_minus_log10_p,median_token_minus_log10_p,token_sign_consistency,prop_tokens_positive,prop_tokens_negative,token_majority_direction,top_token,top_token_log2_odds_ratio,top_token_support,top3_mean_abs_token_log2_odds_ratio,theme_feature,theme_n_improve_with_theme,theme_n_worsen_with_theme,theme_n_drugs_supporting_theme,theme_support_rate_total,theme_support_rate_improve,theme_support_rate_worsen,theme_odds_ratio,theme_log2_odds_ratio,theme_effect_direction,theme_pvalue,theme_fdr_bh,theme_minus_log10_p,theme_consensus_score,theme_size_bias_gap
JNK_P38_STRESS_MAPK,9,1,1.494764691749578,1.494764691749578,1.494764691749578,1.494764691749578,1.494764691749578,0.0,0.44990198843966606,0.44990198843966606,1.0,1.0,0.0,enriched_in_improve,MAPK14,,,1.494764691749578,theme_JNK_P38_STRESS_MAPK,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606,4.365799029287216,0.0
ERBB_EGFR_FAMILY_RTK,10,6,1.9627611487487684,2.156868848616866,1.4165309173309375,1.4165309173309373,1.9697056498878236,0.0,0.3630445715089097,0.3079788556193091,0.8333333333333334,0.8333333333333334,0.16666666666666666,enriched_in_improve,EGFR SIGNALING,2.156868848616866,2.0,2.4945542328920145,theme_ERBB_EGFR_FAMILY_RTK,5,4,9,0.25,0.25,0.25,1.0,-0.020833503417165656,enriched_in_worsen,1.0,1.0,-0.0,2.763888888888889,-1.437364420748103
SER_THR_KINASE_SIGNALING,16,6,1.3072358355688787,2.4396674365439788,1.3635167329480704,1.3635167329480706,2.4439089770729514,1.821967408123776,0.6010566046268844,0.6232492903979006,0.8333333333333334,0.8333333333333334,0.16666666666666666,enriched_in_improve,GLYCOGEN SYNTHASE KINASE-3 BETA,-3.4100194245122193,3.0,3.1008034834752074,theme_SER_THR_KINASE_SIGNALING,4,3,7,0.19444444444444445,0.2,0.1875,1.0833333333333333,0.07306346218972339,enriched_in_improve,1.0,1.0,-0.0,3.347222222222222,-1.290453270758347
MET_HGF_RTK,2,1,1.0412882084906319,1.0412882084906319,1.0412882084906319,1.0412882084906319,1.0412882084906319,0.0,0.37015483395399357,0.37015483395399357,1.0,1.0,0.0,enriched_in_improve,MET,,,1.0412882084906319,theme_MET_HGF_RTK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357,4.421220858550565,0.0
MAP2K_MEK_ERK_RAF_CASCADE,47,12,1.038699820704403,0.7645071268512442,1.0285047720073386,1.0285047720073384,1.2076805186130903,2.0790767217210737,0.2175607191836264,0.10629240549769416,0.75,0.75,0.25,enriched_in_improve,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 5,0.21412480535284734,5.0,2.6830866248434226,theme_MAP2K_MEK_ERK_RAF_CASCADE,8,3,11,0.3055555555555556,0.4,0.1875,2.888888888888889,1.391139231581479,enriched_in_improve,0.2767272277839575,1.0,0.5579481075935234,4.653615170991066,0.3626344595741404
PI3K_AKT_MTOR,24,5,1.1517726628012253,0.4817085389241315,0.9971424803680498,0.9971424803680499,1.1517726628012253,1.6751603096927343,0.12319154224772363,0.0,1.0,1.0,0.0,enriched_in_improve,MTOR,,,1.5984820787192877,theme_PI3K_AKT_MTOR,2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0,4.055555555555555,-1.3486148508694273
APOPTOSIS_BCL2,14,2,0.9128314700707463,0.9128314700707463,0.9128314700707463,0.9128314700707464,1.2440373785461196,1.2440373785461196,0.15398942780965455,0.15398942780965455,0.5,0.5,0.5,enriched_in_improve,BCL2,-0.33120590847537323,2.0,1.2440373785461196,theme_APOPTOSIS_BCL2,2,1,3,0.08333333333333333,0.1,0.0625,1.6666666666666667,0.4817085389241315,enriched_in_improve,1.0,1.0,-0.0,4.013888888888889,-0.43112293114661476
RTK_SIGNALING_BROAD,4,4,0.43165746505867764,0.9128314700707463,0.6861917494378347,0.6861917494378343,2.008009971485301,3.252047350031421,0.41284686235579166,0.4656140730086048,0.5,0.5,0.5,enriched_in_improve,TYROSINE-PROTEIN KINASE RECEPTOR TYRO3,-2.821499104377874,2.0,2.566944659155277,theme_RTK_SIGNALING_BROAD,4,2,6,0.16666666666666666,0.2,0.125,1.75,0.6615837823240687,enriched_in_improve,0.6722442642746249,1.0,0.17247289457808127,4.310365513102329,-0.024607967113766005
ION_CHANNEL_TRANSPORTER,54,6,0.4994444904186098,0.5716461606241001,0.6707099233312172,0.6707099233312172,0.7270039167441934,1.0743393985744882,0.16542161949529013,0.08623644728904063,0.6666666666666666,0.6666666666666666,0.3333333333333333,enriched_in_improve,SLC6A3,,,1.065878894188093,theme_ION_CHANNEL_TRANSPORTER,9,4,13,0.3611111111111111,0.45,0.25,2.4545454545454546,1.198296745718985,enriched_in_improve,0.3013507071349118,1.0,0.5209277851005666,4.723991391451865,0.5275868223877679
PARP_DNA_REPAIR_CHECKPOINT,17,5,0.6640239943615224,-0.33120590847537323,0.6640239943615224,0.6640239943615224,1.0614710845319704,2.4880747570922392,0.12319154224772363,0.0,0.6,0.4,0.6,enriched_in_worsen,SERINE/THREONINE-PROTEIN KINASE CHK1,-0.33120590847537323,2.0,1.5483145352363683,theme_PARP_DNA_REPAIR_CHECKPOINT,5,3,8,0.2222222222222222,0.25,0.1875,1.4444444444444444,0.45276788835628645,enriched_in_improve,0.708598779788991,1.0,0.14959959985969204,3.7190265266175593,-0.21125610600523592
EPH_RECEPTOR_SIGNALING,28,8,0.20804976118927548,-0.33120590847537323,0.534229195833535,0.5342291958335351,0.7048586239023353,0.20322861184987617,0.11829400082202769,0.0,0.75,0.25,0.75,enriched_in_worsen,EPHRIN TYPE-B RECEPTOR 6,3.169925001442312,4.0,1.327613149613939,theme_EPH_RECEPTOR_SIGNALING,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606,4.365799029287216,0.960535495916043
SRC_LCK_NONRECEPTOR_TK,23,8,0.3124461113204069,0.4817085389241315,0.41198976166430906,0.4119897616643091,0.6914109084209719,0.3481901447480024,0.10295675000072761,0.0,0.75,0.75,0.25,enriched_in_improve,SYK,,,1.0843269137232905,theme_SRC_LCK_NONRECEPTOR_TK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357,4.421220858550565,0.6292984468263227
VEGFR_FGFR_PDGFR_KIT_FLT_RTK,16,4,0.10942272449783227,0.07525131522437914,0.14740255323982782,0.14740255323982784,0.4622234361262678,0.8686806598260202,0.043118223644520316,0.0,0.5,0.5,0.5,enriched_in_improve,KIT,,,0.5058959453432327,theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,5,3,8,0.2222222222222222,0.25,0.1875,1.4444444444444444,0.45276788835628645,enriched_in_improve,0.708598779788991,1.0,0.14959959985969204,4.385693193284225,0.30536533511645864
CHROMATIN_EPIGENETIC,35,3,-0.1494290038659664,-0.33120590847537323,-0.02824440079302848,-0.02824440079302845,0.2921788741011979,0.27266535691411026,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,enriched_in_worsen,CHROMATIN HISTONE ACETYLATION,,,0.2921788741011979,theme_CHROMATIN_EPIGENETIC,4,4,8,0.2222222222222222,0.2,0.25,0.75,-0.40053792958372875,enriched_in_worsen,1.0,1.0,-0.0,4.333333333333333,-0.37229352879070027
DNA_REPLICATION_GENOME_INTEGRITY,3,2,-0.3514723705013777,-0.3514723705013777,-0.3514723705013777,-0.35147237050137764,0.3514723705013777,0.0,0.0,0.0,1.0,0.0,1.0,enriched_in_worsen,DNA REPLICATION,-0.3514723705013777,4.0,0.3514723705013777,theme_DNA_REPLICATION_GENOME_INTEGRITY,4,4,8,0.2222222222222222,0.2,0.25,0.75,-0.40053792958372875,enriched_in_worsen,1.0,1.0,-0.0,3.6666666666666665,-0.04906555908235105
CELL_CYCLE_MITOSIS_KINASE,9,4,-0.7505505956011224,-0.33120590847537323,-0.6136329139872053,-0.6136329139872053,0.991404865063188,0.8258019108255014,0.18003982585148925,0.0,0.75,0.25,0.75,enriched_in_worsen,MITOSIS,-2.821499104377874,2.0,1.211471183925793,theme_CELL_CYCLE_MITOSIS_KINASE,3,3,6,0.16666666666666666,0.15,0.1875,0.7647058823529411,-0.37439551478149785,enriched_in_worsen,1.0,1.0,-0.0,4.083333333333333,0.23923739920570747
PROTEOSTASIS,8,0,,,,,,,,,,,,neutral_or_missing,,,,,theme_PROTEOSTASIS,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902,4.209320024269754,
