feature,raw_token,theme,theme_mapping_status,log2_odds_ratio,minus_log10_p,pvalue,n_drugs_supporting_token,support_rate_total,effect_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate,lodo_majority_direction,threshold_sign_consistency,threshold_p_lt_0_05_rate,threshold_majority_direction,token_effect_sign,abs_log2_odds_ratio,theme_majority_token_direction,theme_majority_token_sign,passes_support,passes_effect_size,passes_lodo,passes_threshold,aligns_with_theme_direction,token_keep_flag
rawtok_EGFR,EGFR,ERBB_EGFR_FAMILY_RTK,mapped,2.156868848616866,0.3079788556193091,0.492063492063492,2.0,0.05555555555555555,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,2.156868848616866,enriched_in_improve,1,True,True,True,True,True,True
rawtok_MTOR_SIGNALING,MTOR SIGNALING,PI3K_AKT_MTOR,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,True,True,True
rawtok_PI3K,PI3K,PI3K_AKT_MTOR,mapped,0.4817085389241315,-0.0,1.0,3.0,0.08333333333333333,enriched_in_improve,0.9444444444444444,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,0.4817085389241315,enriched_in_improve,1,True,True,True,True,True,True
rawtok_RTK_SIGNALING,RTK SIGNALING,RTK_SIGNALING_BROAD,mapped,2.156868848616866,0.3079788556193091,0.492063492063492,2.0,0.05555555555555555,enriched_in_improve,1.0,0.0,enriched_in_improve,1.0,0.0,enriched_in_improve,1,2.156868848616866,enriched_in_improve,1,True,True,True,True,True,True
rawtok_MTOR,MTOR,PI3K_AKT_MTOR,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_ERBB2,ERBB2,ERBB_EGFR_FAMILY_RTK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_CHROMATIN_HISTONE_ACETYLATION,CHROMATIN HISTONE ACETYLATION,CHROMATIN_EPIGENETIC,mapped,,,,,,,,,,,,,0,,enriched_in_worsen,-1,False,False,False,False,False,False
rawtok_DNA_REPLICATION,DNA REPLICATION,DNA_REPLICATION_GENOME_INTEGRITY,mapped,-0.3514723705013777,-0.0,1.0,4.0,0.1111111111111111,enriched_in_worsen,0.9444444444444444,0.0,enriched_in_worsen,0.6666666666666666,0.0,enriched_in_worsen,-1,0.3514723705013777,enriched_in_worsen,-1,True,True,True,False,True,False
rawtok_FLT3,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,,,,,,,,,,,,,0,,enriched_in_improve,1,False,False,False,False,False,False
rawtok_KIT,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,mapped,,,,,,,,,,1.0,0.0,enriched_in_improve,0,,enriched_in_improve,1,False,False,False,True,False,False
