feature,theme,n_improve_with_theme,n_worsen_with_theme,n_drugs_supporting_theme,support_rate_total,support_rate_improve,support_rate_worsen,odds_ratio,log2_odds_ratio,effect_direction,pvalue,fdr_bh,minus_log10_p
theme_MAP2K_MEK_ERK_RAF_CASCADE,MAP2K_MEK_ERK_RAF_CASCADE,8,3,11,0.3055555555555556,0.4,0.1875,2.888888888888889,1.391139231581479,enriched_in_improve,0.2767272277839575,1.0,0.5579481075935234
theme_ION_CHANNEL_TRANSPORTER,ION_CHANNEL_TRANSPORTER,9,4,13,0.3611111111111111,0.45,0.25,2.4545454545454546,1.198296745718985,enriched_in_improve,0.3013507071349118,1.0,0.5209277851005666
theme_EPH_RECEPTOR_SIGNALING,EPH_RECEPTOR_SIGNALING,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606
theme_JNK_P38_STRESS_MAPK,JNK_P38_STRESS_MAPK,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606
theme_MET_HGF_RTK,MET_HGF_RTK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357
theme_SRC_LCK_NONRECEPTOR_TK,SRC_LCK_NONRECEPTOR_TK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357
theme_PROTEOSTASIS,PROTEOSTASIS,1,2,3,0.08333333333333333,0.05,0.125,0.3684210526315789,-1.1643868179008823,enriched_in_worsen,0.5742296918767505,1.0,0.24091435505643902
theme_RTK_SIGNALING_BROAD,RTK_SIGNALING_BROAD,4,2,6,0.16666666666666666,0.2,0.125,1.75,0.6615837823240687,enriched_in_improve,0.6722442642746249,1.0,0.17247289457808127
theme_PARP_DNA_REPAIR_CHECKPOINT,PARP_DNA_REPAIR_CHECKPOINT,5,3,8,0.2222222222222222,0.25,0.1875,1.4444444444444444,0.45276788835628645,enriched_in_improve,0.708598779788991,1.0,0.14959959985969204
theme_VEGFR_FGFR_PDGFR_KIT_FLT_RTK,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,5,3,8,0.2222222222222222,0.25,0.1875,1.4444444444444444,0.45276788835628645,enriched_in_improve,0.708598779788991,1.0,0.14959959985969204
theme_ERBB_EGFR_FAMILY_RTK,ERBB_EGFR_FAMILY_RTK,5,4,9,0.25,0.25,0.25,1.0,-0.020833503417165656,enriched_in_worsen,1.0,1.0,-0.0
theme_CHROMATIN_EPIGENETIC,CHROMATIN_EPIGENETIC,4,4,8,0.2222222222222222,0.2,0.25,0.75,-0.40053792958372875,enriched_in_worsen,1.0,1.0,-0.0
theme_DNA_REPLICATION_GENOME_INTEGRITY,DNA_REPLICATION_GENOME_INTEGRITY,4,4,8,0.2222222222222222,0.2,0.25,0.75,-0.40053792958372875,enriched_in_worsen,1.0,1.0,-0.0
theme_SER_THR_KINASE_SIGNALING,SER_THR_KINASE_SIGNALING,4,3,7,0.19444444444444445,0.2,0.1875,1.0833333333333333,0.07306346218972339,enriched_in_improve,1.0,1.0,-0.0
theme_CELL_CYCLE_MITOSIS_KINASE,CELL_CYCLE_MITOSIS_KINASE,3,3,6,0.16666666666666666,0.15,0.1875,0.7647058823529411,-0.37439551478149785,enriched_in_worsen,1.0,1.0,-0.0
theme_PI3K_AKT_MTOR,PI3K_AKT_MTOR,2,2,4,0.1111111111111111,0.1,0.125,0.7777777777777778,-0.3514723705013777,enriched_in_worsen,1.0,1.0,-0.0
theme_APOPTOSIS_BCL2,APOPTOSIS_BCL2,2,1,3,0.08333333333333333,0.1,0.0625,1.6666666666666667,0.4817085389241315,enriched_in_improve,1.0,1.0,-0.0
