drug,source,field,token
ERLOTINIB,drug_sample,PUTATIVE_TARGET,EGFR
ERLOTINIB,drug_sample,PUTATIVE_TARGET,NR1I2
ERLOTINIB,drug_sample,PATHWAY_NAME,EGFR signaling
RAPAMYCIN,drug_sample,PUTATIVE_TARGET,MTORC1
RAPAMYCIN,drug_sample,PATHWAY_NAME,MTOR signaling
RAPAMYCIN,drug_sample,PATHWAY_NAME,PI3K
SUNITINIB,drug_sample,PUTATIVE_TARGET,CSF1R
SUNITINIB,drug_sample,PUTATIVE_TARGET,FGFR1
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT1
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT3
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT4
SUNITINIB,drug_sample,PUTATIVE_TARGET,KDR
SUNITINIB,drug_sample,PUTATIVE_TARGET,KIT
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFR
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFRA
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFRB
SUNITINIB,drug_sample,PUTATIVE_TARGET,RET
SUNITINIB,drug_sample,PUTATIVE_TARGET,VEGFR
SUNITINIB,drug_sample,PATHWAY_NAME,RTK signaling
PHA-665752,drug_sample,PUTATIVE_TARGET,MET
PHA-665752,drug_sample,PATHWAY_NAME,RTK signaling
MG-132,drug_sample,PUTATIVE_TARGET,CAPN1
MG-132,drug_sample,PUTATIVE_TARGET,PSMB1
MG-132,drug_sample,PUTATIVE_TARGET,Proteasome
MG-132,drug_sample,PATHWAY_NAME,Protein stability and degradation
PACLITAXEL,drug_sample,PUTATIVE_TARGET,BCL2
PACLITAXEL,drug_sample,PUTATIVE_TARGET,MAP2
PACLITAXEL,drug_sample,PUTATIVE_TARGET,MAP4
PACLITAXEL,drug_sample,PUTATIVE_TARGET,MAPT
PACLITAXEL,drug_sample,PUTATIVE_TARGET,Microtubule stabiliser
PACLITAXEL,drug_sample,PUTATIVE_TARGET,NR1I2
