feature,mean_coef,mean_abs_coef,selection_freq
Z_SCORE_abs_mean,-0.4004681058882854,0.4004681058882854,1.0
Z_SCORE_mean,-0.3439383680658317,0.3439383680658317,0.8
kd_best_pchembl,0.2901480910767553,0.2901480910767553,1.0
ic50_best_pchembl,0.17196125076445154,0.17196125076445154,0.6
aromatic_rings,0.15500319578115837,0.15500319578115837,0.6
ac50_best_pchembl,0.03057552957018835,0.03057552957018835,0.2
theme_EPH_RECEPTOR_SIGNALING,0.0,0.0,0.0
theme_ION_CHANNEL_TRANSPORTER,0.0,0.0,0.0
theme_JNK_P38_STRESS_MAPK,0.0,0.0,0.0
theme_MAP2K_MEK_ERK_RAF_CASCADE,0.0,0.0,0.0
theme_MET_HGF_RTK,0.0,0.0,0.0
theme_SRC_LCK_NONRECEPTOR_TK,0.0,0.0,0.0
