source,field,token,feature,odds_ratio,pvalue,n_worsen,n_with_token,n_total,fdr_bh,minus_log10_p,minus_log10_fdr
raw_token,raw_token,GLYCOGEN SYNTHASE KINASE-3 BETA,rawtok_GLYCOGEN_SYNTHASE_KINASE_3_BETA,9.23076923076923,0.06273258904837853,3,4,57,1.0,1.2025067882442535,-0.0
raw_token,raw_token,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4A",rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4A,inf,0.07518796992481205,2,2,57,1.0,1.1238516409670856,-0.0
raw_token,raw_token,MITOSIS,rawtok_MITOSIS,inf,0.07518796992481205,2,2,57,1.0,1.1238516409670856,-0.0
raw_token,raw_token,PAIRED BOX PROTEIN PAX-8,rawtok_PAIRED_BOX_PROTEIN_PAX_8,inf,0.07518796992481205,2,2,57,1.0,1.1238516409670856,-0.0
raw_token,raw_token,TUMOR NECROSIS FACTOR,rawtok_TUMOR_NECROSIS_FACTOR,inf,0.07518796992481205,2,2,57,1.0,1.1238516409670856,-0.0
raw_token,raw_token,BROMODOMAIN-CONTAINING PROTEIN 4,rawtok_BROMODOMAIN_CONTAINING_PROTEIN_4,5.714285714285714,0.1872863978127136,2,3,57,1.0,0.7274937633049229,-0.0
raw_token,raw_token,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA,rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_BETA,5.714285714285714,0.1872863978127136,2,3,57,1.0,0.7274937633049229,-0.0
raw_token,raw_token,CYCLIN-DEPENDENT KINASE 5,rawtok_CYCLIN_DEPENDENT_KINASE_5,5.714285714285714,0.1872863978127136,2,3,57,1.0,0.7274937633049229,-0.0
raw_token,raw_token,CYTOCHROME P450 3A4,rawtok_CYTOCHROME_P450_3A4,2.923076923076923,0.21078711644749382,3,6,57,1.0,0.6761559372296595,-0.0
raw_token,raw_token,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4D",rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4D,2.7857142857142856,0.3118402065770487,2,4,57,1.0,0.5060678905300626,-0.0
raw_token,raw_token,BDNF/NT-3 GROWTH FACTORS RECEPTOR,rawtok_BDNF_NT_3_GROWTH_FACTORS_RECEPTOR,2.7857142857142856,0.3118402065770487,2,4,57,1.0,0.5060678905300626,-0.0
raw_token,raw_token,DNA REPLICATION,rawtok_DNA_REPLICATION,2.7857142857142856,0.3118402065770487,2,4,57,1.0,0.5060678905300626,-0.0
raw_token,raw_token,MU-TYPE OPIOID RECEPTOR,rawtok_MU_TYPE_OPIOID_RECEPTOR,2.7857142857142856,0.3118402065770487,2,4,57,1.0,0.5060678905300626,-0.0
raw_token,raw_token,RHO-ASSOCIATED PROTEIN KINASE 2,rawtok_RHO_ASSOCIATED_PROTEIN_KINASE_2,2.7857142857142856,0.3118402065770487,2,4,57,1.0,0.5060678905300626,-0.0
raw_token,raw_token,TYROSINE-PROTEIN KINASE RECEPTOR TYRO3,rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_TYRO3,2.7857142857142856,0.3118402065770487,2,4,57,1.0,0.5060678905300626,-0.0
raw_token,raw_token,DUAL SPECIFICITY PROTEIN KINASE TTK,rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_TTK,1.8095238095238095,0.43404394347790565,2,5,57,1.0,0.36246629941867475,-0.0
