feature,raw_token,lodo_runs_evaluable,lodo_median_log2_odds_ratio,lodo_min_log2_odds_ratio,lodo_max_log2_odds_ratio,lodo_majority_direction,lodo_sign_consistency,lodo_p_lt_0_05_rate
rawtok_2_AND_3_INHIBITOR,2 AND 3 INHIBITOR,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4A,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4A",34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0
rawtok_5_HYDROXYTRYPTAMINE_RECEPTOR_2B,5-HYDROXYTRYPTAMINE RECEPTOR 2B,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_ADENOSINE_RECEPTOR_A3,ADENOSINE RECEPTOR A3,36,1.0416425059419616,0.561878887608115,2.6322682154995127,enriched_in_improve,1.0,0.0
rawtok_ALK_TYROSINE_KINASE_RECEPTOR,ALK TYROSINE KINASE RECEPTOR,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_ALPHA_2A_ADRENERGIC_RECEPTOR,ALPHA-2A ADRENERGIC RECEPTOR,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_ALPHA_2B_ADRENERGIC_RECEPTOR,ALPHA-2B ADRENERGIC RECEPTOR,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_ANGIOPOIETIN_1_RECEPTOR,ANGIOPOIETIN-1 RECEPTOR,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_ANKYRIN_REPEAT_AND_PROTEIN_KINASE_DOMAIN_CONTAINING_PROTEIN_1,ANKYRIN REPEAT AND PROTEIN KINASE DOMAIN-CONTAINING PROTEIN 1,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_APOPTOSIS_REGULATOR_BCL_2,APOPTOSIS REGULATOR BCL-2,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_AURORA_KINASE_A,AURORA KINASE A,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_BCL2,BCL2,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_BDNF_NT_3_GROWTH_FACTORS_RECEPTOR,BDNF/NT-3 GROWTH FACTORS RECEPTOR,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0
rawtok_BETA_1_ADRENERGIC_RECEPTOR,BETA-1 ADRENERGIC RECEPTOR,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
rawtok_BILE_SALT_EXPORT_PUMP,BILE SALT EXPORT PUMP,36,1.3985493764902748,1.1321946123648698,3.079727192470734,enriched_in_improve,1.0,0.0
rawtok_BMP_2_INDUCIBLE_PROTEIN_KINASE,BMP-2-INDUCIBLE PROTEIN KINASE,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_BRD4,BRD4,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_BROMODOMAIN_CONTAINING_PROTEIN_4,BROMODOMAIN-CONTAINING PROTEIN 4,36,-1.0884379646675837,-2.7493493186220386,-0.42742122373467617,enriched_in_worsen,1.0,0.0
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_BETA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA,34,-2.7493493186220386,-2.9245925973419773,-2.7493493186220386,enriched_in_worsen,1.0,0.0
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_DELTA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT DELTA,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_GAMMA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT GAMMA,34,-0.2552570552420746,-0.42742122373467617,-0.2552570552420746,enriched_in_worsen,1.0,0.0
rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,CASEIN KINASE I ISOFORM DELTA,34,2.237039197300849,2.066671039645288,2.237039197300849,enriched_in_improve,1.0,0.0
