feature,raw_token,pvalue,fdr_bh,odds_ratio,log2_odds_ratio,effect_direction,n_drugs_supporting_token,threshold
rawtok_GLYCOGEN_SYNTHASE_KINASE_3_BETA,GLYCOGEN SYNTHASE KINASE-3 BETA,0.05015197568389057,1.0,0.0,-3.484798338795724,enriched_in_worsen,4,0.005
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2,0.10985670864090316,1.0,inf,3.3583700908554226,enriched_in_improve,4,0.005
rawtok_BDNF_NT_3_GROWTH_FACTORS_RECEPTOR,BDNF/NT-3 GROWTH FACTORS RECEPTOR,0.10985670864090316,1.0,0.0,-3.053515509327002,enriched_in_worsen,3,0.005
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_BETA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA,0.10985670864090316,1.0,0.0,-3.053515509327002,enriched_in_worsen,3,0.005
rawtok_CYCLIN_DEPENDENT_KINASE_5,CYCLIN-DEPENDENT KINASE 5,0.10985670864090316,1.0,0.0,-3.053515509327002,enriched_in_worsen,3,0.005
rawtok_CYCLIN_DEPENDENT_KINASE_8,CYCLIN-DEPENDENT KINASE 8,0.10985670864090316,1.0,0.0,-3.053515509327002,enriched_in_worsen,3,0.005
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_4,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 4,0.10985670864090316,1.0,0.0,-3.053515509327002,enriched_in_worsen,3,0.005
rawtok_RHO_ASSOCIATED_PROTEIN_KINASE_2,RHO-ASSOCIATED PROTEIN KINASE 2,0.10985670864090316,1.0,0.0,-3.053515509327002,enriched_in_worsen,3,0.005
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_TYRO3,TYROSINE-PROTEIN KINASE RECEPTOR TYRO3,0.10985670864090316,1.0,0.0,-3.053515509327002,enriched_in_worsen,3,0.005
rawtok_CYCLIN_G_ASSOCIATED_KINASE,CYCLIN-G-ASSOCIATED KINASE,0.18946301925025327,1.0,5.75,2.0715059649756946,enriched_in_improve,6,0.005
rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_2,FIBROBLAST GROWTH FACTOR RECEPTOR 2,0.18946301925025333,1.0,0.20833333333333334,-1.8421203402182809,enriched_in_worsen,5,0.005
rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4A,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4A",0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_ACTIVIN_RECEPTOR_TYPE_1B,ACTIVIN RECEPTOR TYPE-1B,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CAMP_DEPENDENT_PROTEIN_KINASE_CATALYTIC_SUBUNIT_PRKX,CAMP-DEPENDENT PROTEIN KINASE CATALYTIC SUBUNIT PRKX,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CASEIN_KINASE_II_SUBUNIT_ALPHA,CASEIN KINASE II SUBUNIT ALPHA,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CYCLIN_DEPENDENT_KINASE_13,CYCLIN-DEPENDENT KINASE 13,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CYCLIN_DEPENDENT_KINASE_17,CYCLIN-DEPENDENT KINASE 17,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CYCLIN_DEPENDENT_KINASE_19,CYCLIN-DEPENDENT KINASE 19,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CYCLIN_DEPENDENT_KINASE_2,CYCLIN-DEPENDENT KINASE 2,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CYCLIN_DEPENDENT_KINASE_4,CYCLIN-DEPENDENT KINASE 4,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CYCLIN_DEPENDENT_KINASE_6,CYCLIN-DEPENDENT KINASE 6,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CYCLIN_DEPENDENT_KINASE_9,CYCLIN-DEPENDENT KINASE 9,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_EPHRIN_TYPE_A_RECEPTOR_2,EPHRIN TYPE-A RECEPTOR 2,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_EPHRIN_TYPE_A_RECEPTOR_4,EPHRIN TYPE-A RECEPTOR 4,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_EPHRIN_TYPE_A_RECEPTOR_7,EPHRIN TYPE-A RECEPTOR 7,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_EPHRIN_TYPE_B_RECEPTOR_2,EPHRIN TYPE-B RECEPTOR 2,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_GLYCOGEN_SYNTHASE_KINASE_3_ALPHA,GLYCOGEN SYNTHASE KINASE-3 ALPHA,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_12,MITOGEN-ACTIVATED PROTEIN KINASE 12,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_13,MITOGEN-ACTIVATED PROTEIN KINASE 13,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_15,MITOGEN-ACTIVATED PROTEIN KINASE 15,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_MITOSIS,MITOSIS,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_MUSCLE_SKELETAL_RECEPTOR_TYROSINE_PROTEIN_KINASE,"MUSCLE, SKELETAL RECEPTOR TYROSINE-PROTEIN KINASE",0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_NT_3_GROWTH_FACTOR_RECEPTOR,NT-3 GROWTH FACTOR RECEPTOR,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_PAIRED_BOX_PROTEIN_PAX_8,PAIRED BOX PROTEIN PAX-8,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_RIBOSOMAL_PROTEIN_S6_KINASE_ALPHA_1,RIBOSOMAL PROTEIN S6 KINASE ALPHA-1,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_ENDORIBONUCLEASE_IRE2,SERINE/THREONINE-PROTEIN KINASE/ENDORIBONUCLEASE IRE2,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MRCK_ALPHA,SERINE/THREONINE-PROTEIN KINASE MRCK ALPHA,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_MRCK_GAMMA,SERINE/THREONINE-PROTEIN KINASE MRCK GAMMA,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_OSR1,SERINE/THREONINE-PROTEIN KINASE OSR1,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PAK_1,SERINE/THREONINE-PROTEIN KINASE PAK 1,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_PLK1,SERINE/THREONINE-PROTEIN KINASE PLK1,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_SGK3,SERINE/THREONINE-PROTEIN KINASE SGK3,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_TAO1,SERINE/THREONINE-PROTEIN KINASE TAO1,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_TAO2,SERINE/THREONINE-PROTEIN KINASE TAO2,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_SERINE_THREONINE_PROTEIN_KINASE_TAO3,SERINE/THREONINE-PROTEIN KINASE TAO3,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_TGF_BETA_RECEPTOR_TYPE_2,TGF-BETA RECEPTOR TYPE-2,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_TUMOR_NECROSIS_FACTOR,TUMOR NECROSIS FACTOR,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_TYROSINE_PROTEIN_KINASE_SRMS,TYROSINE-PROTEIN KINASE SRMS,0.23469387755102036,1.0,0.0,-2.502500340529183,enriched_in_worsen,2,0.005
rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON,CASEIN KINASE I ISOFORM EPSILON,0.2346938775510204,1.0,inf,2.9302116698431377,enriched_in_improve,3,0.005
rawtok_MELANOCORTIN_RECEPTOR_3,MELANOCORTIN RECEPTOR 3,0.2346938775510204,1.0,inf,2.9302116698431377,enriched_in_improve,3,0.005
