feature,raw_token,n_improve_with_token,n_worsen_with_token,n_drugs_supporting_token,support_rate_total,support_rate_improve,support_rate_worsen,odds_ratio,log2_odds_ratio,effect_direction,pvalue,fdr_bh,minus_log10_p
rawtok_GLYCOGEN_SYNTHASE_KINASE_3_BETA,GLYCOGEN SYNTHASE KINASE-3 BETA,0,3,3,0.08333333333333333,0.0,0.1875,0.0,-3.4100194245122193,enriched_in_worsen,0.07843137254901959,1.0,1.105510184769974
rawtok_CYCLIN_G_ASSOCIATED_KINASE,CYCLIN-G-ASSOCIATED KINASE,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,1.0,0.9463520065762215
rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,1.0,0.9463520065762215
rawtok_EPHRIN_TYPE_B_RECEPTOR_6,EPHRIN TYPE-B RECEPTOR 6,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,1.0,0.9463520065762215
rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2,4,0,4,0.1111111111111111,0.2,0.0,inf,3.169925001442312,enriched_in_improve,0.11314828961887782,1.0,0.9463520065762215
rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4A,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4A",0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957
rawtok_BDNF_NT_3_GROWTH_FACTORS_RECEPTOR,BDNF/NT-3 GROWTH FACTORS RECEPTOR,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957
rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_BETA,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957
rawtok_CYCLIN_DEPENDENT_KINASE_5,CYCLIN-DEPENDENT KINASE 5,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957
rawtok_MITOSIS,MITOSIS,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957
rawtok_PAIRED_BOX_PROTEIN_PAX_8,PAIRED BOX PROTEIN PAX-8,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957
rawtok_RHO_ASSOCIATED_PROTEIN_KINASE_2,RHO-ASSOCIATED PROTEIN KINASE 2,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957
rawtok_TUMOR_NECROSIS_FACTOR,TUMOR NECROSIS FACTOR,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_TYRO3,TYROSINE-PROTEIN KINASE RECEPTOR TYRO3,0,2,2,0.05555555555555555,0.0,0.125,0.0,-2.821499104377874,enriched_in_worsen,0.19047619047619044,1.0,0.720159303405957
rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON,CASEIN KINASE I ISOFORM EPSILON,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006
rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_4,HOMEODOMAIN-INTERACTING PROTEIN KINASE 4,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006
rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_1,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 1,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006
rawtok_MELANOCORTIN_RECEPTOR_3,MELANOCORTIN RECEPTOR 3,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006
rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_UFO,TYROSINE-PROTEIN KINASE RECEPTOR UFO,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006
rawtok_TYROSINE_PROTEIN_KINASE_TXK,TYROSINE-PROTEIN KINASE TXK,3,0,3,0.08333333333333333,0.15,0.0,inf,2.722466024471091,enriched_in_improve,0.23809523809523803,1.0,0.6232492903979006
rawtok_BILE_SALT_EXPORT_PUMP,BILE SALT EXPORT PUMP,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606
rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,MITOGEN-ACTIVATED PROTEIN KINASE 10,4,1,5,0.1388888888888889,0.2,0.0625,3.75,1.494764691749578,enriched_in_improve,0.3548934725405313,1.0,0.44990198843966606
rawtok_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,HEPATOCYTE GROWTH FACTOR RECEPTOR,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357
rawtok_TYROSINE_PROTEIN_KINASE_LCK,TYROSINE-PROTEIN KINASE LCK,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357
rawtok_VOLTAGE_GATED_INWARDLY_RECTIFYING_POTASSIUM_CHANNEL_KCNH2,VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2,5,2,7,0.19444444444444445,0.25,0.125,2.3333333333333335,1.0412882084906319,enriched_in_improve,0.42642746248059327,1.0,0.37015483395399357
rawtok_2_AND_3_INHIBITOR,2 AND 3 INHIBITOR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_ALPHA_2B_ADRENERGIC_RECEPTOR,ALPHA-2B ADRENERGIC RECEPTOR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_APOPTOSIS_REGULATOR_BCL_2,APOPTOSIS REGULATOR BCL-2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_BETA_1_ADRENERGIC_RECEPTOR,BETA-1 ADRENERGIC RECEPTOR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,CASEIN KINASE I ISOFORM DELTA,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_2,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 2,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_EGFR,EGFR,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_EGFR_SIGNALING,EGFR SIGNALING,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
rawtok_ERK_MAPK_SIGNALING,ERK MAPK SIGNALING,2,0,2,0.05555555555555555,0.1,0.0,inf,2.156868848616866,enriched_in_improve,0.492063492063492,1.0,0.3079788556193091
