drug,source,field,token,theme
ERLOTINIB,drug_sample,PUTATIVE_TARGET,EGFR,ERBB_EGFR_FAMILY_RTK
ERLOTINIB,drug_sample,PATHWAY_NAME,EGFR signaling,ERBB_EGFR_FAMILY_RTK
RAPAMYCIN,drug_sample,PATHWAY_NAME,MTOR signaling,PI3K_AKT_MTOR
RAPAMYCIN,drug_sample,PATHWAY_NAME,PI3K,PI3K_AKT_MTOR
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SUNITINIB,drug_sample,PUTATIVE_TARGET,FLT4,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SUNITINIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SUNITINIB,drug_sample,PUTATIVE_TARGET,PDGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SUNITINIB,drug_sample,PUTATIVE_TARGET,RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SUNITINIB,drug_sample,PUTATIVE_TARGET,VEGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SUNITINIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
PHA-665752,drug_sample,PUTATIVE_TARGET,MET,MET_HGF_RTK
PHA-665752,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
MG-132,drug_sample,PUTATIVE_TARGET,Proteasome,PROTEOSTASIS
MG-132,drug_sample,PATHWAY_NAME,Protein stability and degradation,PROTEOSTASIS
PACLITAXEL,drug_sample,PUTATIVE_TARGET,BCL2,APOPTOSIS_BCL2
PACLITAXEL,drug_sample,PATHWAY_NAME,Mitosis,CELL_CYCLE_MITOSIS_KINASE
AZ628,drug_sample,PUTATIVE_TARGET,BRAF,MAP2K_MEK_ERK_RAF_CASCADE
AZ628,drug_sample,PATHWAY_NAME,ERK MAPK signaling,MAP2K_MEK_ERK_RAF_CASCADE
SORAFENIB,drug_sample,PUTATIVE_TARGET,BRAF,MAP2K_MEK_ERK_RAF_CASCADE
SORAFENIB,drug_sample,PUTATIVE_TARGET,FLT1,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SORAFENIB,drug_sample,PUTATIVE_TARGET,FLT3,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SORAFENIB,drug_sample,PUTATIVE_TARGET,FLT4,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SORAFENIB,drug_sample,PUTATIVE_TARGET,KIT,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SORAFENIB,drug_sample,PUTATIVE_TARGET,PDGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SORAFENIB,drug_sample,PUTATIVE_TARGET,RAF,MAP2K_MEK_ERK_RAF_CASCADE
SORAFENIB,drug_sample,PUTATIVE_TARGET,RET,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SORAFENIB,drug_sample,PUTATIVE_TARGET,VEGFR,VEGFR_FGFR_PDGFR_KIT_FLT_RTK
SORAFENIB,drug_sample,PATHWAY_NAME,RTK signaling,RTK_SIGNALING_BROAD
TOZASERTIB,drug_sample,PUTATIVE_TARGET,LCK,SRC_LCK_NONRECEPTOR_TK
TOZASERTIB,drug_sample,PATHWAY_NAME,Mitosis,CELL_CYCLE_MITOSIS_KINASE
