original_drug,query_used,status,selected_cid,all_cids,error
AFATINIB,AFATINIB,ok,10184653,10184653,
AVAGACESTAT,AVAGACESTAT,ok,46883536,46883536,
AXITINIB,AXITINIB,ok,6450551,6450551,
AZD4547,AZD4547,ok,51039095,51039095,
AZD6738,AZD6738,ok,121596701,121596701,
AZD7762,AZD7762,ok,11152667,11152667,
AZD8186,AZD8186,ok,52913813,52913813,
BMS-536924,BMS-536924,ok,135440466,135440466,
BOSUTINIB,BOSUTINIB,ok,5328940,5328940,
CCT007093,CCT007093,ok,2314623,2314623,
DACTOLISIB,DACTOLISIB,ok,11977753,11977753,
DOCETAXEL,DOCETAXEL,ok,148124,148124,
DORAMAPIMOD,DORAMAPIMOD,ok,156422,156422,
EHT-1864,EHT-1864,ok,9938202,9938202,
FULVESTRANT,FULVESTRANT,ok,104741,104741,
GEFITINIB,GEFITINIB,ok,123631,123631,
GEMCITABINE,GEMCITABINE,ok,60750,60750,
GW441756,GW441756,ok,73755109,73755109,
JQ1,JQ1,ok,46907787,46907787,
KU-55933,KU-55933,ok,5278396,5278396,
LENALIDOMIDE,LENALIDOMIDE,ok,216326,216326,
LESTAURTINIB,LESTAURTINIB,ok,126565,126565,
METHOTREXATE,METHOTREXATE,ok,126941,126941,
MIRIN,MIRIN,ok,1206243,1206243,
MK-2206,MK-2206,ok,24964624,24964624,
MOTESANIB,MOTESANIB,ok,11667893,11667893,
NAVITOCLAX,NAVITOCLAX,ok,24978538,24978538,
NU7441,NU7441,ok,11327430,11327430,
NUTLIN-3A (-),Nutlin-3a,ok,11433190,11433190,
OLAPARIB,OLAPARIB,ok,23725625,23725625,
PALBOCICLIB,PALBOCICLIB,ok,5330286,5330286,
PD0325901,PD0325901,ok,9826528,9826528,
PD173074,PD173074,ok,1401,1401,
PEVONEDISTAT,PEVONEDISTAT,ok,16720766,16720766,
PFI-1,PFI-1,ok,71271629,71271629,
PICTILISIB,PICTILISIB,ok,17755052,17755052,
PLX-4720,PLX-4720,ok,24180719,24180719,
REFAMETINIB,REFAMETINIB,ok,44182295,44182295,
RO-3306,RO-3306,ok,136240579,136240579,
RUCAPARIB,RUCAPARIB,ok,9931954,9931954,
SB216763,SB216763,ok,176158,176158,
SB590885,SB590885,ok,135564599,135564599,
SELUMETINIB,SELUMETINIB,ok,10127622,10127622,
SERDEMETAN,SERDEMETAN,ok,11609586,11609586,
SGC0946,SGC0946,ok,56962337,56962337,
SN-38,SN-38,ok,104842,104842,
TALAZOPARIB,TALAZOPARIB,ok,135565082,135565082,
TAMOXIFEN,TAMOXIFEN,ok,2733526,2733526,
TANESPIMYCIN,TANESPIMYCIN,ok,6505803,6505803,
TEMOZOLOMIDE,TEMOZOLOMIDE,ok,5394,5394,
TRAMETINIB,TRAMETINIB,ok,11707110,11707110,
VELIPARIB,VELIPARIB,ok,11960529,11960529,
VISMODEGIB,VISMODEGIB,ok,24776445,24776445,
VORINOSTAT,VORINOSTAT,ok,5311,5311,
WEE1 INHIBITOR,Wee1 inhibitor II,ok,10319891,10319891,
YK-4-279,YK-4-279,ok,44632017,44632017,
ZM447439,ZM447439,ok,9914412,9914412,
