source,native,name,p_value,significant,term_size,query_size,intersection_size,intersection_genes
GO:BP,GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,0.0426084931599196,True,27,313,26,
REAC,REAC:R-HSA-373076,Class A/1 (Rhodopsin-like receptors),0.14035497653372514,False,47,313,40,
GO:MF,GO:0004888,transmembrane signaling receptor activity,0.21938091726866,False,116,313,84,
GO:MF,GO:0004930,G protein-coupled receptor activity,0.4565748633254774,False,54,313,44,
GO:CC,GO:0005886,plasma membrane,0.5170849153841337,False,284,313,179,"IDA,IEA"
KEGG,KEGG:04080,Neuroactive ligand-receptor interaction,0.7226322803955438,False,50,313,41,
GO:CC,GO:0071944,cell periphery,0.7731973801236504,False,285,313,179,"IDA,IEA"
KEGG,KEGG:04020,Calcium signaling pathway,0.9985613712931988,False,64,313,50,
GO:MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,1.0,False,25,313,12,
GO:MF,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,1.0,False,26,313,12,
GO:MF,GO:0000976,transcription cis-regulatory region binding,1.0,False,34,313,16,
GO:MF,GO:0000405,bubble DNA binding,1.0,False,2,313,1,
GO:MF,GO:0000400,four-way junction DNA binding,1.0,False,2,313,1,
GO:MF,GO:0000287,magnesium ion binding,1.0,False,55,313,21,
GO:MF,GO:0000166,nucleotide binding,1.0,False,417,313,218,IEA
GO:MF,GO:0000217,DNA secondary structure binding,1.0,False,3,313,1,
GO:MF,GO:0000182,rDNA binding,1.0,False,1,313,1,
GO:MF,GO:0000979,RNA polymerase II core promoter sequence-specific DNA binding,1.0,False,3,313,1,
GO:MF,GO:0000149,SNARE binding,1.0,False,4,313,4,
GO:MF,GO:0001156,TFIIIC-class transcription factor complex binding,1.0,False,1,313,1,
GO:MF,GO:0000247,C-8 sterol isomerase activity,1.0,False,1,313,1,
GO:MF,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",1.0,False,18,313,10,
GO:MF,GO:0001002,RNA polymerase III type 1 promoter sequence-specific DNA binding,1.0,False,1,313,1,
GO:MF,GO:0000992,RNA polymerase III cis-regulatory region sequence-specific DNA binding,1.0,False,1,313,1,
