drug,molecule_chembl_id,mechanism_of_action,action_type,direct_interaction,disease_efficacy,molecular_mechanism,selectivity_comment,target_chembl_id,record_id,mechanism_refs
AVAGACESTAT,CHEMBL1090771,Gamma-secretase inhibitor,INHIBITOR,1,1,1,,CHEMBL2094135,1705246,"[{""ref_id"": ""22381714"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/22381714""}]"
AXITINIB,CHEMBL1289926,Vascular endothelial growth factor receptor inhibitor,INHIBITOR,1,1,1,,CHEMBL2095227,1583657,"[{""ref_id"": ""setid=84137882-e000-47da-bd5b-fa76ab3c76f9#section-12"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=84137882-e000-47da-bd5b-fa76ab3c76f9#section-12""}]"
AZD6738,CHEMBL4285417,Serine-protein kinase ATR inhibitor,INHIBITOR,1,1,1,,CHEMBL5024,2473190,"[{""ref_id"": ""26517239"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/26517239""}]"
AZD7762,CHEMBL2041933,Serine/threonine-protein kinase Chk1 inhibitor,INHIBITOR,1,1,1,,CHEMBL4630,2473761,"[{""ref_id"": ""http://openinnovation.astrazeneca.com/what-we-offer/compound/azd7762/"", ""ref_type"": ""Other"", ""ref_url"": ""http://openinnovation.astrazeneca.com/what-we-offer/compound/azd7762/""}, {""ref_id"": ""18790776"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/18790776""}, {""ref_id"": ""19568282"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/19568282""}]"
AZD8186,CHEMBL3408248,PI3-kinase p110-beta subunit inhibitor,INHIBITOR,1,1,1,,CHEMBL3145,2473762,"[{""ref_id"": ""25514658"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/25514658""}]"
AZD8186,CHEMBL3408248,PI3-kinase p110-delta subunit inhibitor,INHIBITOR,1,1,1,,CHEMBL3130,2473762,"[{""ref_id"": ""25514658"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/25514658""}]"
BOSUTINIB,CHEMBL288441,Tyrosine-protein kinase ABL inhibitor,INHIBITOR,1,1,1,,CHEMBL1862,1698992,"[{""ref_id"": ""BOSUTINIB"", ""ref_type"": ""Expert"", ""ref_url"": ""http://chembl.blogspot.co.uk/search?q=BOSUTINIB""}]"
BOSUTINIB,CHEMBL288441,Tyrosine-protein kinase SRC inhibitor,INHIBITOR,1,1,1,,CHEMBL267,1698992,"[{""ref_id"": ""BOSUTINIB"", ""ref_type"": ""Expert"", ""ref_url"": ""http://chembl.blogspot.co.uk/search?q=BOSUTINIB""}]"
BOSUTINIB,CHEMBL288441,Tyrosine-protein kinase HCK inhibitor,INHIBITOR,1,1,1,,CHEMBL3234,1698992,"[{""ref_id"": ""BOSUTINIB"", ""ref_type"": ""Expert"", ""ref_url"": ""http://chembl.blogspot.co.uk/search?q=BOSUTINIB""}]"
BOSUTINIB,CHEMBL288441,Tyrosine-protein kinase Lyn inhibitor,INHIBITOR,1,1,1,,CHEMBL3905,1698992,"[{""ref_id"": ""BOSUTINIB"", ""ref_type"": ""Expert"", ""ref_url"": ""http://chembl.blogspot.co.uk/search?q=BOSUTINIB""}]"
DACTOLISIB,CHEMBL1879463,Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,1,1,1,,CHEMBL2842,1937964,"[{""ref_id"": ""18606717"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/18606717""}, {""ref_id"": ""24591840"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/24591840""}]"
DACTOLISIB,CHEMBL1879463,PI3-kinase class I inhibitor,INHIBITOR,1,1,1,,CHEMBL3559703,1937964,"[{""ref_id"": ""18606717"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/18606717""}, {""ref_id"": ""24591840"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/24591840""}]"
DOCETAXEL,CHEMBL3545252,Tubulin inhibitor,INHIBITOR,1,1,1,,CHEMBL2095182,1344343,"[{""ref_id"": ""label/2014/201195s006lbl.pdf"", ""ref_type"": ""FDA"", ""ref_url"": ""http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/201195s006lbl.pdf""}, {""ref_id"": ""Microtubule"", ""ref_type"": ""Wikipedia"", ""ref_url"": ""http://en.wikipedia.org/wiki/Microtubule""}]"
DORAMAPIMOD,CHEMBL103667,MAP kinase p38 alpha inhibitor,INHIBITOR,1,1,1,,CHEMBL260,1700607,"[{""ref_id"": ""11896401"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/11896401""}, {""ref_id"": ""14561087"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/14561087""}]"
FULVESTRANT,CHEMBL1358,Estrogen receptor alpha antagonist,ANTAGONIST,1,1,1,,CHEMBL206,1344020,"[{""ref_id"": ""setid=83d7a440-e904-4e36-afb5-cb02b1c919f7#section-12"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=83d7a440-e904-4e36-afb5-cb02b1c919f7#section-12""}]"
FULVESTRANT,CHEMBL1358,Estrogen receptor degrader,DEGRADER,1,1,1,,CHEMBL206,1344020,"[{""ref_id"": ""32968620"", ""ref_type"": ""PubMed"", ""ref_url"": ""https://pubmed.ncbi.nlm.nih.gov/32968620/""}, {""ref_id"": ""34452998"", ""ref_type"": ""PubMed"", ""ref_url"": ""https://pubmed.ncbi.nlm.nih.gov/34452998/""}]"
GEFITINIB,CHEMBL939,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,1,1,1,,CHEMBL203,1344994,"[{""ref_id"": ""setid=827d60e8-7e07-41b7-c28b-49ef1c4a5a41"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=827d60e8-7e07-41b7-c28b-49ef1c4a5a41""}]"
LENALIDOMIDE,CHEMBL848,CRL4(CRBN) E3 ubiquitin ligase inhibitor,INHIBITOR,1,1,1,,CHEMBL3833061,1343323,"[{""ref_id"": ""22552008"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/22552008""}, {""ref_id"": ""25043012"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/25043012""}]"
LESTAURTINIB,CHEMBL603469,Tyrosine-protein kinase receptor FLT3 inhibitor,INHIBITOR,1,1,1,,CHEMBL1974,1706061,"[{""ref_id"": ""12010785"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/12010785""}]"
