drug,query_used,molecule_chembl_id,pref_name_search_result,match_score,queries_tried,n_candidates_seen
AFATINIB,AFATINIB,CHEMBL1173655,AFATINIB,360,AFATINIB,5
AVAGACESTAT,AVAGACESTAT,CHEMBL1090771,AVAGACESTAT,360,AVAGACESTAT,1
AXITINIB,AXITINIB,CHEMBL1289926,AXITINIB,360,AXITINIB,2
AZD4547,AZD4547,CHEMBL3184679,AZD-4547,200,AZD4547 | AZD 4547,2
AZD6738,AZD6738,CHEMBL4285417,CERALASERTIB,160,AZD6738 | AZD 6738,23
AZD7762,AZD7762,CHEMBL2041933,AZD-7762,360,AZD7762 | AZD 7762,1
AZD8186,AZD8186,CHEMBL3408248,AZD-8186,360,AZD8186 | AZD 8186,1
BMS-536924,BMS-536924,CHEMBL401930,,100,BMS-536924 | BMS 536924,20
BOSUTINIB,BOSUTINIB,CHEMBL288441,BOSUTINIB,360,BOSUTINIB,4
CCT007093,CCT007093,CHEMBL255342,,100,CCT007093 | CCT 007093,21
DACTOLISIB,DACTOLISIB,CHEMBL1879463,DACTOLISIB,360,DACTOLISIB,3
DOCETAXEL,DOCETAXEL,CHEMBL3545252,DOCETAXEL,360,DOCETAXEL,20
DORAMAPIMOD,DORAMAPIMOD,CHEMBL103667,DORAMAPIMOD,360,DORAMAPIMOD,1
EHT-1864,EHT-1864,CHEMBL3216441,,100,EHT-1864 | EHT 1864,17
FULVESTRANT,FULVESTRANT,CHEMBL1358,FULVESTRANT,360,FULVESTRANT,5
GEFITINIB,GEFITINIB,CHEMBL939,GEFITINIB,360,GEFITINIB,3
GEMCITABINE,GEMCITABINE,CHEMBL888,GEMCITABINE,360,GEMCITABINE,20
GW441756,GW441756,CHEMBL5308477,,100,GW441756 | GW 441756,20
JQ1,JQ1,CHEMBL3220211,,100,JQ1 | JQ1 compound,26
KU-55933,KU-55933,CHEMBL222102,KU-55933,200,KU-55933 | KU 55933,19
LENALIDOMIDE,LENALIDOMIDE,CHEMBL848,LENALIDOMIDE,360,LENALIDOMIDE,2
LESTAURTINIB,LESTAURTINIB,CHEMBL603469,LESTAURTINIB,360,LESTAURTINIB,2
METHOTREXATE,METHOTREXATE,CHEMBL34259,METHOTREXATE,360,METHOTREXATE,20
MIRIN,MIRIN,CHEMBL570841,MIRIN,200,MIRIN,2
MK-2206,MK-2206,CHEMBL1079175,MK-2206,360,MK-2206 | MK 2206,20
MOTESANIB,MOTESANIB,CHEMBL572881,MOTESANIB,360,MOTESANIB,2
NAVITOCLAX,NAVITOCLAX,CHEMBL443684,NAVITOCLAX,360,NAVITOCLAX,2
NU7441,NU7441,CHEMBL5287725,,100,NU7441 | NU 7441,21
NUTLIN-3A (-),Nutlin-3a,CHEMBL191334,NUTLIN-3,120,Nutlin-3a | Nutlin 3a | NUTLIN-3A (-),24
OLAPARIB,OLAPARIB,CHEMBL521686,OLAPARIB,360,OLAPARIB,2
PALBOCICLIB,PALBOCICLIB,CHEMBL189963,PALBOCICLIB,360,PALBOCICLIB,3
PD0325901,PD0325901,CHEMBL507361,MIRDAMETINIB,160,PD0325901 | PD 0325901,21
PD173074,PD173074,CHEMBL189584,PD-173074,200,PD173074 | PD 173074,1
PEVONEDISTAT,PEVONEDISTAT,CHEMBL1231160,PEVONEDISTAT,360,PEVONEDISTAT,2
PFI-1,PFI-1,CHEMBL4789678,,100,PFI-1 | PFI 1,24
PICTILISIB,PICTILISIB,CHEMBL521851,PICTILISIB,360,PICTILISIB,4
PLX-4720,PLX-4720,CHEMBL1230020,PLX-4720,200,PLX-4720 | PLX 4720,18
REFAMETINIB,REFAMETINIB,CHEMBL1236682,REFAMETINIB,360,REFAMETINIB,1
RO-3306,RO-3306,CHEMBL5305651,,100,RO-3306 | RO 3306,20
RUCAPARIB,RUCAPARIB,CHEMBL1173055,RUCAPARIB,360,RUCAPARIB,3
SB216763,SB216763,CHEMBL102714,SB-216763,200,SB216763 | SB 216763,1
SB590885,SB590885,CHEMBL477989,SB590885,200,SB590885 | SB 590885,3
SELUMETINIB,SELUMETINIB,CHEMBL1614701,SELUMETINIB,360,SELUMETINIB,3
SERDEMETAN,SERDEMETAN,CHEMBL2137530,SERDEMETAN,360,SERDEMETAN,1
SGC0946,SGC0946,CHEMBL5715246,,100,SGC0946 | SGC 0946,23
SN-38,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,7-ETHYL-10-HYDROXYCAMPTOTHECIN,360,SN-38 | 7-Ethyl-10-hydroxycamptothecin,40
TALAZOPARIB,TALAZOPARIB,CHEMBL3137320,TALAZOPARIB,360,TALAZOPARIB,4
TAMOXIFEN,TAMOXIFEN,CHEMBL83,TAMOXIFEN,360,TAMOXIFEN,20
TANESPIMYCIN,TANESPIMYCIN,CHEMBL109480,TANESPIMYCIN,360,TANESPIMYCIN,2
TEMOZOLOMIDE,TEMOZOLOMIDE,CHEMBL810,TEMOZOLOMIDE,360,TEMOZOLOMIDE,6
TRAMETINIB,TRAMETINIB,CHEMBL2103875,TRAMETINIB,360,TRAMETINIB,3
VELIPARIB,VELIPARIB,CHEMBL506871,VELIPARIB,360,VELIPARIB,3
VISMODEGIB,VISMODEGIB,CHEMBL473417,VISMODEGIB,360,VISMODEGIB,4
VORINOSTAT,VORINOSTAT,CHEMBL98,VORINOSTAT,360,VORINOSTAT,2
WEE1 INHIBITOR,Wee1 inhibitor II,CHEMBL5724727,,100,Wee1 inhibitor II | WEE1 INHIBITOR,23
YK-4-279,YK-4-279,CHEMBL2011500,,100,YK-4-279 | YK 4 279,20
ZM447439,ZM447439,CHEMBL202721,,100,ZM447439,1
