drug,query_used,molecule_chembl_id,pref_name,molecule_type,max_phase,oral,parenteral,topical,black_box_warning,availability_type,first_approval,indication_class,helm_notation,canonical_smiles,standard_inchi,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,heavy_atoms,num_ro5_violations,qed_weighted
AFATINIB,AFATINIB,CHEMBL1173655,AFATINIB,Small molecule,4.0,True,False,False,0,1.0,2013.0,,,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,485.95,4.39,88.61,7,2,8,3,34,0,0.46
AVAGACESTAT,AVAGACESTAT,CHEMBL1090771,AVAGACESTAT,Small molecule,2.0,False,False,False,0,,,,,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(-c2ncon2)cc1F)S(=O)(=O)c1ccc(Cl)cc1,"InChI=1S/C20H17ClF4N4O4S/c21-14-3-5-15(6-4-14)34(31,32)29(17(18(26)30)7-8-20(23,24)25)10-13-2-1-12(9-16(13)22)19-27-11-33-28-19/h1-6,9,11,17H,7-8,10H2,(H2,26,30)/t17-/m1/s1",XEAOPVUAMONVLA-QGZVFWFLSA-N,520.89,3.92,119.39,6,1,9,3,34,1,0.43
AXITINIB,AXITINIB,CHEMBL1289926,AXITINIB,Small molecule,4.0,True,False,False,0,1.0,2012.0,,,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,"InChI=1S/C22H18N4OS/c1-23-22(27)18-7-2-3-8-21(18)28-16-10-11-17-19(25-26-20(17)14-16)12-9-15-6-4-5-13-24-15/h2-14H,1H3,(H,23,27)(H,25,26)/b12-9+",RITAVMQDGBJQJZ-FMIVXFBMSA-N,386.48,4.64,70.67,4,2,5,4,28,0,0.52
AZD4547,AZD4547,CHEMBL3184679,AZD-4547,Small molecule,,False,False,False,0,-1.0,,,,COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1,"InChI=1S/C26H33N5O3/c1-17-15-31(16-18(2)27-17)22-9-6-20(7-10-22)26(32)28-25-13-21(29-30-25)8-5-19-11-23(33-3)14-24(12-19)34-4/h6-7,9-14,17-18,27H,5,8,15-16H2,1-4H3,(H2,28,29,30,32)",VRQMAABPASPXMW-UHFFFAOYSA-N,463.58,3.65,91.51,6,3,8,3,34,0,0.47
AZD6738,AZD6738,CHEMBL4285417,CERALASERTIB,Small molecule,3.0,False,False,False,0,,,,,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cc[nH]c3nccc2-3)n1,"InChI=1S/C20H24N6O2S/c1-13-12-28-10-9-26(13)17-11-16(20(5-6-20)29(2,21)27)24-19(25-17)15-4-8-23-18-14(15)3-7-22-18/h3-4,7-8,11,13,21H,5-6,9-10,12H2,1-2H3,(H,22,23)/t13-,29-/m1/s1",OHUHVTCQTUDPIJ-JYCIKRDWSA-N,412.52,2.86,107.85,7,2,4,1,29,0,0.68
AZD7762,AZD7762,CHEMBL2041933,AZD-7762,Small molecule,1.0,False,False,False,0,,,,,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1,"InChI=1S/C17H19FN4O2S/c18-11-4-1-3-10(7-11)14-8-13(22-17(19)24)15(25-14)16(23)21-12-5-2-6-20-9-12/h1,3-4,7-8,12,20H,2,5-6,9H2,(H,21,23)(H3,19,22,24)/t12-/m0/s1",IAYGCINLNONXHY-LBPRGKRZSA-N,362.43,2.53,96.25,4,4,4,2,25,0,0.67
AZD8186,AZD8186,CHEMBL3408248,AZD-8186,Small molecule,1.0,False,False,False,0,,,,,C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,"InChI=1S/C24H25F2N3O4/c1-14(27-18-11-16(25)10-17(26)12-18)19-8-15(24(31)28(2)3)9-20-21(30)13-22(33-23(19)20)29-4-6-32-7-5-29/h8-14,27H,4-7H2,1-3H3/t14-/m1/s1",LMJFJIDLEAWOQJ-CQSZACIVSA-N,457.48,3.78,75.02,6,1,5,3,33,0,0.63
BMS-536924,BMS-536924,CHEMBL401930,,Small molecule,,False,False,False,0,-1.0,,,,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,"InChI=1S/C25H26ClN5O3/c1-15-11-18(31-7-9-34-10-8-31)13-20-23(15)30-24(29-20)22-19(5-6-27-25(22)33)28-14-21(32)16-3-2-4-17(26)12-16/h2-6,11-13,21,32H,7-10,14H2,1H3,(H,29,30)(H2,27,28,33)/t21-/m1/s1",ZWVZORIKUNOTCS-OAQYLSRUSA-N,479.97,3.86,106.27,6,4,6,4,34,0,0.33
BOSUTINIB,BOSUTINIB,CHEMBL288441,BOSUTINIB,Small molecule,4.0,True,False,False,0,1.0,2012.0,,,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,"InChI=1S/C26H29Cl2N5O3/c1-32-6-8-33(9-7-32)5-4-10-36-25-13-21-18(11-24(25)35-3)26(17(15-29)16-30-21)31-22-14-23(34-2)20(28)12-19(22)27/h11-14,16H,4-10H2,1-3H3,(H,30,31)",UBPYILGKFZZVDX-UHFFFAOYSA-N,530.46,5.19,82.88,8,1,9,3,36,2,0.38
CCT007093,CCT007093,CHEMBL255342,,Small molecule,,False,False,False,0,-1.0,,,,O=C1/C(=C/c2cccs2)CC/C1=C\c1cccs1,"InChI=1S/C15H12OS2/c16-15-11(9-13-3-1-7-17-13)5-6-12(15)10-14-4-2-8-18-14/h1-4,7-10H,5-6H2/b11-9+,12-10+",KPFZCKDPBMGECB-WGDLNXRISA-N,272.39,4.64,17.07,3,0,2,2,18,0,0.73
