drug,target_chembl_id,target_type,pref_name,organism,tax_id,accessions,component_ids,component_descriptions
AFATINIB,CHEMBL1075167,SINGLE PROTEIN,Homeodomain-interacting protein kinase 4,Homo sapiens,9606,Q8NE63,4249,
AFATINIB,CHEMBL1075382,CELL-LINE,23132-87,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075383,CELL-LINE,639-V,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075384,CELL-LINE,647-V,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075385,CELL-LINE,769-P,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075386,CELL-LINE,8305C,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075387,CELL-LINE,8505C,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075391,CELL-LINE,ABC-1,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075392,CELL-LINE,AN3-CA,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075393,CELL-LINE,AU565,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075394,CELL-LINE,BCPAP,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075395,CELL-LINE,BEN,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075396,CELL-LINE,BFTC-905,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075397,CELL-LINE,BFTC-909,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075398,CELL-LINE,BHT-101,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075399,CELL-LINE,BHY,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075401,CELL-LINE,C32,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075402,CELL-LINE,C3A,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075403,CELL-LINE,Ca-Ski,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075404,CELL-LINE,Ca9-22,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075405,CELL-LINE,CAL-120,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075406,CELL-LINE,CAL-12T,Homo sapiens,9606,,,
AFATINIB,CHEMBL1075408,CELL-LINE,CAL-27,Homo sapiens,9606,,,
