Unnamed: 0,ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage,StrippedName,CCLENameStripped
697,ACH-000070,PT-0yrZJC,697,697,12.0,Commercial,SIDM01076,CVCL_0079,BLL,Pediatric,Suspension,,Primary,bone_marrow,Male,DSMZ,b_cell,ACC 42,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906800.0,,63.0,,,MF-001-001,,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,697,697
A3KAW,ACH-000697,PT-T19rUu,A3/KAW,A3KAW,68.0,Commercial,SIDM00495,CVCL_1062,DLBCLNOS,Adult,Suspension,,Primary,ascites,Female,HSRRB,DLBCL,JCRB0101,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910935.0,,1511.0,,,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,A3/KAW,A3KAW
A4FUK,ACH-000157,PT-jcPkpq,A4/Fuk,A4FUK,52.0,Commercial,SIDM00502,CVCL_1064,DLBCLNOS,Adult,Suspension,,Primary,ascites,Female,JCRB,DLBCL,JCRB0097,A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910934.0,,186.0,,,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,A4/FUK,A4FUK
A549,ACH-000681,PT-cqv92I,A549,A549,58.0,Commercial,SIDM00903,CVCL_0023,LUAD,Adult,Adherent,,Primary,lung,Male,ATCC,NSCLC_adenocarcinoma,CCL-185,A549_LUNG,905949.0,,369.0,,,MF-002-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,A549,A549
ABC1,ACH-000528,PT-id2eBb,ABC-1,ABC1,47.0,Commercial,SIDM00494,CVCL_1066,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Male,HSRRB,NSCLC_adenocarcinoma,JCRB0815,ABC1_LUNG,906791.0,,1557.0,,,MF-006-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,ABC1,ABC1
ALLSIL,ACH-000105,PT-MYSpL6,ALL-SIL,ALLSIL,17.0,Commercial,SIDM00994,CVCL_1805,TLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,t_cell,ACC 511,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1295740.0,,2263.0,,,MF-001-001,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,ALLSIL,ALLSIL
AMO1,ACH-000838,PT-CmSm57,AMO-1,AMO1,64.0,Commercial,SIDM00993,CVCL_1806,PCM,Adult,Suspension,,Primary,ascites,Female,DSMZ,plasmacytoma,ACC 538,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1295741.0,,1204.0,,,MF-001-001,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,AMO1,AMO1
BEN,ACH-000603,PT-BPHtVG,BEN,BEN,71.0,Commercial,SIDM00990,CVCL_1082,NSCLC,Adult,Adherent,,Metastatic,lymph_node,Male,DSMZ,,ACC 254,BEN_LUNG,753534.0,,971.0,,,,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,BEN,BEN
BL41,ACH-000245,PT-IrNAYx,BL-41,BL41,8.0,Commercial,SIDM00985,CVCL_1087,BL,Pediatric,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,DSMZ,b_cell_burkitt,,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910706.0,,737.0,,,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,BL41,BL41
BV173,ACH-000432,PT-6P3A35,BV-173,BV173,45.0,Commercial,SIDM00962,CVCL_0181,CML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,blast_crisis,ACC 20,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910710.0,,321.0,,,MF-001-021,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid,BV173,BV173
CA46,ACH-000440,PT-1BkfPG,CA46,CA46,,Commercial,SIDM00907,CVCL_1101,BL,Unknown,Suspension,,Primary,ascites,Male,ATCC,b_cell_burkitt,CRL-1648,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910703.0,,1190.0,,Unknown,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,CA46,CA46
CAL12T,ACH-000826,PT-nAjtb0,CAL-12T,CAL12T,,Commercial,SIDM00939,CVCL_1105,NSCLC,Unknown,Adherent,,Primary,lung,Male,DSMZ,,ACC 443,CAL12T_LUNG,753540.0,,2252.0,,,MF-002-001,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,CAL12T,CAL12T
CALU3,ACH-000392,PT-v3MIz8,Calu-3,CALU3,25.0,Commercial,SIDM00922,CVCL_0609,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenocarcinoma,HTB-55,CALU3_LUNG,687777.0,,219.0,,,MF-006-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,CALU3,CALU3
CALU6,ACH-000264,PT-T9nCW5,Calu-6,CALU6,61.0,Commercial,SIDM00921,CVCL_0236,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Female,ATCC,,HTB-56,CALU6_LUNG,724859.0,,1844.0,,,MF-006-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,CALU6,CALU6
CHAGOK1,ACH-000867,PT-3nyeTa,ChaGo-K-1,CHAGOK1,45.0,Commercial,SIDM00924,CVCL_1121,NSCLC,Adult,Adherent,,Metastatic,lung,Male,ECACC,,96020948,CHAGOK1_LUNG,687596.0,,1605.0,,,MF-001-001,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,CHAGOK1,CHAGOK1
CMK,ACH-000641,PT-XYdNvp,CMK,CMK,0.0,Commercial,SIDM00959,CVCL_0216,MLADS,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,M7,,CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910566.0,,734.0,,,MF-001-020,,MLADS,Myeloid Leukemia Associated with Down Syndrome,Acute Myeloid Leukemia,Myeloid,CMK,CMK
CMLT1,ACH-000920,PT-9UeFHL,CML-T1,CMLT1,36.0,Commercial,SIDM00958,CVCL_1126,CML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,blast_crisis,7,CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910951.0,,160.0,,,MF-001-001,,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid,CMLT1,CMLT1
COLO668,ACH-000803,PT-dQkCfQ,COLO 668,COLO668,47.0,Commercial,SIDM00143,CVCL_1128,SCLC,Adult,Suspension,,Metastatic,central_nervous_system,Female,ECACC,,87061209,COLO668_LUNG,910692.0,,1072.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,COLO668,COLO668
CORL105,ACH-000161,PT-G4xjbZ,COR-L105,CORL105,,Commercial,SIDM00513,CVCL_1138,LUAD,Unknown,Adherent,,Metastatic,pleural_effusion,Male,ECACC,NSCLC_adenocarcinoma,92031918,CORL105_LUNG,906805.0,,22.0,,,MF-001-018,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,CORL105,CORL105
CORL23,ACH-000662,PT-S1tr6I,COR-L23,CORL23,62.0,Commercial,SIDM00512,CVCL_1139,LCLC,Adult,Adherent,,Metastatic,pleural_effusion,Male,ECACC,NSCLC_large_cell,92031919,CORL23_LUNG,687780.0,,1313.0,,,MF-001-003,,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung,CORL23,CORL23
CORL279,ACH-000257,PT-7LsK3v,COR-L279,CORL279,63.0,Commercial,SIDM00511,CVCL_1140,SCLC,Adult,Mixed,,Metastatic,lymph_node,Male,ECACC,,96020724,CORL279_LUNG,910937.0,,1768.0,,,MF-001-003,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,CORL279,CORL279
CORL311,ACH-000187,PT-bfVDxm,COR-L311,CORL311,63.0,Commercial,SIDM00509,CVCL_2412,SCLC,Adult,Suspension,,Primary,lung,Male,ECACC,,,CORL311_LUNG,687980.0,,1167.0,,,MF-001-003,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,CORL311,CORL311
CORL88,ACH-000508,PT-YUXlCn,COR-L88,CORL88,55.0,Commercial,SIDM00506,CVCL_1141,SCLC,Adult,Mixed,,Metastatic,pleural_effusion,Male,ECACC,,92031917,CORL88_LUNG,906808.0,,774.0,,,MF-001-003,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,CORL88,CORL88
CORL95,ACH-000743,PT-WpdjRA,COR-L95,CORL95,64.0,Commercial,SIDM00521,CVCL_2418,SCLC,Adult,Suspension,,Primary,lung,Male,ECACC,,,CORL95_LUNG,1297439.0,,1769.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,CORL95,CORL95
DAUDI,ACH-000786,PT-ieeLlY,Daudi,DAUDI,16.0,Commercial,SIDM00845,CVCL_0008,BL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,ATCC,b_cell_burkitt,CCL-213,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906831.0,,1783.0,,Unknown,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,DAUDI,DAUDI
DB,ACH-000334,PT-mgfMcU,DB,DB,45.0,Commercial,SIDM00886,CVCL_1168,DLBCLNOS,Adult,Suspension,,Metastatic,ascites,Male,ATCC,DLBCL,CRL-2289,DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906832.0,,1185.0,,,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,DB,DB
DMS114,ACH-000530,PT-Dxq8HG,DMS 114,DMS114,68.0,Commercial,SIDM00865,CVCL_1174,SCLC,Adult,Adherent,,Primary,lung,Male,ATCC,,CRL-2066,DMS114_LUNG,687983.0,,1495.0,,,MF-020-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,DMS114,DMS114
DMS273,ACH-000749,PT-d1NyBL,DMS 273,DMS273,50.0,Commercial,SIDM00522,CVCL_1176,SCLC,Adult,Adherent,,Metastatic,pleural_effusion,Female,ECACC,,95062830,DMS273_LUNG,687985.0,,1862.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,DMS273,DMS273
DMS53,ACH-000698,PT-ERlBcq,DMS 53,DMS53,54.0,Commercial,SIDM00523,CVCL_1177,SCLC,Adult,Adherent,,Primary,lung,Male,ATCC,,CRL-2062,DMS53_LUNG,907295.0,,580.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,DMS53,DMS53
DMS79,ACH-000703,PT-BeO6a2,DMS 79,DMS79,65.0,Commercial,SIDM00524,CVCL_1178,SCLC,Adult,Suspension,,Metastatic,pleural_effusion,Male,ATCC,,CRL-2049,DMS79_LUNG,753551.0,,300.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,DMS79,DMS79
DND41,ACH-000981,PT-zhUnhJ,DND-41,DND41,13.0,Commercial,SIDM00946,CVCL_2022,TLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,525,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1297446.0,,1035.0,,,MF-001-020,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,DND41,DND41
DOHH2,ACH-000056,PT-QeK3sM,DOHH-2,DOHH2,60.0,Commercial,SIDM00981,CVCL_1179,DLBCLNOS,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,DLBCL,ACC 47,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906842.0,,1339.0,,,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,DOHH2,DOHH2
EBC1,ACH-000563,PT-YTpbR2,EBC-1,EBC1,69.0,Commercial,SIDM00486,CVCL_2891,LUSC,Adult,Adherent,,Metastatic,skin,Male,RIKEN,NSCLC_squamous,RCB1965,EBC1_LUNG,753554.0,,1665.0,,,MF-006-001,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung,EBC1,EBC1
