expression_name,target_name,standardized
NCIH524_LUNG,NCIH524,NCIH524
NCIH209_LUNG,NCIH209,NCIH209
SBC5_LUNG,SBC5,SBC5
NCIH196_LUNG,NCIH196,NCIH196
NCIH211_LUNG,NCIH211,NCIH211
NCIH2171_LUNG,NCIH2171,NCIH2171
LOUNH91_LUNG,LOUNH91,LOUNH91
NCIH441_LUNG,NCIH441,NCIH441
NCIH2030_LUNG,NCIH2030,NCIH2030
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS12BM,KMS12BM
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HL60,HL60
NCIH2122_LUNG,NCIH2122,NCIH2122
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MM1S,MM1S
A549_LUNG,A549,A549
NCIH1975_LUNG,NCIH1975,NCIH1975
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RS411,RS411
NCIH2228_LUNG,NCIH2228,NCIH2228
SKMES1_LUNG,SKMES1,SKMES1
NCIH1963_LUNG,NCIH1963,NCIH1963
HCC15_LUNG,HCC15,HCC15
CALU6_LUNG,CALU6,CALU6
SKLU1_LUNG,SKLU1,SKLU1
NCIH810_LUNG,NCIH810,NCIH810
RERFLCMS_LUNG,RERFLCMS,RERFLCMS
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L1236,L1236
NCIH460_LUNG,NCIH460,NCIH460
NCIH526_LUNG,NCIH526,NCIH526
NCIH2196_LUNG,NCIH2196,NCIH2196
NCIH446_LUNG,NCIH446,NCIH446
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,K562,K562
NCIH2170_LUNG,NCIH2170,NCIH2170
NCIH2444_LUNG,NCIH2444,NCIH2444
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM13,MOLM13
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RL,RL
NCIH647_LUNG,NCIH647,NCIH647
HCC44_LUNG,HCC44,HCC44
NCIH522_LUNG,NCIH522,NCIH522
NCIH661_LUNG,NCIH661,NCIH661
HCC78_LUNG,HCC78,HCC78
NCIH1155_LUNG,NCIH1155,NCIH1155
ABC1_LUNG,ABC1,ABC1
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI8226,RPMI8226
NCIH1781_LUNG,NCIH1781,NCIH1781
NCIH146_LUNG,NCIH146,NCIH146
DMS79_LUNG,DMS79,DMS79
CORL23_LUNG,CORL23,CORL23
HARA_LUNG,HARA,HARA
NCIH1568_LUNG,NCIH1568,NCIH1568
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CA46,CA46
NCIH358_LUNG,NCIH358,NCIH358
NCIH1650_LUNG,NCIH1650,NCIH1650
NCIH1793_LUNG,NCIH1793,NCIH1793
NCIH1437_LUNG,NCIH1437,NCIH1437
KNS62_LUNG,KNS62,KNS62
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH,HH
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DB,DB
SW1271_LUNG,SW1271,SW1271
NCIH1792_LUNG,NCIH1792,NCIH1792
NCIH82_LUNG,NCIH82,NCIH82
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GDM1,GDM1
IALM_LUNG,IALM,IALM
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GA10,GA10
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DAUDI,DAUDI
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HT,HT
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JM1,JM1
EPLC272H_LUNG,EPLC272H,EPLC272H
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A4FUK,A4FUK
CAL12T_LUNG,CAL12T,CAL12T
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1,THP1
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,A3KAW,A3KAW
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS11,KMS11
DMS53_LUNG,DMS53,DMS53
NCIH2227_LUNG,NCIH2227,NCIH2227
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P31FUJ,P31FUJ
NCIH2347_LUNG,NCIH2347,NCIH2347
NCIH2087_LUNG,NCIH2087,NCIH2087
NCIH2085_LUNG,NCIH2085,NCIH2085
NCIH2066_LUNG,NCIH2066,NCIH2066
NCIH1341_LUNG,NCIH1341,NCIH1341
NCIH2029_LUNG,NCIH2029,NCIH2029
LU65_LUNG,LU65,LU65
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RAJI,RAJI
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPT1,SUPT1
NCIH1651_LUNG,NCIH1651,NCIH1651
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUPB15,SUPB15
NCIH2342_LUNG,NCIH2342,NCIH2342
EBC1_LUNG,EBC1,EBC1
NCIH2291_LUNG,NCIH2291,NCIH2291
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCIH929,NCIH929
NCIH2023_LUNG,NCIH2023,NCIH2023
NCIH1048_LUNG,NCIH1048,NCIH1048
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKM1,SKM1
NCIH69_LUNG,NCIH69,NCIH69
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KG1,KG1
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LOUCY,LOUCY
NCIH1648_LUNG,NCIH1648,NCIH1648
NCIH23_LUNG,NCIH23,NCIH23
NCIH1623_LUNG,NCIH1623,NCIH1623
NCIH1836_LUNG,NCIH1836,NCIH1836
RERFLCKJ_LUNG,RERFLCKJ,RERFLCKJ
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG01,MEG01
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,REH,REH
DMS114_LUNG,DMS114,DMS114
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ST486,ST486
CALU3_LUNG,CALU3,CALU3
NCIH1435_LUNG,NCIH1435,NCIH1435
NCIH2009_LUNG,NCIH2009,NCIH2009
KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KU812,KU812
SHP77_LUNG,SHP77,SHP77
NCIH841_LUNG,NCIH841,NCIH841
NCIH1944_LUNG,NCIH1944,NCIH1944
NCIH2405_LUNG,NCIH2405,NCIH2405
BEN_LUNG,BEN,BEN
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI8402,RPMI8402
