cell_line,fold,y_mean,n_records
697,3,-2.5354506666666663,3
A3KAW,2,-2.16681,3
A4FUK,1,-2.2292183333333333,3
A549,3,-0.08669552907146974,4
ABC1,5,-0.21697896680269704,4
ALLSIL,4,-1.9722726666666668,3
AMO1,4,-1.212275,3
BEN,4,1.2697296637953797,4
BL41,1,-2.2878833333333333,3
BV173,5,-2.107102,3
CA46,1,0.03899533333333335,3
CAL12T,3,-0.7480583333333333,3
CALU3,3,1.67347,3
CALU6,5,-0.3574602642812901,4
CHAGOK1,3,0.9385816666666668,3
CMK,5,-0.9871765,2
CMLT1,3,-2.1592040000000003,3
COLO668,4,0.29835363350314925,4
CORL105,1,-0.08224712405545478,4
CORL23,1,-0.7273309224284543,4
CORL279,5,-0.046711999999999976,3
CORL311,5,0.789939,1
CORL88,3,0.5253856666666666,3
CORL95,3,1.269585,2
DAUDI,4,-1.1096656666666667,3
DB,2,0.12476633333333333,3
DMS114,1,1.185047,3
DMS273,5,-0.10973326013863151,4
DMS53,2,2.25477,3
DMS79,5,1.1015753333333334,3
DND41,5,-2.2245963333333334,3
DOHH2,4,-2.015196,2
EBC1,3,1.256687886811892,4
EHEB,1,0.6107095,2
EJM,4,-1.2112123333333333,3
EM2,1,-1.8693763333333333,3
EPLC272H,4,-2.0910576666666665,3
GA10,2,-2.1505696666666667,3
GDM1,3,-3.1931313333333335,3
GRANTA519,3,-0.4775236666666667,3
HARA,2,-1.8137141371843546,4
HCC15,3,0.8183582328817803,4
HCC33,1,-0.995314,1
HCC366,2,0.8178685415132413,4
HCC44,2,0.03971936992841926,4
HCC78,1,-0.5125248242890426,4
HCC827,4,-0.4278703669744564,4
HDLM2,2,-0.048567666666666655,3
HEL,1,-1.5229803333333336,3
HH,4,-0.07224599999999996,3
HL60,1,-0.17670366666666668,3
HT,5,-0.6751296666666667,3
IALM,3,1.1783934079158014,4
JEKO1,2,-3.2179043333333333,3
JM1,2,-1.560173,3
JURKAT,1,-1.121601,3
JURLMK1,4,-2.963195,2
JVM2,4,-1.185338,3
JVM3,2,-2.220285,3
K562,3,-1.0353906666666666,3
KARPAS422,3,-0.9775696666666667,3
KCL22,5,-2.0349939999999997,3
KG1,2,-0.12408433333333331,3
KMH2,2,-0.3017438333333333,6
KMS11,2,-1.3111106666666668,3
KMS12BM,5,-1.7175189999999998,2
KNS62,3,0.105507545256933,4
KOPN8,2,-1.4762613333333334,3
KU812,1,-2.1437760000000003,3
L1236,3,-1.0765283333333333,3
