cell_line,fold,y_mean,n_records
697,3,-5.428232333333334,3
A3KAW,2,-4.99216,3
A4FUK,1,-4.075988,3
A549,4,-4.053598333333333,3
ABC1,1,-2.9114843333333336,3
ALLSIL,1,-3.8677246666666663,3
AMO1,3,-2.8583913333333335,3
BEN,4,-1.2098153333333332,3
BL41,1,-4.656342666666666,3
BV173,5,-4.538397,2
CA46,5,-1.8069266666666668,3
CAL12T,4,-2.055601333333333,3
CALU3,4,-2.102742,3
CALU6,3,-2.617186333333333,3
CHAGOK1,4,0.024097999999999953,3
CMK,5,-3.505818,1
CMLT1,3,-4.5249880000000005,2
COLO668,5,-3.212562666666667,3
CORL105,1,-1.506694,2
CORL23,1,-1.8687026666666666,3
CORL279,4,-3.1781205,2
CORL311,2,-1.667695,1
CORL88,3,0.7040736666666666,3
CORL95,3,0.180469,3
DAUDI,1,-2.2011343333333335,3
DB,5,-4.381854,3
DMS114,5,-0.056356666666666645,3
DMS273,4,-3.1480379999999997,3
DMS53,1,-1.360674333333333,3
DMS79,3,-1.0235566666666667,3
DND41,4,-2.6897230000000003,3
DOHH2,5,-3.6980395,2
EBC1,4,-4.120655666666667,3
EHEB,4,-1.2940095,2
EJM,2,-3.1058800000000004,3
EM2,5,-2.9032773333333335,3
EPLC272H,2,-2.888502666666666,3
GA10,3,-3.1275315,2
GDM1,3,-1.9406930000000002,3
GRANTA519,2,-3.072960666666667,3
HARA,4,-2.6134193333333333,3
HCC15,3,-2.0230906666666666,3
HCC33,1,1.5660055,2
HCC366,1,-3.1653525,2
HCC44,1,-3.5556223333333334,3
HCC78,1,-5.032353333333333,3
HCC827,2,0.6824106666666666,3
HDLM2,5,-0.8396306666666665,3
HEL,4,-5.1753290000000005,3
HH,3,-0.2936440000000002,3
HL60,3,-3.247863,3
HT,2,-1.869081666666667,3
IALM,2,-1.2840010000000002,3
JEKO1,2,-4.2795125,2
JM1,3,-5.548576333333333,3
JURKAT,2,-2.4281505,2
JURLMK1,2,-4.803866666666667,3
JVM2,3,-2.1536406666666665,3
JVM3,5,-2.8981426666666668,3
K562,1,-0.8519636666666668,3
KARPAS422,4,-1.86651,3
KCL22,5,-3.761444666666667,3
KG1,1,-2.6212355,2
KMH2,5,-1.8522513333333332,6
KMS11,1,-1.109513,2
KMS12BM,3,-0.4056355,2
KNS62,3,-1.875535,2
KOPN8,2,-4.787001666666667,3
KU812,4,-3.9830963333333336,3
L1236,3,-3.1038596666666667,3
L363,4,-2.0832230000000003,3
L428,4,-3.531269333333333,3
L540,4,-5.252504666666667,3
LAMA84,4,-2.7845286666666667,3
LCLC103H,3,-1.68926,3
LCLC97TM1,2,-3.6565896666666666,3
LOUCY,3,-2.431006333333333,3
LOUNH91,2,-1.2548423333333334,3
LP1,2,1.3528046666666667,3
LU65,3,0.139609,3
LXF289,5,-3.0938613333333334,3
ME1,5,-0.24138,3
MEG01,5,-3.705500333333333,3
MHHCALL2,2,-3.5627449999999996,2
MM1S,1,-3.170332,1
MOLM13,2,-4.226360333333333,3
MOLM16,5,-4.8806435,2
MOLP8,5,-4.984071,3
MOLT13,2,-2.1073865,2
MOLT16,1,-4.728589666666667,3
MONOMAC6,4,-4.995137666666667,3
NALM6,1,-4.905324333333334,3
NAMALWA,2,-4.712749,3
NB4,1,-5.717041666666667,3
NCIH1048,3,-3.8103073333333337,3
NCIH1092,2,1.6381996666666667,3
NCIH1105,5,-1.967931,2
NCIH1155,5,-2.651283333333333,3
NCIH1341,5,-3.0617795,2
NCIH1435,3,0.22382033333333337,3
NCIH1436,2,1.521634,3
NCIH1437,2,-2.696384333333333,3
NCIH146,2,-1.919752,2
NCIH1568,5,-3.0834916666666667,3
NCIH1623,5,-3.3590416666666667,3
NCIH1648,2,-0.49184066666666676,3
NCIH1650,2,-1.5465239999999998,3
NCIH1651,1,-2.48625,3
NCIH1781,3,-3.7801213333333332,3
NCIH1792,1,-3.490065333333334,3
NCIH1793,1,-1.181595,3
NCIH1836,4,0.8617913333333332,3
NCIH1876,4,-3.546925333333333,3
NCIH1915,1,0.13117066666666663,3
NCIH1944,3,-3.5809903333333337,3
NCIH196,4,1.5528733333333333,3
NCIH1963,5,-1.154363,2
NCIH1975,3,-2.1455685,2
NCIH2009,4,-3.143530333333333,3
NCIH2023,1,-3.117820666666667,3
NCIH2029,1,-0.3553286666666667,3
NCIH2030,4,-1.3563636666666667,3
NCIH2066,5,2.3724775000000005,2
NCIH2081,1,-1.6463753333333333,3
NCIH2085,1,-0.3450776666666668,3
NCIH2087,2,-3.01137,3
NCIH209,1,-2.8056216666666667,3
NCIH211,3,-3.5293386666666664,3
NCIH2110,4,-5.114896,3
NCIH2122,3,-4.4686113333333335,3
NCIH2170,1,-4.857975,3
NCIH2171,1,-0.222265,1
NCIH2172,2,0.8588856666666667,3
NCIH2196,2,0.232851,2
NCIH2227,5,-0.917929,3
NCIH2228,2,-3.365949666666667,3
NCIH2291,4,1.5189963333333332,3
NCIH23,1,-3.349623,3
NCIH2342,5,-1.8627839999999998,3
NCIH2347,4,0.4059920000000001,3
NCIH2405,1,-2.0479673333333333,3
NCIH2444,5,2.569013,3
NCIH292,4,-4.630674,3
NCIH358,4,-2.4093346666666666,3
NCIH441,2,-1.9531229999999997,3
NCIH446,1,-1.0789816666666667,3
NCIH460,5,-4.395948,3
NCIH522,2,-2.2879793333333334,3
NCIH524,1,-1.083051,3
NCIH526,5,-1.5443636666666667,3
NCIH596,4,-0.21023166666666673,3
NCIH647,2,-3.285525,3
NCIH650,4,-1.3956396666666666,3
NCIH661,3,-1.0142776666666666,3
NCIH69,5,-0.5445283333333334,3
NCIH727,3,-1.5977853333333332,3
NCIH810,4,-2.9720980000000004,3
NCIH82,3,-2.5178423333333333,3
NCIH838,1,-2.2304636666666666,3
NCIH841,2,-0.2403873333333333,3
NCIH929,4,-3.6198825,2
NOMO1,1,-4.169962,3
NUDUL1,5,-5.132021666666667,3
OCIAML2,3,-4.794977333333333,3
OCIAML3,5,-4.906335666666667,3
OCIAML5,5,-3.498745,3
OCILY19,2,-4.994328,3
OCIM1,2,-3.911254,3
OPM2,4,-0.683487,3
P12ICHIKAWA,1,-3.874311666666667,3
P31FUJ,3,-1.015066,3
PF382,4,-2.6074786666666667,3
PL21,5,-1.717196666666667,3
RAJI,5,-3.9135476666666666,3
RCHACV,1,-3.983321,2
REH,2,-3.7542026666666666,3
RERFLCKJ,5,0.49407299999999993,3
RERFLCMS,2,-3.257400333333333,3
RL,5,-1.2819046666666665,3
RPMI8226,3,-4.116056666666666,3
RPMI8402,5,-3.1508116666666663,3
RS411,3,-4.146341666666667,3
SBC5,3,-5.5403839999999995,3
SHP77,4,-0.5824903333333333,3
SIGM5,1,-5.0917034999999995,2
SKLU1,2,-3.0101910000000003,3
SKM1,4,-4.0180454999999995,2
SKMES1,4,-3.5406636666666667,3
SKMM2,1,-0.06924633333333337,3
ST486,4,-3.1993229999999997,3
SUDHL1,2,-5.165507,2
SUDHL10,3,-3.6205335,2
SUDHL4,3,-2.276596,3
SUDHL5,4,-6.055861666666668,3
SUDHL6,1,-2.8077563333333337,3
SUDHL8,3,-3.5403723333333335,3
SUPB15,5,-4.3576880000000005,2
SUPM2,2,-3.820237,3
SUPT1,3,-3.811965666666667,3
SW1271,3,-2.6080343333333333,3
SW1573,3,-1.4784699999999997,3
THP1,5,-2.8721979999999996,3
WSUDLCL2,2,-2.3681413333333334,3
