cell_line,fold,y_mean,n_records
697,3,-0.3559193333333334,3
A3KAW,2,-2.588751333333333,3
A4FUK,3,0.006729333333333328,3
A549,5,1.14678,3
ABC1,3,2.720367,3
ALLSIL,1,0.166205,3
AMO1,4,-0.12189766666666668,3
BEN,1,0.4293343333333333,3
BL41,5,-0.17981499999999997,3
BV173,1,-0.9903006666666666,3
CA46,3,-0.16797533333333337,3
CAL12T,5,2.6385346666666667,3
CALU3,3,0.7850643333333335,3
CALU6,4,2.4148306666666666,3
CHAGOK1,2,1.9525499999999998,3
CMK,4,-1.475781,1
CMLT1,5,0.8354775,2
COLO668,4,2.3915313333333335,3
CORL105,1,0.8823396666666667,3
CORL23,3,1.9142123333333332,3
CORL279,3,0.8404495000000001,2
CORL311,2,-0.186908,1
CORL88,1,3.554249,3
CORL95,1,4.149314333333334,3
DAUDI,1,1.0432923333333333,3
DB,5,0.14583000000000002,3
DMS114,3,2.22051,3
DMS273,4,0.8077876666666667,3
DMS53,2,3.3927140000000002,3
DMS79,1,2.698427,3
DND41,2,0.537647,3
DOHH2,1,-0.8010394999999999,2
EBC1,2,0.12349733333333328,3
EHEB,1,1.831447,2
EJM,2,1.5565473333333333,3
EM2,5,-0.7119050000000001,3
EPLC272H,3,1.956569,3
GA10,3,-1.2529826666666668,3
GDM1,4,-0.05283066666666669,3
GRANTA519,4,2.8598986666666666,3
HARA,1,1.482196,3
HCC15,2,2.001266333333333,3
HCC33,3,1.6051445,2
HCC366,4,2.103929,2
HCC44,2,-0.11257633333333339,3
HCC78,3,2.3864413333333334,3
HCC827,3,2.549326333333333,3
HDLM2,5,1.583029,3
HEL,3,-0.05412566666666663,3
HH,5,-0.587972,3
HL60,4,-0.675907,3
HT,1,-0.13016866666666668,3
IALM,3,1.4093686666666667,3
JEKO1,1,-1.183197,2
JM1,1,0.8984770000000001,3
JURKAT,5,0.729633,2
JURLMK1,3,0.2154666666666667,3
JVM2,4,-0.4535369999999999,3
JVM3,4,0.6423856666666666,3
K562,2,2.7367616666666668,3
KARPAS422,4,0.6033983333333333,3
KCL22,5,0.09458533333333334,3
KG1,2,-0.8022376666666666,3
KMH2,5,0.4024828333333333,6
KMS11,3,-1.302071,2
KMS12BM,2,-2.1663995,2
KNS62,2,2.383311,2
KOPN8,5,0.37560799999999994,3
KU812,2,-1.2201746666666666,3
L1236,4,-0.4555996666666666,3
L363,2,0.6612173333333333,3
L428,1,0.8312409999999999,3
L540,2,1.4427433333333333,3
LAMA84,5,0.7803873333333334,3
LCLC103H,2,1.5667303333333333,3
LCLC97TM1,3,0.21623300000000012,3
LOUCY,2,-0.9000206666666667,3
LOUNH91,5,0.7952786666666668,3
LP1,5,0.6498063333333334,3
LU65,3,2.37933,3
LXF289,1,0.54811,3
ME1,4,1.1214863333333334,3
MEG01,5,-0.8956396666666667,3
MHHCALL2,3,1.447409,1
MM1S,5,-0.958937,1
MOLM13,1,-1.340389,3
MOLM16,4,-0.09336449999999996,2
MOLP8,4,-1.7450643333333333,3
MOLT13,1,-1.9380085,2
MOLT16,2,-1.5314096666666666,3
MONOMAC6,1,-0.6426963333333333,3
NALM6,4,-0.4020270000000001,3
NAMALWA,1,0.6425899999999999,3
NB4,3,-1.1061123333333334,3
NCIH1048,4,2.2670006666666667,3
NCIH1092,4,2.981685,3
NCIH1105,5,2.6986455,2
NCIH1155,1,1.0590943333333334,3
NCIH1341,3,0.825064,2
NCIH1435,1,2.5766373333333332,3
NCIH1436,3,2.794409333333333,3
NCIH1437,2,0.9241959999999999,3
NCIH146,2,1.182442,2
NCIH1568,4,2.287085,3
NCIH1623,3,3.1551560000000003,3
NCIH1648,1,1.3948303333333332,3
NCIH1650,3,1.907255,3
NCIH1651,2,2.785242,3
NCIH1781,2,3.285634,3
NCIH1792,1,1.5857803333333333,3
NCIH1793,5,3.6502766666666666,3
NCIH1836,2,3.5476550000000002,3
NCIH1876,2,2.850604333333333,3
NCIH1915,5,2.0277879999999997,3
NCIH1944,5,1.0124083333333334,3
NCIH196,4,1.986809,3
NCIH1963,2,1.249368,2
NCIH1975,1,1.7849973333333333,3
NCIH2009,2,1.689542,3
NCIH2023,2,1.8367696666666664,3
NCIH2029,1,2.974646,3
NCIH2030,5,0.8875480000000001,3
NCIH2066,4,3.108834,2
NCIH2081,5,1.4109656666666666,3
NCIH2085,5,2.087324666666667,3
NCIH2087,4,1.6901493333333333,3
NCIH209,5,1.5850043333333332,3
NCIH211,1,-0.756241,3
NCIH2110,4,1.5100483333333334,3
NCIH2122,4,1.1777410000000001,3
NCIH2170,1,1.8158469999999998,3
NCIH2171,1,0.705606,2
NCIH2172,5,2.56981,3
NCIH2196,4,4.0045985,2
NCIH2227,5,1.5894283333333332,3
NCIH2228,1,2.318509333333333,3
NCIH2291,5,2.8751573333333336,3
NCIH23,1,1.737298,3
NCIH2342,1,1.2401173333333333,3
NCIH2347,1,2.282324,3
NCIH2405,2,3.5661696666666667,3
NCIH2444,1,2.275001,3
NCIH292,4,1.5205196666666667,3
NCIH358,5,1.6027893333333332,3
NCIH441,5,2.57168,3
NCIH446,2,0.5654573333333334,3
NCIH460,1,0.5545856666666666,3
NCIH522,4,0.9095219999999999,3
NCIH524,2,1.6242729999999999,3
NCIH526,2,-0.20894899999999997,3
NCIH596,5,0.9878363333333334,3
NCIH647,2,0.768058,2
NCIH650,4,2.482753,3
NCIH661,3,2.718011333333333,3
NCIH69,2,0.7205776666666667,3
NCIH727,5,2.478263333333333,3
NCIH810,4,0.9856523333333334,3
NCIH82,5,2.3829366666666667,3
NCIH838,4,0.7558726666666667,3
NCIH841,3,2.7155656666666665,3
NCIH929,4,-0.576241,2
NOMO1,4,0.8491336666666666,3
NUDUL1,5,-0.345952,3
OCIAML2,1,-1.9784586666666666,3
OCIAML3,5,-0.37633966666666674,3
OCIAML5,4,0.250087,3
OCILY19,3,0.15362066666666666,3
OCIM1,3,-1.126711,3
OPM2,5,-0.8111829999999999,3
P12ICHIKAWA,3,0.8134264999999999,2
P31FUJ,4,0.7132036666666667,3
PF382,1,-0.10942200000000006,3
PL21,3,0.41913533333333336,3
RAJI,4,0.3581883333333334,3
RCHACV,2,-1.5365520000000001,2
