cell_line,fold,y_mean,n_records
697,3,-2.176946,2
A3KAW,3,2.0836885,2
A4FUK,5,2.7260875,2
A549,1,2.171952,2
ABC1,4,2.437618,2
ALLSIL,2,-2.6583069999999998,2
AMO1,3,3.3735455,2
BEN,4,-1.075375,2
BL41,1,1.949316,2
BV173,1,-3.732488,2
CA46,5,3.2268615,2
CAL12T,5,2.2820655,2
CALU3,4,0.339366,2
CALU6,3,0.689872,2
CHAGOK1,3,2.5408945000000003,2
CMK,5,-0.663116,1
CMLT1,4,-1.3936890000000002,2
COLO668,3,0.5417375,2
CORL105,5,1.523464,2
CORL23,2,1.9856415,2
CORL279,4,-1.117779,2
CORL311,1,-1.918687,1
CORL88,4,-0.8531580000000001,2
CORL95,5,-1.5506929999999999,2
DAUDI,5,1.959582,2
DB,1,-0.9773775,2
DMS114,1,2.709194,2
DMS273,3,2.5496274999999997,2
DMS53,3,-2.5038,2
DMS79,5,-1.420773,2
DND41,4,-2.0215255,2
DOHH2,1,-1.8374670000000002,2
EBC1,1,-0.338979,2
EHEB,2,-1.037138,1
EJM,3,1.1251505,2
EM2,4,-1.7942995000000002,2
EPLC272H,2,2.140986,2
GA10,1,3.5636725,2
GDM1,2,-2.633992,2
GRANTA519,1,-0.8492,2
HARA,2,2.32321,2
HCC15,4,-1.3562075,2
HCC33,1,0.217933,1
HCC366,3,0.0647105,2
HCC44,4,3.0441625,2
HCC78,1,3.0594,2
HCC827,4,2.0741545,2
HDLM2,3,-2.540916,2
HEL,3,-0.2389365,2
HH,2,1.329815,2
HL60,2,-2.105695,2
HT,2,2.413433,2
IALM,5,1.6249505,2
JEKO1,2,0.15521200000000002,2
JM1,2,-1.0320115,2
JURKAT,3,0.39380699999999996,2
JURLMK1,3,-0.3289655,2
JVM2,1,1.082252,2
JVM3,4,-0.657419,2
K562,3,2.3642279999999998,2
KARPAS422,3,0.306562,2
KCL22,2,0.775038,2
KG1,2,-2.3001735,2
KMH2,5,2.73001775,4
KMS11,1,1.9892485,2
KMS12BM,4,-2.239692,1
KNS62,2,2.612662,2
KOPN8,2,-1.4692135,2
KU812,3,0.439867,2
L1236,5,-2.386298,2
L363,3,1.9838295000000001,2
L428,5,-0.43666150000000004,2
L540,5,0.634952,2
LAMA84,1,-0.7663545,2
LCLC103H,1,2.8257130000000004,2
LCLC97TM1,5,3.8776855,2
LOUCY,5,-3.7334395,2
LOUNH91,2,1.1452085,2
LP1,3,1.4082620000000001,2
LU65,5,3.9661745,2
LXF289,4,2.0466335,2
ME1,1,-2.9962020000000003,2
MEG01,3,-0.46059300000000003,2
MHHCALL2,4,2.1714615,2
MM1S,4,-0.6992925000000001,2
