cell_line,fold,y_mean,n_records
697,3,0.5054065,2
A3KAW,2,0.8924974999999999,2
A4FUK,3,3.5671929999999996,2
A549,1,1.686107,2
ABC1,5,3.9812339999999997,2
ALLSIL,1,3.3851465000000003,2
AMO1,4,1.048412,2
BEN,4,3.8209575000000005,2
BL41,1,3.511749,2
BV173,1,0.28306749999999997,2
CA46,4,4.780208,2
CAL12T,3,3.9083385,2
CALU3,4,5.22048,2
CALU6,5,4.7797695000000004,2
CHAGOK1,5,3.9926705,2
CMK,5,3.399378,1
CMLT1,5,1.6271935000000002,2
COLO668,3,5.021295,2
CORL105,3,3.1813205,2
CORL23,2,3.738491,2
CORL279,4,4.6758025,2
CORL311,3,5.337561,1
CORL88,5,5.322666,2
CORL95,3,5.280206,2
DAUDI,3,2.451792,2
DB,5,3.1492825,2
DMS114,4,4.795529,2
DMS273,1,4.724743,2
DMS53,1,5.222583,2
DMS79,2,5.0077625,2
DND41,1,4.008326,2
DOHH2,5,0.31648050000000005,2
EBC1,1,4.7200585,2
EHEB,4,2.880024,1
EJM,3,4.380341,2
EM2,1,4.061418,2
EPLC272H,5,5.0482569999999996,2
GA10,4,4.2770399999999995,2
GDM1,1,1.2768819999999999,2
GRANTA519,4,1.9221374999999998,2
HARA,2,3.8675705000000002,2
HCC15,3,5.056121,2
HCC33,1,5.32168,1
HCC366,3,5.344211,2
HCC44,1,4.355451,2
HCC78,2,4.564343,2
HCC827,1,4.587244999999999,2
HDLM2,5,4.4556135,2
HEL,2,3.970392,2
HH,4,4.67277,2
HL60,2,3.1890545,2
HT,3,4.8398185,2
IALM,3,4.744051499999999,2
JEKO1,4,3.3357155,2
JM1,2,1.920334,2
JURKAT,2,3.5106254999999997,2
JURLMK1,3,3.6165295,2
JVM2,3,1.6130985,2
JVM3,2,0.2420255,2
K562,2,4.4603465,2
KARPAS422,2,4.69256,2
KCL22,1,3.8882085,2
KG1,3,3.6511525,2
KMH2,4,3.17959175,4
KMS11,1,3.9431439999999998,2
KMS12BM,4,3.553001,1
KNS62,3,4.933337,2
KOPN8,2,1.6607675,2
KU812,5,3.138103,2
L1236,5,4.1838675,2
L363,5,3.74521,2
L428,4,4.638935999999999,2
L540,4,1.079269,2
LAMA84,5,3.0180059999999997,2
LCLC103H,5,3.9293635,2
LCLC97TM1,2,5.0461855,2
LOUCY,2,2.92523,2
LOUNH91,3,5.5069975,2
LP1,4,4.3539505,2
LU65,5,4.8481965,2
LXF289,1,4.2922765,2
ME1,1,4.6690995,2
MEG01,3,4.081717,2
MHHCALL2,5,2.5323315,2
MM1S,5,1.4574465,2
MOLM13,1,0.87836,2
MOLM16,2,3.9316414999999996,2
MOLP8,4,2.1637775,2
MOLT13,1,2.9342755,2
MOLT16,2,0.005297000000000003,2
MONOMAC6,2,4.314247,2
NALM6,1,0.696204,2
NAMALWA,5,3.990573,2
NB4,2,3.9046655,2
NCIH1048,3,4.483079999999999,2
NCIH1092,5,5.184531,2
NCIH1105,4,4.8259405,2
NCIH1155,5,4.010498,2
NCIH1341,3,4.833114,2
NCIH1435,2,4.8987235,2
NCIH1436,2,4.7877615,2
NCIH1437,3,3.7866429999999998,2
NCIH146,4,4.1934025,2
NCIH1568,2,5.7510069999999995,2
NCIH1623,3,5.3295715,2
NCIH1648,1,3.9469695,2
NCIH1650,1,3.957586,2
NCIH1651,5,4.880058,2
NCIH1781,2,5.041546,2
NCIH1792,2,4.525945,2
NCIH1793,2,5.018095499999999,2
NCIH1836,4,5.988602,2
NCIH1876,2,4.823703,2
NCIH1915,1,4.747992,2
NCIH1944,4,2.8199319999999997,2
NCIH196,5,3.8881105000000002,2
NCIH1963,5,4.5778,1
NCIH1975,1,5.1270225,2
NCIH2009,4,5.1064545,2
NCIH2023,4,4.1766495,2
NCIH2029,1,5.137491000000001,2
NCIH2030,5,4.1915785,2
NCIH2066,5,5.5869805,2
NCIH2081,1,4.9932324999999995,2
NCIH2085,2,4.0917275,2
NCIH2087,2,3.9286145,2
NCIH209,4,4.395961,2
NCIH211,1,3.7420985,2
NCIH2110,4,3.9287954999999997,2
NCIH2122,3,2.8311830000000002,2
NCIH2170,5,4.7452995,2
NCIH2171,4,3.731449,1
NCIH2172,4,4.9435195,2
NCIH2196,1,5.876129,1
NCIH2227,2,5.650783499999999,2
NCIH2228,2,5.177238,2
NCIH2291,5,6.2328355,2
NCIH23,4,4.00042,2
NCIH2342,4,5.5662845,2
NCIH2347,4,5.897537,2
NCIH2405,5,6.070629500000001,2
NCIH2444,1,5.8636565,2
NCIH292,1,1.7120525,2
NCIH358,3,4.0294799999999995,2
NCIH441,4,5.5591015,2
NCIH446,3,5.0275495,2
NCIH460,4,1.172301,2
NCIH522,1,4.521843499999999,2
NCIH524,1,3.3821965,2
NCIH526,5,4.55274,2
