cell_line,fold,y_mean,n_records
697,3,0.677661,3
A3KAW,2,2.5209863333333336,3
A4FUK,3,3.9339980000000003,3
A549,5,3.335003,3
ABC1,3,4.395605,3
ALLSIL,2,3.040605333333333,3
AMO1,1,4.2158853333333335,3
BEN,5,5.228807333333333,3
BL41,3,3.2373006666666666,3
BV173,1,1.208279,3
CA46,4,4.074039666666667,3
CAL12T,1,4.3394916666666665,3
CALU3,4,4.630512333333333,3
CALU6,5,4.278595,3
CHAGOK1,4,4.466216,3
CMK,3,3.0633395,2
CMLT1,4,1.676576,3
COLO668,3,4.200792333333333,3
CORL105,2,4.224933333333333,3
CORL23,3,3.4206603333333327,3
CORL279,1,1.68302,3
CORL311,1,3.282913,1
CORL88,5,3.7297353333333336,3
CORL95,5,3.9888556666666664,3
DAUDI,2,2.9620490000000004,3
DB,5,2.6582416666666666,3
DMS114,2,3.8275656666666666,3
DMS273,3,2.2202796666666664,3
DMS53,2,4.242597666666667,3
DMS79,3,3.1466523333333334,3
DND41,1,3.250011,3
DOHH2,5,0.8499355,2
EBC1,1,3.375000333333334,3
EHEB,1,4.513337,2
EJM,4,4.03259,3
EM2,3,3.7919753333333333,3
EPLC272H,2,4.2856060000000005,3
GA10,3,3.914161333333333,3
GDM1,1,3.6052429999999998,3
GRANTA519,4,3.5613713333333337,3
HARA,1,3.468666333333333,3
HCC15,1,3.947527666666667,3
HCC33,1,4.764309,1
HCC366,2,4.349497666666667,3
HCC44,2,2.8429656666666667,3
HCC78,3,4.204793333333334,3
HCC827,4,4.050181,2
HDLM2,5,3.7111563333333333,3
HEL,2,3.5667263333333334,3
HH,1,4.996517,3
HL60,1,3.6501273333333337,3
HT,4,4.198133666666666,3
IALM,4,4.472381666666667,3
JEKO1,3,3.285022,3
JM1,4,2.2841576666666668,3
JURKAT,1,2.6363223333333337,3
JURLMK1,4,2.770709666666667,3
JVM2,4,2.94848,3
JVM3,2,1.9789556666666668,3
K562,5,4.095011,3
KARPAS422,3,4.391408666666667,3
KCL22,5,3.5104876666666667,3
KG1,5,3.669551666666667,3
KMH2,4,3.4389233333333333,6
KMS11,1,3.7444133333333327,3
KMS12BM,3,3.415842,2
KNS62,2,3.5648926666666667,3
KOPN8,3,1.5460956666666668,3
KU812,5,2.8946873333333336,3
L1236,5,4.092319,3
L363,3,3.1941226666666664,3
L428,2,3.757331333333333,3
L540,2,2.514542,3
LAMA84,2,3.062944,3
LCLC103H,3,4.3816603333333335,3
LCLC97TM1,5,3.3686860000000003,3
LOUCY,2,3.1469126666666667,3
LOUNH91,5,4.264738333333333,3
LP1,2,3.7511566666666667,3
LU65,2,5.138516666666667,3
LXF289,5,3.6375283333333335,3
ME1,3,3.8435713333333332,3
MEG01,4,3.5465886666666666,3
MHHCALL2,3,3.062124666666667,3
MM1S,4,3.2206455,2
MOLM13,2,2.3581203333333334,3
MOLM16,4,2.3720973333333335,3
MOLP8,1,3.3415963333333334,3
MOLT13,2,2.4412006666666666,3
MOLT16,5,1.6615946666666668,3
MONOMAC6,1,3.265769,3
NALM6,5,2.506562666666667,3
NAMALWA,3,2.9486116666666664,3
NB4,1,2.280742333333333,3
NCIH1048,4,2.0516616666666665,3
NCIH1092,2,4.7033629999999995,3
NCIH1105,1,2.4049359999999997,3
NCIH1155,1,2.9276986666666667,3
NCIH1341,1,3.358401666666667,3
NCIH1435,5,4.053991666666667,3
NCIH1436,3,4.452891,3
NCIH1437,4,4.810018333333333,3
NCIH146,5,2.961478666666667,3
NCIH1568,1,3.9796513333333334,3
NCIH1623,4,3.557691333333333,3
NCIH1648,5,4.598793000000001,3
NCIH1650,1,4.4704310000000005,2
NCIH1651,2,2.3725169999999998,3
NCIH1781,4,4.040957,3
NCIH1792,5,3.7077836666666664,3
NCIH1793,3,5.273742333333334,3
NCIH1836,4,4.645274,3
NCIH1876,1,1.467606,3
NCIH1915,1,4.008410666666666,3
NCIH1944,2,4.269716,3
NCIH196,3,4.49718,3
NCIH1963,2,3.6879215,2
NCIH1975,2,4.488571333333334,3
NCIH2009,2,3.5652779999999997,3
NCIH2023,4,3.128879,3
NCIH2029,2,4.517932333333333,3
NCIH2030,1,3.978029333333333,3
NCIH2066,5,5.395926666666667,3
NCIH2081,1,3.327647666666667,3
NCIH2085,2,4.039442,3
NCIH2087,4,4.019103666666667,3
NCIH209,4,0.7116426666666666,3
NCIH211,3,2.4055773333333335,3
NCIH2110,3,4.172125666666667,3
NCIH2122,4,3.450248666666667,3
NCIH2170,2,4.421692,3
NCIH2171,2,2.882058,1
NCIH2172,2,5.0591230000000005,3
NCIH2196,4,3.702559,1
NCIH2227,4,3.5498929999999995,3
NCIH2228,1,4.728199,2
NCIH2291,4,5.568497,3
NCIH23,2,2.8632310000000003,3
NCIH2342,1,3.8465686666666667,3
NCIH2347,5,4.479656666666666,3
NCIH2405,4,4.6264183333333335,3
NCIH2444,1,4.9461173333333335,3
NCIH292,1,2.634299,3
NCIH358,5,4.824702666666667,3
NCIH441,1,5.121558333333334,3
NCIH446,3,3.868806333333333,3
NCIH460,4,2.4328303333333334,3
NCIH522,2,4.4650575,2
NCIH524,5,3.167071333333333,3
NCIH526,5,2.946028,3
NCIH596,4,4.222129333333334,3
NCIH647,4,3.0018,3
NCIH650,1,4.615998,3
NCIH661,5,4.415178,3
NCIH69,3,3.5551030000000003,3
NCIH727,4,4.497832666666667,3
NCIH810,5,3.2941853333333335,3
