cell_line,fold,y_mean,n_records
697,3,0.360419,2
A3KAW,3,-0.7778475,2
A4FUK,5,-1.0676655,2
A549,3,-3.0224765,2
ABC1,2,0.4146415000000001,2
ALLSIL,1,1.287786,2
AMO1,1,-0.6095714999999999,2
BEN,4,2.108435,2
BL41,4,1.1161905,2
BV173,5,-1.374908,2
CA46,4,2.615682,2
CAL12T,4,-0.37115899999999996,2
CALU3,1,1.322532,2
CALU6,1,-0.7083579999999999,2
CHAGOK1,5,1.6254715000000002,2
CMK,5,1.103013,1
CMLT1,5,-0.480062,2
COLO668,3,0.288476,2
CORL105,1,-1.635588,2
CORL23,2,-0.04751099999999997,2
CORL279,4,2.114795,2
CORL311,3,2.601304,1
CORL88,3,2.8445855,2
CORL95,4,1.9406355000000002,2
DAUDI,1,1.8725975000000001,2
DB,5,2.3821585,2
DMS114,1,1.4167915,2
DMS273,2,1.4184430000000001,2
DMS53,3,1.2261490000000002,2
DMS79,3,3.4059844999999997,2
DND41,5,-0.09599849999999999,2
DOHH2,1,1.4946425,2
EBC1,3,-2.84351,2
EHEB,2,-0.625193,1
EJM,4,1.976568,2
EM2,1,-2.3625655,2
EPLC272H,4,-1.1166654999999999,2
GA10,3,1.9116875,2
GDM1,5,1.1804345,2
GRANTA519,1,2.172461,2
HARA,4,0.43476050000000005,2
HCC15,1,-1.7001015000000002,2
HCC33,2,3.803775,1
HCC366,1,0.9454679999999999,2
HCC44,5,-2.1290005,2
HCC78,4,0.7499439999999999,2
HCC827,3,2.0442055,2
HDLM2,2,1.9016160000000002,2
HEL,2,1.8254445000000001,2
HH,5,2.3099895,2
HL60,2,-4.1529905,2
HT,3,2.809284,2
IALM,2,0.17741550000000017,2
JEKO1,1,2.318508,2
JM1,3,1.596497,2
JURKAT,4,1.8869580000000001,2
JURLMK1,1,-4.110526999999999,2
JVM2,5,1.5698845000000001,2
JVM3,5,-1.325091,2
K562,4,-0.03719800000000001,2
KARPAS422,1,2.04107,2
KCL22,2,-0.9065219999999999,2
KG1,3,0.14118399999999998,2
KMH2,1,-0.96048675,4
KMS11,2,1.3451510000000002,2
KMS12BM,3,3.050678,1
KNS62,5,-1.3972795,2
KOPN8,4,-1.9252685,2
KU812,1,-3.2254614999999998,2
L1236,3,2.0526585,2
L363,4,1.829453,2
L428,2,2.2052035,2
L540,3,1.8540665,2
LAMA84,3,-2.5971935,2
LCLC103H,3,2.6538955,2
LCLC97TM1,2,-1.544169,2
LOUCY,3,1.389424,2
LOUNH91,3,-0.001806999999999892,2
LP1,5,2.972584,2
LU65,4,0.3183155,2
LXF289,4,0.07433699999999999,2
ME1,2,-1.3676685,2
MEG01,5,-2.01672,2
MHHCALL2,5,0.2373155,2
MM1S,5,0.07331200000000004,2
MOLM13,5,-0.6590055,2
MOLM16,3,-0.820982,2
MOLP8,5,-0.265961,2
MOLT13,1,-1.0275435,2
MOLT16,2,0.847056,2
MONOMAC6,2,0.8418490000000001,2
NALM6,4,1.0500965,2
NAMALWA,2,1.717873,2
NB4,2,-5.2213015,2
NCIH1048,2,1.1880355,2
NCIH1092,2,3.223071,2
NCIH1105,3,2.836857,2
NCIH1155,5,0.7669064999999999,2
NCIH1341,5,0.7586790000000001,2
NCIH1435,2,2.4340755,2
NCIH1436,2,2.6357695000000003,2
NCIH1437,5,-2.5684075,2
NCIH146,4,2.3689,2
NCIH1568,1,0.5854404999999999,2
